,Date,Open,High,Low,Close,Adj Close,Volume,ticker
0,2018-01-02,0.823,0.848,0.75,0.83,0.83,899300,SESN
1,2018-01-03,0.85,0.965,0.835,0.91,0.91,1260500,SESN
2,2018-01-04,0.9,0.91,0.821,0.861,0.861,800000,SESN
3,2018-01-05,0.87,0.899,0.85,0.876,0.876,412400,SESN
4,2018-01-08,0.88,0.9,0.851,0.87,0.87,565500,SESN
5,2018-01-09,0.87,0.89,0.85,0.86,0.86,467200,SESN
6,2018-01-10,0.86,0.87,0.82,0.845,0.845,466900,SESN
7,2018-01-11,0.844,0.889,0.84,0.871,0.871,1098600,SESN
8,2018-01-12,0.86,0.865,0.831,0.854,0.854,388600,SESN
9,2018-01-16,0.848,0.87,0.796,0.81,0.81,559000,SESN
10,2018-01-17,0.81,0.835,0.78,0.8,0.8,367900,SESN
11,2018-01-18,0.8,0.829,0.79,0.81,0.81,364800,SESN
12,2018-01-19,0.808,0.835,0.8,0.82,0.82,299600,SESN
13,2018-01-22,0.825,0.91,0.821,0.88,0.88,1743100,SESN
14,2018-01-23,0.94,0.99,0.904,0.933,0.933,2338400,SESN
15,2018-01-24,0.95,0.99,0.91,0.935,0.935,1451500,SESN
16,2018-01-25,0.95,0.95,0.9,0.921,0.921,672000,SESN
17,2018-01-26,0.932,1.08,0.9,1.03,1.03,3068800,SESN
18,2018-01-29,1.07,1.14,1.01,1.1,1.1,4131400,SESN
19,2018-01-30,1.08,1.09,1.03,1.04,1.04,1433100,SESN
20,2018-01-31,1.05,1.06,1.0,1.04,1.04,837300,SESN
21,2018-02-01,1.03,1.045,0.951,0.953,0.953,905700,SESN
22,2018-02-02,0.95,0.95,0.862,0.88,0.88,1334600,SESN
23,2018-02-05,0.871,0.88,0.803,0.83,0.83,843400,SESN
24,2018-02-06,0.81,0.856,0.803,0.856,0.856,546900,SESN
25,2018-02-07,0.865,0.87,0.825,0.866,0.866,336100,SESN
26,2018-02-08,0.875,0.875,0.81,0.838,0.838,422300,SESN
27,2018-02-09,0.83,0.843,0.762,0.81,0.81,766600,SESN
28,2018-02-12,0.84,0.89,0.82,0.86,0.86,581300,SESN
29,2018-02-13,0.858,0.912,0.84,0.9,0.9,370000,SESN
30,2018-02-14,0.914,0.915,0.89,0.9,0.9,419400,SESN
31,2018-02-15,0.9,0.9,0.85,0.9,0.9,260100,SESN
32,2018-02-16,0.9,0.97,0.89,0.925,0.925,434200,SESN
33,2018-02-20,0.946,0.946,0.92,0.927,0.927,158500,SESN
34,2018-02-21,0.93,0.98,0.93,0.94,0.94,440100,SESN
35,2018-02-22,0.96,1.02,0.939,0.963,0.963,780900,SESN
36,2018-02-23,0.972,0.99,0.92,0.94,0.94,352100,SESN
37,2018-02-26,0.946,0.95,0.901,0.945,0.945,263500,SESN
38,2018-02-27,0.93,0.985,0.901,0.935,0.935,759000,SESN
39,2018-02-28,0.947,0.99,0.92,0.95,0.95,764500,SESN
40,2018-03-01,0.95,0.98,0.92,0.926,0.926,306100,SESN
41,2018-03-02,0.9,0.975,0.9,0.95,0.95,388500,SESN
42,2018-03-05,0.98,1.04,0.965,1.0,1.0,919700,SESN
43,2018-03-06,1.04,1.12,1.0,1.1,1.1,2311800,SESN
44,2018-03-07,1.1,1.11,1.05,1.08,1.08,902100,SESN
45,2018-03-08,1.09,1.24,1.06,1.19,1.19,1655400,SESN
46,2018-03-09,1.18,1.29,1.162,1.25,1.25,1618000,SESN
47,2018-03-12,1.28,1.319,1.08,1.12,1.12,2538300,SESN
48,2018-03-13,1.14,1.18,1.02,1.11,1.11,1406900,SESN
49,2018-03-14,1.11,1.17,1.08,1.15,1.15,728700,SESN
50,2018-03-15,1.15,1.16,1.1,1.11,1.11,341500,SESN
51,2018-03-16,1.12,1.12,1.06,1.07,1.07,504000,SESN
52,2018-03-19,1.03,1.07,0.982,1.05,1.05,817800,SESN
53,2018-03-20,1.07,1.18,1.05,1.13,1.13,1563200,SESN
54,2018-03-21,1.05,1.11,1.01,1.06,1.06,2725900,SESN
55,2018-03-22,1.04,1.069,1.03,1.05,1.05,752900,SESN
56,2018-03-23,1.05,1.07,1.01,1.05,1.05,964600,SESN
57,2018-03-26,1.05,1.08,1.01,1.05,1.05,807000,SESN
58,2018-03-27,1.05,1.07,0.98,1.02,1.02,910800,SESN
59,2018-03-28,1.03,1.03,0.95,1.02,1.02,1098800,SESN
60,2018-03-29,1.02,1.06,0.99,1.05,1.05,452200,SESN
61,2018-04-02,1.05,1.05,1.0,1.04,1.04,302100,SESN
62,2018-04-03,1.09,1.38,1.07,1.25,1.25,14832700,SESN
63,2018-04-04,1.22,1.42,1.18,1.41,1.41,8049000,SESN
64,2018-04-05,1.34,1.4,1.29,1.39,1.39,2112100,SESN
65,2018-04-06,1.38,1.55,1.35,1.5,1.5,4597600,SESN
66,2018-04-09,1.54,1.65,1.35,1.5,1.5,6554000,SESN
67,2018-04-10,1.54,1.57,1.45,1.55,1.55,2109600,SESN
68,2018-04-11,1.54,1.57,1.39,1.47,1.47,3410000,SESN
69,2018-04-12,1.47,1.52,1.4,1.46,1.46,1723200,SESN
70,2018-04-13,1.44,1.48,1.38,1.39,1.39,2719400,SESN
71,2018-04-16,1.41,1.58,1.4,1.58,1.58,2407700,SESN
72,2018-04-17,1.58,1.59,1.48,1.5,1.5,1653500,SESN
73,2018-04-18,1.51,1.54,1.422,1.49,1.49,883100,SESN
74,2018-04-19,1.55,1.79,1.52,1.62,1.62,9684800,SESN
75,2018-04-20,1.68,1.91,1.63,1.91,1.91,7917700,SESN
76,2018-04-23,1.94,2.129,1.83,2.09,2.09,9307800,SESN
77,2018-04-24,2.14,2.34,2.1,2.22,2.22,11626200,SESN
78,2018-04-25,2.17,2.46,2.15,2.37,2.37,7243800,SESN
79,2018-04-26,2.4,2.6,2.32,2.35,2.35,7726500,SESN
80,2018-04-27,2.23,2.51,2.02,2.51,2.51,7076200,SESN
81,2018-04-30,2.53,2.86,2.52,2.79,2.79,10281100,SESN
82,2018-05-01,2.79,2.92,2.64,2.91,2.91,6227500,SESN
83,2018-05-02,2.94,3.5,2.94,3.22,3.22,12599800,SESN
84,2018-05-03,3.21,3.48,2.95,3.29,3.29,14394000,SESN
85,2018-05-04,3.26,3.36,3.1,3.15,3.15,6554100,SESN
86,2018-05-07,3.01,3.29,2.9,2.96,2.96,6850600,SESN
87,2018-05-08,2.85,2.92,2.52,2.7,2.7,8139400,SESN
88,2018-05-09,2.7,2.97,2.65,2.83,2.83,3938500,SESN
89,2018-05-10,2.9,3.0,2.61,2.62,2.62,5206100,SESN
90,2018-05-11,2.67,2.82,2.56,2.81,2.81,3847700,SESN
91,2018-05-14,2.88,2.89,2.66,2.81,2.81,2908900,SESN
92,2018-05-15,2.76,2.78,2.64,2.65,2.65,2672500,SESN
93,2018-05-16,2.74,3.44,2.73,3.29,3.29,15617500,SESN
94,2018-05-17,3.33,3.39,3.13,3.15,3.15,2907000,SESN
95,2018-05-18,3.3,3.3,2.84,3.0,3.0,6380500,SESN
96,2018-05-21,3.1,3.24,2.01,2.31,2.31,12811900,SESN
97,2018-05-22,2.3,2.4,1.96,2.28,2.28,7545900,SESN
98,2018-05-23,2.25,2.26,2.02,2.03,2.03,3155900,SESN
