,Date,Open,High,Low,Close,Adj Close,Volume,ticker
0,2018-01-26,25.5,29.25,22.0,22.620001,22.620001,3304600,SLDB
1,2018-01-29,22.620001,23.870001,21.75,23.700001,23.700001,290800,SLDB
2,2018-01-30,22.67,23.48,19.120001,22.5,22.5,686500,SLDB
3,2018-01-31,22.860001,27.499001,21.966999,25.620001,25.620001,669100,SLDB
4,2018-02-01,25.700001,28.0,25.405001,27.309999,27.309999,337600,SLDB
5,2018-02-02,27.41,29.0,26.221001,29.0,29.0,302200,SLDB
6,2018-02-05,28.82,29.049999,25.785,26.450001,26.450001,291800,SLDB
7,2018-02-06,26.049999,27.889999,25.209999,26.5,26.5,103800,SLDB
8,2018-02-07,26.360001,28.0,25.860001,26.139999,26.139999,143000,SLDB
9,2018-02-08,26.040001,27.165001,25.375999,26.35,26.35,193500,SLDB
10,2018-02-09,26.549999,27.582001,25.309999,25.66,25.66,82300,SLDB
11,2018-02-12,25.58,26.77,25.360001,26.01,26.01,144500,SLDB
12,2018-02-13,25.540001,26.700001,25.219999,26.0,26.0,100200,SLDB
13,2018-02-14,25.370001,26.799999,25.370001,26.23,26.23,54300,SLDB
14,2018-02-15,26.25,26.5,25.128,26.27,26.27,119000,SLDB
15,2018-02-16,26.110001,27.58,24.639999,24.93,24.93,80100,SLDB
16,2018-02-20,24.32,24.83,22.5,23.860001,23.860001,140500,SLDB
17,2018-02-21,24.530001,26.48,24.042,26.120001,26.120001,259500,SLDB
18,2018-02-22,26.5,28.368999,26.155001,27.5,27.5,118700,SLDB
19,2018-02-23,27.41,29.799999,25.101,29.559999,29.559999,178200,SLDB
20,2018-02-26,29.879999,31.167999,29.65,29.959999,29.959999,85100,SLDB
21,2018-02-27,29.690001,29.799999,28.85,29.57,29.57,166100,SLDB
22,2018-02-28,29.299999,29.9,28.85,29.0,29.0,139200,SLDB
23,2018-03-01,28.84,31.41,27.715,30.4,30.4,160300,SLDB
24,2018-03-02,30.219999,33.740002,30.0,33.169998,33.169998,175700,SLDB
25,2018-03-05,32.990002,32.990002,29.76,31.24,31.24,187500,SLDB
26,2018-03-06,31.450001,32.889999,30.045,30.549999,30.549999,155700,SLDB
27,2018-03-07,30.16,32.279999,28.08,29.01,29.01,124300,SLDB
28,2018-03-08,29.040001,29.75,26.0,27.58,27.58,118600,SLDB
29,2018-03-09,27.5,29.450001,26.634001,28.190001,28.190001,131100,SLDB
