,Date,Open,High,Low,Close,Adj Close,Volume,ticker
0,2018-01-02,8.9,8.99,8.76,8.94,8.800952,944200,SSRM
1,2018-01-03,8.9,8.96,8.55,8.71,8.574529,1438800,SSRM
2,2018-01-04,8.69,8.73,8.57,8.68,8.544996,1135300,SSRM
3,2018-01-05,8.65,8.73,8.5,8.55,8.417018,589900,SSRM
4,2018-01-08,8.61,8.63,8.45,8.48,8.348105,817400,SSRM
5,2018-01-09,8.18,8.27,7.75,7.83,7.708216,2430600,SSRM
6,2018-01-10,7.9,8.06,7.82,7.94,7.816505,1467600,SSRM
7,2018-01-11,7.95,8.05,7.93,7.95,7.82635,1264500,SSRM
8,2018-01-12,8.01,8.15,7.94,8.08,7.954328,1473500,SSRM
9,2018-01-16,8.46,9.28,8.4,9.25,9.10613,3099900,SSRM
10,2018-01-17,9.22,9.52,9.18,9.38,9.234109,2094300,SSRM
11,2018-01-18,9.35,9.46,9.0,9.04,8.899396,1101400,SSRM
12,2018-01-19,9.08,9.21,9.03,9.08,8.938774,624100,SSRM
13,2018-01-22,9.14,9.24,9.06,9.14,8.997842,682400,SSRM
14,2018-01-23,9.05,9.28,9.02,9.24,9.096286,923600,SSRM
15,2018-01-24,9.41,9.49,9.3,9.44,9.293175,1152900,SSRM
16,2018-01-25,9.44,9.54,8.91,8.99,8.850175,1317800,SSRM
17,2018-01-26,9.02,9.18,9.02,9.1,8.958463,793900,SSRM
18,2018-01-29,8.97,9.09,8.68,8.68,8.544996,1311900,SSRM
19,2018-01-30,8.76,8.78,8.51,8.52,8.387486,1040400,SSRM
20,2018-01-31,8.57,8.7,8.42,8.65,8.515462,1183900,SSRM
21,2018-02-01,8.6,8.77,8.53,8.56,8.426863,694700,SSRM
22,2018-02-02,8.43,8.6,8.37,8.38,8.249663,1203700,SSRM
23,2018-02-05,8.38,8.47,8.32,8.4,8.269351,1289900,SSRM
24,2018-02-06,8.34,8.47,8.27,8.31,8.180752,1320300,SSRM
25,2018-02-07,8.29,8.5,8.2,8.25,8.121684,1331800,SSRM
26,2018-02-08,8.25,8.43,8.24,8.29,8.161061,1570900,SSRM
27,2018-02-09,8.27,8.28,7.76,7.86,7.73775,2409500,SSRM
28,2018-02-12,7.89,8.41,7.89,8.37,8.239817,1458700,SSRM
29,2018-02-13,8.39,8.43,8.24,8.3,8.170906,695700,SSRM
30,2018-02-14,8.28,8.86,8.28,8.82,8.682818,1321200,SSRM
31,2018-02-15,8.87,8.91,8.68,8.82,8.682818,823800,SSRM
32,2018-02-16,8.71,8.89,8.52,8.64,8.505618,1294400,SSRM
33,2018-02-20,8.5,8.65,8.46,8.46,8.328418,827500,SSRM
34,2018-02-21,8.55,8.64,8.26,8.27,8.141373,1393300,SSRM
35,2018-02-22,8.3,8.47,8.26,8.33,8.200439,749400,SSRM
36,2018-02-23,8.24,8.49,7.64,8.39,8.259507,1873300,SSRM
37,2018-02-26,8.49,8.82,8.46,8.8,8.66313,1474300,SSRM
38,2018-02-27,8.72,8.8,8.44,8.51,8.37764,1495800,SSRM
39,2018-02-28,8.49,8.56,8.3,8.3,8.170906,962700,SSRM
40,2018-03-01,8.19,8.74,8.19,8.59,8.456396,1247600,SSRM
41,2018-03-02,8.67,8.74,8.54,8.63,8.495773,753700,SSRM
42,2018-03-05,8.56,8.64,8.41,8.5,8.367796,907100,SSRM
43,2018-03-06,8.64,8.8,8.63,8.68,8.544996,712000,SSRM
44,2018-03-07,8.66,8.66,8.37,8.4,8.269351,831300,SSRM
45,2018-03-08,8.39,8.54,8.28,8.53,8.397329,758000,SSRM
46,2018-03-09,8.45,8.69,8.45,8.55,8.417018,514900,SSRM
47,2018-03-12,8.53,8.75,8.46,8.72,8.584373,630800,SSRM
48,2018-03-13,8.53,9.21,8.46,9.14,8.997842,1327000,SSRM
49,2018-03-14,9.17,9.25,9.1,9.16,9.017529,990300,SSRM
50,2018-03-15,9.04,9.17,8.99,9.05,8.909242,674700,SSRM
51,2018-03-16,9.05,9.13,8.93,8.98,8.84033,2301500,SSRM
52,2018-03-19,8.96,9.09,8.9,9.04,8.899396,808400,SSRM
53,2018-03-20,8.94,9.05,8.87,8.94,8.800952,842200,SSRM
54,2018-03-21,9.08,9.34,9.04,9.3,9.155353,1018500,SSRM
55,2018-03-22,9.27,9.32,9.1,9.3,9.155353,573100,SSRM
56,2018-03-23,9.5,9.79,9.41,9.67,9.519598,1238100,SSRM
57,2018-03-26,9.75,9.79,9.52,9.55,9.401464,1047500,SSRM
58,2018-03-27,9.45,9.65,9.34,9.59,9.440844,1329900,SSRM
59,2018-03-28,9.49,9.57,9.4,9.45,9.303019,687400,SSRM
60,2018-03-29,9.45,9.63,9.33,9.6,9.450687,771400,SSRM
61,2018-04-02,9.67,9.85,9.54,9.72,9.568821,762800,SSRM
62,2018-04-03,9.65,9.74,9.51,9.55,9.401464,625000,SSRM
63,2018-04-04,9.63,9.72,9.49,9.53,9.381776,518700,SSRM
64,2018-04-05,9.51,9.6,9.4,9.58,9.430998,440200,SSRM
65,2018-04-06,9.61,9.74,9.6,9.66,9.509753,526300,SSRM
