,Date,Open,High,Low,Close,Adj Close,Volume,ticker
0,2018-01-02,43.32,44.919998,43.32,44.860001,40.241333,2868500,STLD
1,2018-01-03,44.849998,45.849998,44.470001,45.610001,40.914116,4304900,STLD
2,2018-01-04,45.799999,46.32,45.5,45.950001,41.219105,1959500,STLD
3,2018-01-05,46.139999,46.150002,45.419998,45.599998,40.90514,2236400,STLD
4,2018-01-08,45.880001,46.119999,45.619999,45.970001,41.237049,1926400,STLD
5,2018-01-09,45.91,46.18,45.049999,45.110001,40.465584,3128200,STLD
6,2018-01-10,44.470001,46.110001,44.360001,46.049999,41.308807,1709500,STLD
7,2018-01-11,46.330002,47.18,46.080002,47.119999,42.268654,1838400,STLD
8,2018-01-12,47.369999,47.389999,46.650002,47.009998,42.169971,1887200,STLD
9,2018-01-16,47.200001,47.849998,46.060001,46.48,41.694542,1679200,STLD
10,2018-01-17,46.529999,47.07,46.169998,46.779999,41.963642,1464400,STLD
11,2018-01-18,46.450001,46.700001,45.75,46.259998,41.497189,1673600,STLD
12,2018-01-19,46.27,46.5,45.57,46.419998,41.64072,2122200,STLD
13,2018-01-22,46.299999,46.700001,45.68,46.57,41.775276,2533700,STLD
14,2018-01-23,47.360001,47.639999,45.599998,46.360001,41.586895,4104900,STLD
15,2018-01-24,46.849998,47.07,46.150002,46.959999,42.125126,3296400,STLD
16,2018-01-25,47.240002,47.400002,46.119999,46.349998,41.577927,3512100,STLD
17,2018-01-26,46.459999,48.139999,46.07,47.490002,42.600559,3410800,STLD
18,2018-01-29,47.439999,48.279999,47.16,47.32,42.448059,2056200,STLD
19,2018-01-30,46.790001,47.540001,45.91,46.779999,41.963642,2293000,STLD
20,2018-01-31,46.82,47.349998,45.110001,45.400002,40.725735,2848900,STLD
21,2018-02-01,45.139999,46.099998,45.099998,45.560001,40.869259,2015700,STLD
22,2018-02-02,44.959999,45.009998,43.700001,44.150002,39.604435,2213300,STLD
23,2018-02-05,43.560001,45.48,42.889999,43.23,38.779148,3043800,STLD
24,2018-02-06,42.360001,44.580002,41.130001,44.290001,39.730015,2292100,STLD
25,2018-02-07,43.950001,44.869999,43.75,44.360001,39.792816,3056800,STLD
26,2018-02-08,44.16,44.32,42.75,42.779999,38.375484,2755600,STLD
27,2018-02-09,43.349998,43.860001,41.93,43.57,39.084145,2681300,STLD
28,2018-02-12,43.790001,45.080002,43.700001,44.720001,40.115746,1406000,STLD
29,2018-02-13,44.299999,45.509998,44.040001,44.860001,40.241333,2869100,STLD
30,2018-02-14,44.310001,46.880001,44.18,46.790001,41.972618,2773100,STLD
31,2018-02-15,47.080002,47.330002,45.919998,47.139999,42.286594,2306400,STLD
32,2018-02-16,47.139999,49.669998,46.560001,49.400002,44.313908,6323600,STLD
33,2018-02-20,48.799999,50.700001,48.509998,48.860001,43.829502,3803600,STLD
34,2018-02-21,48.93,49.41,48.09,48.139999,43.18362,2541300,STLD
35,2018-02-22,48.73,48.759998,47.869999,48.0,43.058048,1657100,STLD
36,2018-02-23,49.34,49.34,47.23,47.470001,42.582611,2299400,STLD
37,2018-02-26,48.349998,48.990002,47.16,48.02,43.075985,3547100,STLD
38,2018-02-27,47.889999,48.310001,47.360001,47.509998,42.618492,2815000,STLD
39,2018-02-28,47.66,48.07,46.23,46.25,41.48822,2988900,STLD
40,2018-03-01,47.68,48.59,46.610001,48.099998,43.147751,4357300,STLD
41,2018-03-02,47.889999,48.52,47.110001,48.330002,43.354065,3318500,STLD
42,2018-03-05,48.060001,48.669998,47.27,47.310001,42.439079,2616200,STLD
43,2018-03-06,47.48,47.759998,46.299999,46.970001,42.134102,5227000,STLD
44,2018-03-07,47.080002,48.110001,46.889999,47.330002,42.457024,2994200,STLD
45,2018-03-08,47.5,47.5,45.52,46.0,41.263958,2804200,STLD
46,2018-03-09,46.82,47.209999,45.360001,46.34,41.568951,2434900,STLD
47,2018-03-12,46.529999,47.369999,46.32,46.98,42.143066,2421700,STLD
48,2018-03-13,46.529999,47.369999,46.32,47.240002,42.376293,5238100,STLD
49,2018-03-14,47.689999,48.049999,46.880001,47.07,42.223801,2575600,STLD
50,2018-03-15,47.099998,47.52,46.060001,46.43,41.649693,2889500,STLD
51,2018-03-16,46.639999,47.139999,45.52,46.950001,42.116154,3159200,STLD
52,2018-03-19,46.529999,46.779999,45.18,45.689999,40.985867,2382100,STLD
53,2018-03-20,46.009998,46.27,45.200001,45.43,40.752647,2056800,STLD
54,2018-03-21,45.619999,46.669998,45.310001,46.400002,41.62278,1467800,STLD
55,2018-03-22,45.93,45.959999,42.880001,42.919998,38.501072,2911000,STLD
56,2018-03-23,43.0,43.720001,42.209999,42.330002,37.971821,2783600,STLD
57,2018-03-26,43.09,43.720001,42.52,43.540001,39.057228,2126700,STLD
