,Date,Open,High,Low,Close,Adj Close,Volume,ticker
0,2018-01-02,34.5,39.25,34.5,37.5,37.5,9041,TGHI
1,2018-01-03,37.5,43.25,35.775002,42.0,42.0,34590,TGHI
2,2018-01-04,41.25,43.834999,39.0,40.5,40.5,14246,TGHI
3,2018-01-05,41.25,41.252499,38.0,38.189999,38.189999,10287,TGHI
4,2018-01-08,38.0,39.75,35.0,35.25,35.25,9941,TGHI
5,2018-01-09,35.0,46.0,35.0,39.002499,39.002499,85987,TGHI
6,2018-01-10,37.0,42.75,35.0,38.442501,38.442501,45819,TGHI
7,2018-01-11,36.75,42.240002,35.0,40.0,40.0,43627,TGHI
8,2018-01-12,40.5,43.0,37.75,39.75,39.75,32743,TGHI
9,2018-01-16,41.0,43.0,39.75,41.0,41.0,21679,TGHI
10,2018-01-17,40.0,41.25,38.25,39.2075,39.2075,10203,TGHI
11,2018-01-18,38.5,39.0,37.75,38.0,38.0,5572,TGHI
12,2018-01-19,38.5,40.5,37.775002,39.25,39.25,7128,TGHI
13,2018-01-22,39.75,45.0,39.259998,42.0,42.0,41428,TGHI
14,2018-01-23,42.5,43.302502,40.25,42.5,42.5,13071,TGHI
15,2018-01-24,72.25,75.75,48.25,55.25,55.25,807570,TGHI
16,2018-01-25,62.5,65.0,58.75,59.5,59.5,146500,TGHI
17,2018-01-26,61.0,62.75,54.75,58.75,58.75,39889,TGHI
18,2018-01-29,59.75,62.247501,56.25,57.5,57.5,33669,TGHI
19,2018-01-30,58.5,59.75,56.25,57.5,57.5,14039,TGHI
20,2018-01-31,58.25,58.25,56.25,56.25,56.25,19870,TGHI
21,2018-02-01,56.75,61.25,56.0,60.75,60.75,34653,TGHI
22,2018-02-02,59.5,63.5,56.25,56.25,56.25,35416,TGHI
23,2018-02-05,56.25,56.5,50.0,51.0,51.0,20272,TGHI
24,2018-02-06,50.75,52.75,42.0,51.5,51.5,44698,TGHI
25,2018-02-07,48.75,51.247501,34.25,35.322498,35.322498,78047,TGHI
26,2018-02-08,34.75,41.0,34.5,36.0,36.0,79843,TGHI
27,2018-02-09,34.5,36.0,30.75,34.224998,34.224998,52815,TGHI
28,2018-02-12,35.25,38.5,26.25,29.5,29.5,99634,TGHI
29,2018-02-13,29.5,30.75,26.75,27.75,27.75,37134,TGHI
30,2018-02-14,28.0,30.25,27.0,28.34,28.34,34596,TGHI
31,2018-02-15,27.5,33.5,27.5,30.75,30.75,70183,TGHI
32,2018-02-16,30.75,32.0,30.0,30.5,30.5,22942,TGHI
33,2018-02-20,30.75,30.75,28.25,28.75,28.75,20604,TGHI
34,2018-02-21,28.25,29.219999,26.75,27.5,27.5,30768,TGHI
35,2018-02-22,27.5,27.737499,25.0,26.0,26.0,32497,TGHI
36,2018-02-23,27.5,27.5,25.5,26.0,26.0,17541,TGHI
37,2018-02-26,26.25,31.75,26.25,28.0,28.0,74780,TGHI
38,2018-02-27,27.75,28.235001,26.5,27.0,27.0,25432,TGHI
39,2018-02-28,27.5,29.475,26.75,28.75,28.75,29036,TGHI
40,2018-03-01,29.5,31.0,28.25,29.75,29.75,21389,TGHI
41,2018-03-02,30.25,30.25,27.75,29.0,29.0,14474,TGHI
42,2018-03-05,29.0,29.469999,28.014999,28.5,28.5,6732,TGHI
43,2018-03-06,28.25,30.440001,27.75,28.75,28.75,28993,TGHI
44,2018-03-07,29.0,29.5,28.25,28.75,28.75,17862,TGHI
45,2018-03-08,29.5,31.25,29.030001,30.75,30.75,35831,TGHI
46,2018-03-09,31.25,33.0,30.0,31.5,31.5,25902,TGHI
47,2018-03-12,31.75,33.5,29.75,32.735001,32.735001,33235,TGHI
48,2018-03-13,29.25,31.0,28.0,28.5,28.5,21272,TGHI
49,2018-03-14,28.75,29.5,28.5,28.5,28.5,7762,TGHI
50,2018-03-15,28.25,28.514999,27.0,27.985001,27.985001,8322,TGHI
51,2018-03-16,27.5,28.5,26.75,28.5,28.5,9741,TGHI
52,2018-03-19,28.5,28.5,27.25,27.25,27.25,5411,TGHI
53,2018-03-20,27.25,27.75,26.75,27.25,27.25,7303,TGHI
54,2018-03-21,28.75,31.25,27.5,29.25,29.25,54597,TGHI
55,2018-03-22,29.0,29.0,27.275,27.5,27.5,11400,TGHI
56,2018-03-23,27.25,27.74,26.75,27.0,27.0,13055,TGHI
57,2018-03-26,26.5,27.5,26.25,27.25,27.25,6033,TGHI
58,2018-03-27,27.0,27.5,26.5,26.75,26.75,4434,TGHI
59,2018-03-28,26.75,26.75,21.25,21.299999,21.299999,48586,TGHI
60,2018-03-29,21.25,23.0,21.002501,21.25,21.25,10416,TGHI
61,2018-04-02,21.405001,21.5075,16.877501,17.6075,17.6075,22486,TGHI
62,2018-04-03,18.375,22.5,16.5,18.25,18.25,41936,TGHI
63,2018-04-04,18.5,19.42,16.5,17.247499,17.247499,33094,TGHI
64,2018-04-05,17.225,18.985001,16.502501,18.747499,18.747499,9903,TGHI
65,2018-04-06,18.9,18.977501,17.75,18.1875,18.1875,7885,TGHI
66,2018-04-09,19.0,19.5,17.75,18.75025,18.75025,20470,TGHI
67,2018-04-10,18.75,19.469999,18.2875,18.9125,18.9125,6227,TGHI
68,2018-04-11,18.7775,19.75,18.75,19.184999,19.184999,6196,TGHI
69,2018-04-12,19.2775,21.5,19.2775,21.0075,21.0075,14838,TGHI
70,2018-04-13,20.975,24.325001,20.375,21.5,21.5,32242,TGHI
71,2018-04-16,22.487499,22.487499,20.502251,20.545,20.545,4966,TGHI
72,2018-04-17,20.5,20.545,18.285,19.25,19.25,11431,TGHI
73,2018-04-18,19.25,20.25,17.782499,18.325001,18.325001,13136,TGHI
74,2018-04-19,18.377501,19.2325,17.575001,18.5,18.5,9476,TGHI
75,2018-04-20,18.3225,18.4825,17.5375,17.6325,17.6325,7877,TGHI
76,2018-04-23,17.625,18.245001,17.3025,17.525,17.525,3787,TGHI
77,2018-04-24,17.577499,18.4825,15.35,16.305,16.305,12846,TGHI
78,2018-04-25,16.305,16.365,14.77,15.45,15.45,17379,TGHI
79,2018-04-26,15.2975,16.934999,15.2975,15.815,15.815,13260,TGHI
80,2018-04-27,15.5125,18.225,15.5125,18.225,18.225,36504,TGHI
