,Date,Open,High,Low,Close,Adj Close,Volume,ticker
0,2018-01-02,13.0,13.59,13.0,13.1,11.075347,8100,UBCP
1,2018-01-03,13.35,13.35,12.8,12.85,10.863984,3100,UBCP
2,2018-01-04,12.9,12.92,12.8,12.92,10.923164,1600,UBCP
3,2018-01-05,12.76,13.2,12.76,13.17,11.134526,6100,UBCP
4,2018-01-08,14.0,14.0,12.95,12.95,10.948528,4100,UBCP
5,2018-01-09,13.15,13.15,13.15,13.15,11.117618,100,UBCP
6,2018-01-10,12.95,13.4,12.95,13.2,11.159888,5600,UBCP
7,2018-01-11,13.15,13.4,13.15,13.25,11.202162,6400,UBCP
8,2018-01-12,13.12,13.25,13.12,13.2,11.159888,3200,UBCP
9,2018-01-16,13.95,13.95,13.2,13.65,11.540339,15100,UBCP
10,2018-01-17,13.6,13.85,13.45,13.53,11.438889,6500,UBCP
11,2018-01-18,13.9,13.9,13.75,13.79,11.658702,1100,UBCP
12,2018-01-19,13.65,13.9,13.6,13.7,11.582615,1700,UBCP
13,2018-01-22,13.23,13.78,13.23,13.5,11.413525,8400,UBCP
14,2018-01-23,13.7,13.9,13.38,13.65,11.540339,7800,UBCP
15,2018-01-24,13.66,13.66,13.66,13.66,11.548797,100,UBCP
16,2018-01-25,13.85,13.85,13.55,13.6,11.498067,1400,UBCP
17,2018-01-26,13.65,13.65,13.25,13.25,11.202162,2300,UBCP
18,2018-01-29,13.55,13.55,12.65,12.85,10.863984,4800,UBCP
19,2018-01-30,12.9,12.9,12.85,12.85,10.863984,2000,UBCP
20,2018-01-31,12.9,12.9,12.89,12.89,10.897802,400,UBCP
21,2018-02-01,12.92,12.92,12.92,12.92,10.923164,700,UBCP
22,2018-02-02,12.65,12.87,12.5,12.7,10.737166,1800,UBCP
23,2018-02-05,12.7,12.71,12.7,12.71,10.745623,600,UBCP
24,2018-02-06,12.71,12.71,12.71,12.71,10.745623,0,UBCP
25,2018-02-07,12.8,12.9,12.78,12.83,10.847075,1600,UBCP
