,Date,Open,High,Low,Close,Adj Close,Volume,ticker
0,2018-01-02,15.9,16.700001,15.5,16.299999,16.299999,8290,USEG
1,2018-01-03,16.5,17.0,15.3,15.9,15.9,12130,USEG
2,2018-01-04,15.8,16.9,15.7,16.200001,16.200001,6070,USEG
3,2018-01-05,16.299999,16.799999,16.299999,16.5,16.5,4270,USEG
4,2018-01-08,16.1,16.4,15.8,16.0,16.0,10270,USEG
5,2018-01-09,15.7,15.8,14.4,15.4,15.4,13080,USEG
6,2018-01-10,15.3,16.4,15.1,15.6,15.6,3320,USEG
7,2018-01-11,15.4,16.5,15.1,15.8,15.8,3040,USEG
8,2018-01-12,16.1,17.9,16.1,17.4,17.4,15360,USEG
9,2018-01-16,17.4,17.6,16.5,16.799999,16.799999,11780,USEG
10,2018-01-17,16.799999,17.799999,16.4,17.299999,17.299999,12800,USEG
11,2018-01-18,17.1,19.6,16.5,16.700001,16.700001,47690,USEG
12,2018-01-19,16.700001,17.299999,16.1,16.200001,16.200001,9000,USEG
13,2018-01-22,16.1,17.0,15.5,16.700001,16.700001,8700,USEG
14,2018-01-23,16.9,17.4,16.700001,17.1,17.1,5090,USEG
15,2018-01-24,17.1,18.4,16.4,17.6,17.6,17040,USEG
16,2018-01-25,18.1,18.1,16.200001,16.4,16.4,7040,USEG
17,2018-01-26,16.4,16.4,15.6,16.1,16.1,14550,USEG
18,2018-01-29,16.0,16.6,14.5,14.8,14.8,10970,USEG
19,2018-01-30,15.0,15.6,13.5,15.4,15.4,10360,USEG
20,2018-01-31,16.0,16.0,15.0,15.2,15.2,3520,USEG
21,2018-02-01,15.2,15.8,14.7,15.3,15.3,4030,USEG
22,2018-02-02,15.1,17.200001,14.6,14.8,14.8,7060,USEG
23,2018-02-05,14.7,16.1,14.0,14.5,14.5,8100,USEG
24,2018-02-06,14.1,15.2,14.0,14.9,14.9,9710,USEG
25,2018-02-07,15.1,15.1,14.5,14.7,14.7,5550,USEG
26,2018-02-08,14.9,14.9,13.2,13.2,13.2,12140,USEG
27,2018-02-09,13.5,13.5,12.5,13.2,13.2,15140,USEG
28,2018-02-12,13.2,13.3,12.5,12.8,12.8,5000,USEG
29,2018-02-13,12.7,13.8,12.6,13.0,13.0,34040,USEG
30,2018-02-14,12.9,13.0,12.0,12.5,12.5,10460,USEG
31,2018-02-15,12.6,12.9,12.0,12.4,12.4,7410,USEG
32,2018-02-16,12.1,13.0,12.1,12.4,12.4,4620,USEG
33,2018-02-20,12.3,13.7,12.3,13.1,13.1,6840,USEG
34,2018-02-21,12.9,13.1,12.5,12.5,12.5,3110,USEG
35,2018-02-22,12.5,12.9,12.3,12.5,12.5,20120,USEG
36,2018-02-23,12.4,13.4,12.4,13.2,13.2,5040,USEG
37,2018-02-26,13.4,13.4,12.5,13.0,13.0,2480,USEG
38,2018-02-27,13.0,13.5,12.6,13.5,13.5,630,USEG
39,2018-02-28,13.5,13.5,12.7,12.8,12.8,4750,USEG
40,2018-03-01,12.6,13.0,12.5,12.7,12.7,890,USEG
41,2018-03-02,12.5,13.2,12.5,12.6,12.6,630,USEG
42,2018-03-05,12.6,13.3,12.6,13.1,13.1,1100,USEG
43,2018-03-06,13.0,13.1,12.5,12.5,12.5,2190,USEG
44,2018-03-07,12.3,12.7,12.3,12.4,12.4,1020,USEG
45,2018-03-08,12.5,12.5,11.9,12.3,12.3,4590,USEG
46,2018-03-09,12.5,12.7,12.3,12.5,12.5,2460,USEG
47,2018-03-12,12.4,12.9,12.3,12.4,12.4,1800,USEG
48,2018-03-13,12.4,12.8,12.3,12.5,12.5,180,USEG
49,2018-03-14,12.4,12.6,12.3,12.3,12.3,650,USEG
50,2018-03-15,12.3,12.3,11.9,12.1,12.1,5390,USEG
51,2018-03-16,12.0,12.0,11.8,11.8,11.8,2630,USEG
52,2018-03-19,11.8,12.0,11.1,11.3,11.3,8390,USEG
53,2018-03-20,11.4,11.6,11.4,11.5,11.5,1650,USEG
54,2018-03-21,11.4,11.8,11.2,11.2,11.2,8180,USEG
55,2018-03-22,11.2,12.5,11.1,12.1,12.1,9710,USEG
56,2018-03-23,12.1,13.3,12.0,12.9,12.9,5090,USEG
57,2018-03-26,12.8,12.9,12.2,12.2,12.2,3150,USEG
58,2018-03-27,12.3,13.1,12.1,13.1,13.1,2140,USEG
59,2018-03-28,13.0,13.0,12.0,12.2,12.2,1460,USEG
60,2018-03-29,12.3,12.8,12.1,12.3,12.3,2780,USEG
61,2018-04-02,12.0,12.1,11.6,11.8,11.8,1860,USEG
62,2018-04-03,11.8,11.8,11.3,11.4,11.4,2170,USEG
63,2018-04-04,11.3,11.3,11.1,11.3,11.3,910,USEG
64,2018-04-05,11.3,11.6,10.7,11.4,11.4,8740,USEG
65,2018-04-06,11.2,11.5,10.5,11.3,11.3,4430,USEG
66,2018-04-09,10.9,11.2,10.9,11.1,11.1,4140,USEG
67,2018-04-10,11.2,11.3,11.1,11.1,11.1,620,USEG
68,2018-04-11,11.3,12.1,11.1,11.2,11.2,8550,USEG
69,2018-04-12,11.3,11.5,11.2,11.5,11.5,650,USEG
70,2018-04-13,12.1,12.1,11.0,11.4,11.4,7460,USEG
71,2018-04-16,11.3,11.4,11.0,11.3,11.3,1390,USEG
72,2018-04-17,11.3,11.6,10.9,11.4,11.4,4870,USEG
73,2018-04-18,11.5,11.9,11.0,11.4,11.4,34200,USEG
74,2018-04-19,11.4,11.7,11.1,11.1,11.1,6090,USEG
75,2018-04-20,11.2,11.2,10.8,10.9,10.9,4570,USEG
76,2018-04-23,10.7,11.1,10.7,10.7,10.7,750,USEG
77,2018-04-24,10.6,11.5,10.6,10.9,10.9,3440,USEG
78,2018-04-25,11.0,11.3,10.8,11.3,11.3,1740,USEG
79,2018-04-26,11.4,11.5,11.2,11.4,11.4,2290,USEG
80,2018-04-27,11.4,11.5,11.4,11.5,11.5,160,USEG
81,2018-04-30,11.4,11.5,11.1,11.2,11.2,360,USEG
82,2018-05-01,11.3,11.6,10.8,11.6,11.6,2180,USEG
83,2018-05-02,11.2,12.6,11.2,11.6,11.6,12580,USEG
84,2018-05-03,11.7,11.9,11.7,11.8,11.8,1310,USEG
85,2018-05-04,11.4,12.1,11.4,12.1,12.1,1150,USEG
86,2018-05-07,12.3,13.2,12.2,12.4,12.4,10230,USEG
87,2018-05-08,12.0,12.0,11.5,12.0,12.0,3080,USEG
88,2018-05-09,12.0,12.8,11.9,12.8,12.8,5010,USEG
89,2018-05-10,12.8,13.6,12.4,13.4,13.4,7560,USEG
90,2018-05-11,13.5,14.5,13.4,14.5,14.5,8390,USEG
91,2018-05-14,14.7,15.1,13.0,13.9,13.9,6170,USEG
92,2018-05-15,14.3,14.3,13.1,13.7,13.7,2410,USEG
93,2018-05-16,13.3,13.8,12.7,13.3,13.3,5450,USEG
94,2018-05-17,13.3,14.3,13.3,13.9,13.9,2100,USEG
95,2018-05-18,13.9,14.0,13.4,13.7,13.7,2730,USEG
96,2018-05-21,13.7,13.9,13.5,13.9,13.9,270,USEG
97,2018-05-22,13.5,14.2,13.5,13.7,13.7,3270,USEG
98,2018-05-23,13.7,14.0,13.3,14.0,14.0,2750,USEG
99,2018-05-24,14.1,14.1,13.5,14.0,14.0,1720,USEG
100,2018-05-25,13.8,14.1,13.3,13.6,13.6,2380,USEG
101,2018-05-29,13.3,13.8,12.7,13.5,13.5,2550,USEG
102,2018-05-30,13.4,13.5,13.0,13.1,13.1,3550,USEG
103,2018-05-31,13.1,13.7,13.0,13.0,13.0,2830,USEG
104,2018-06-01,12.9,12.9,12.6,12.7,12.7,4760,USEG
105,2018-06-04,12.6,13.1,12.3,12.7,12.7,6570,USEG
106,2018-06-05,12.5,12.6,12.1,12.1,12.1,2230,USEG
107,2018-06-06,12.3,12.7,12.0,12.0,12.0,2930,USEG
108,2018-06-07,12.2,12.5,12.0,12.5,12.5,1710,USEG
109,2018-06-08,12.5,12.5,12.2,12.2,12.2,990,USEG
110,2018-06-11,12.3,12.5,12.1,12.4,12.4,770,USEG
111,2018-06-12,12.2,12.5,12.1,12.1,12.1,4930,USEG
112,2018-06-13,12.0,12.2,11.9,11.9,11.9,6540,USEG
113,2018-06-14,12.0,12.1,11.8,11.8,11.8,2950,USEG
114,2018-06-15,12.0,12.0,11.5,11.5,11.5,3370,USEG
115,2018-06-18,11.2,11.9,11.2,11.6,11.6,2290,USEG
116,2018-06-19,11.9,12.0,11.8,11.9,11.9,3060,USEG
117,2018-06-20,11.9,12.1,11.8,12.0,12.0,7300,USEG
118,2018-06-21,11.7,11.7,11.5,11.5,11.5,1810,USEG
119,2018-06-22,11.6,12.0,11.5,12.0,12.0,2040,USEG
120,2018-06-25,11.9,11.9,11.8,11.9,11.9,790,USEG
121,2018-06-26,12.0,12.5,11.8,11.8,11.8,5770,USEG
122,2018-06-27,11.8,12.4,11.8,12.1,12.1,3630,USEG
123,2018-06-28,12.5,19.5,12.0,13.0,13.0,164340,USEG
124,2018-06-29,13.0,13.4,12.1,13.2,13.2,14730,USEG
125,2018-07-02,13.0,15.4,12.9,13.3,13.3,60560,USEG
126,2018-07-03,15.8,19.0,13.6,14.0,14.0,208220,USEG
127,2018-07-05,14.0,14.7,12.7,13.9,13.9,51030,USEG
128,2018-07-06,13.8,13.8,12.7,12.9,12.9,17110,USEG
129,2018-07-09,13.0,13.7,12.2,13.6,13.6,23550,USEG
130,2018-07-10,13.6,14.0,13.1,13.3,13.3,13740,USEG
131,2018-07-11,13.1,13.3,12.5,12.5,12.5,10100,USEG
