,Date,Open,High,Low,Close,Adj Close,Volume,ticker
0,2021-05-21,9.73,9.74,9.63,9.67,9.67,25700,VORB
1,2021-05-24,9.67,9.67,9.67,9.67,9.67,0,VORB
2,2021-05-25,9.67,9.67,9.67,9.67,9.67,300,VORB
3,2021-05-26,9.95,9.95,9.72,9.94,9.94,11600,VORB
4,2021-05-27,9.94,9.94,9.94,9.94,9.94,0,VORB
5,2021-05-28,9.94,9.94,9.94,9.94,9.94,0,VORB
6,2021-06-01,9.94,9.94,9.94,9.94,9.94,0,VORB
7,2021-06-02,9.95,9.95,9.86,9.86,9.86,2400,VORB
8,2021-06-03,9.85,9.85,9.82,9.82,9.82,400,VORB
9,2021-06-04,9.82,9.82,9.82,9.82,9.82,0,VORB
10,2021-06-07,9.77,9.77,9.77,9.77,9.77,900,VORB
11,2021-06-08,9.77,9.77,9.77,9.77,9.77,0,VORB
12,2021-06-09,9.77,9.77,9.77,9.77,9.77,400,VORB
13,2021-06-10,9.77,9.77,9.77,9.77,9.77,0,VORB
14,2021-06-11,9.77,9.77,9.77,9.77,9.77,500,VORB
15,2021-06-14,10.28,10.8,10.2,10.35,10.35,5539100,VORB
16,2021-06-15,10.39,10.4,10.15,10.26,10.26,1123600,VORB
17,2021-06-16,10.26,10.4,10.18,10.22,10.22,947700,VORB
18,2021-06-17,10.3,10.3,10.07,10.105,10.105,544100,VORB
19,2021-06-18,10.14,10.18,10.019,10.18,10.18,957600,VORB
20,2021-06-21,10.17,10.19,10.05,10.06,10.06,355200,VORB
21,2021-06-22,10.11,10.14,9.95,10.08,10.08,495500,VORB
22,2021-06-23,10.12,10.13,10.0,10.11,10.11,473900,VORB
23,2021-06-24,10.16,10.16,10.05,10.15,10.15,411600,VORB
24,2021-06-25,10.25,10.35,10.16,10.31,10.31,2062100,VORB
25,2021-06-28,10.62,10.63,10.26,10.31,10.31,2214200,VORB
26,2021-06-29,10.38,10.63,10.22,10.33,10.33,1474400,VORB
27,2021-06-30,10.4,10.49,10.26,10.29,10.29,2314500,VORB
28,2021-07-01,10.3,10.34,10.2,10.29,10.29,974200,VORB
29,2021-07-02,10.36,10.49,10.25,10.47,10.47,1772500,VORB
30,2021-07-06,10.44,10.52,10.3,10.37,10.37,1111900,VORB
31,2021-07-07,10.39,10.398,10.165,10.24,10.24,1101400,VORB
32,2021-07-08,10.14,10.29,10.02,10.25,10.25,1029300,VORB
33,2021-07-09,10.3,10.35,10.2,10.25,10.25,825200,VORB
34,2021-07-12,10.35,10.35,10.26,10.32,10.32,950100,VORB
35,2021-07-13,10.26,10.31,10.19,10.21,10.21,742500,VORB
36,2021-07-14,10.16,10.24,10.04,10.08,10.08,1012800,VORB
37,2021-07-15,10.03,10.09,10.0,10.01,10.01,671900,VORB
38,2021-07-16,10.02,10.04,9.93,9.98,9.98,584600,VORB
39,2021-07-19,9.88,9.92,9.83,9.87,9.87,884400,VORB
40,2021-07-20,9.86,9.93,9.85,9.9,9.9,762700,VORB
41,2021-07-21,9.91,10.04,9.87,10.02,10.02,406400,VORB
42,2021-07-22,10.03,10.03,9.95,9.95,9.95,254800,VORB
43,2021-07-23,9.92,9.95,9.89,9.95,9.95,430000,VORB
44,2021-07-26,9.91,9.94,9.88,9.89,9.89,338900,VORB
45,2021-07-27,9.88,9.89,9.83,9.85,9.85,511500,VORB
46,2021-07-28,9.84,9.86,9.81,9.85,9.85,299500,VORB
47,2021-07-29,9.88,9.88,9.825,9.86,9.86,317900,VORB
48,2021-07-30,9.84,9.85,9.82,9.84,9.84,172200,VORB
49,2021-08-02,9.84,9.85,9.77,9.78,9.78,345700,VORB
50,2021-08-03,9.76,9.8,9.72,9.73,9.73,320800,VORB
51,2021-08-04,9.73,9.76,9.693,9.7,9.7,309500,VORB
52,2021-08-05,9.7,9.72,9.65,9.7,9.7,263600,VORB
53,2021-08-06,9.71,9.73,9.67,9.72,9.72,181000,VORB
54,2021-08-09,9.73,9.75,9.69,9.75,9.75,170200,VORB
55,2021-08-10,9.75,9.75,9.7,9.73,9.73,132700,VORB
56,2021-08-11,9.73,9.73,9.68,9.71,9.71,218900,VORB
57,2021-08-12,9.71,9.71,9.68,9.69,9.69,161300,VORB
58,2021-08-13,9.68,9.69,9.66,9.67,9.67,284800,VORB
59,2021-08-16,9.67,9.7,9.64,9.66,9.66,444900,VORB
60,2021-08-17,9.66,9.68,9.61,9.63,9.63,430800,VORB
61,2021-08-18,9.63,9.66,9.63,9.64,9.64,366100,VORB
62,2021-08-19,9.63,9.66,9.63,9.64,9.64,203300,VORB
63,2021-08-20,9.64,9.69,9.64,9.68,9.68,264700,VORB
64,2021-08-23,9.87,9.89,9.83,9.86,9.86,8975900,VORB
65,2021-08-24,9.87,9.89,9.83,9.89,9.89,2939100,VORB
66,2021-08-25,9.9,9.9,9.84,9.86,9.86,929200,VORB
67,2021-08-26,9.85,9.86,9.83,9.85,9.85,436800,VORB
