,Date,Open,High,Low,Close,Adj Close,Volume,ticker
0,2018-01-02,1.13,1.18,1.08,1.16,1.16,378400,VTGN
1,2018-01-03,1.3,1.3,1.13,1.18,1.18,5776500,VTGN
2,2018-01-04,1.16,1.18,1.09,1.12,1.12,1035000,VTGN
3,2018-01-05,1.11,1.12,1.06,1.12,1.12,704400,VTGN
4,2018-01-08,1.12,1.12,1.07,1.11,1.11,421200,VTGN
5,2018-01-09,1.22,1.24,1.15,1.19,1.19,3353200,VTGN
6,2018-01-10,1.21,1.23,1.18,1.2,1.2,952300,VTGN
7,2018-01-11,1.21,1.27,1.19,1.22,1.22,873600,VTGN
8,2018-01-12,1.21,1.26,1.2,1.26,1.26,543800,VTGN
9,2018-01-16,1.28,1.42,1.2,1.25,1.25,2077100,VTGN
10,2018-01-17,1.25,1.28,1.2,1.21,1.21,729500,VTGN
11,2018-01-18,1.22,1.23,1.2,1.22,1.22,290900,VTGN
12,2018-01-19,1.22,1.22,1.2,1.21,1.21,433600,VTGN
13,2018-01-22,1.21,1.32,1.2,1.32,1.32,1781200,VTGN
14,2018-01-23,1.35,1.48,1.32,1.43,1.43,3053800,VTGN
15,2018-01-24,1.47,1.75,1.47,1.73,1.73,6063400,VTGN
16,2018-01-25,1.75,1.79,1.56,1.67,1.67,2691900,VTGN
17,2018-01-26,1.65,1.66,1.5,1.59,1.59,1522200,VTGN
18,2018-01-29,1.59,1.63,1.51,1.53,1.53,1520000,VTGN
19,2018-01-30,1.37,1.39,1.27,1.3,1.3,1723500,VTGN
20,2018-01-31,1.32,1.33,1.21,1.23,1.23,799700,VTGN
21,2018-02-01,1.24,1.24,1.15,1.24,1.24,869100,VTGN
22,2018-02-02,1.22,1.23,1.15,1.16,1.16,510900,VTGN
23,2018-02-05,1.15,1.15,1.09,1.13,1.13,421200,VTGN
24,2018-02-06,1.11,1.12,1.05,1.1,1.1,436200,VTGN
25,2018-02-07,1.1,1.24,1.1,1.19,1.19,394100,VTGN
26,2018-02-08,1.19,1.25,1.16,1.2,1.2,456600,VTGN
27,2018-02-09,1.2,1.2,1.11,1.16,1.16,538100,VTGN
28,2018-02-12,1.16,1.21,1.14,1.19,1.19,151000,VTGN
29,2018-02-13,1.16,1.2,1.15,1.2,1.2,153000,VTGN
30,2018-02-14,1.2,1.28,1.18,1.24,1.24,343500,VTGN
31,2018-02-15,1.27,1.27,1.21,1.27,1.27,261000,VTGN
32,2018-02-16,1.25,1.28,1.2,1.26,1.26,195300,VTGN
33,2018-02-20,1.25,1.25,1.18,1.2,1.2,136700,VTGN
34,2018-02-21,1.19,1.2,1.17,1.17,1.17,139100,VTGN
35,2018-02-22,1.18,1.2,1.15,1.19,1.19,92600,VTGN
36,2018-02-23,1.18,1.2,1.16,1.18,1.18,165200,VTGN
37,2018-02-26,1.16,1.2,1.16,1.16,1.16,128100,VTGN
38,2018-02-27,1.16,1.2,1.15,1.2,1.2,245700,VTGN
39,2018-02-28,1.23,1.23,1.16,1.21,1.21,203200,VTGN
40,2018-03-01,1.2,1.21,1.16,1.18,1.18,154700,VTGN
41,2018-03-02,1.18,1.27,1.17,1.26,1.26,267400,VTGN
42,2018-03-05,1.27,1.37,1.27,1.34,1.34,797000,VTGN
43,2018-03-06,1.4,1.59,1.39,1.48,1.48,1672800,VTGN
44,2018-03-07,1.55,1.57,1.48,1.5,1.5,760300,VTGN
45,2018-03-08,1.51,1.51,1.34,1.37,1.37,597300,VTGN
46,2018-03-09,1.34,1.51,1.3,1.3,1.3,1206300,VTGN
47,2018-03-12,1.28,1.34,1.2,1.25,1.25,815000,VTGN
48,2018-03-13,1.28,1.35,1.2,1.3,1.3,586000,VTGN
49,2018-03-14,1.3,1.3,1.24,1.27,1.27,503900,VTGN
50,2018-03-15,1.27,1.31,1.23,1.3,1.3,346200,VTGN
51,2018-03-16,1.29,1.3,1.26,1.27,1.27,332100,VTGN
52,2018-03-19,1.27,1.39,1.22,1.25,1.25,1358500,VTGN
53,2018-03-20,1.25,1.27,1.22,1.24,1.24,218900,VTGN
54,2018-03-21,1.23,1.25,1.19,1.22,1.22,259400,VTGN
55,2018-03-22,1.21,1.22,1.15,1.17,1.17,808700,VTGN
56,2018-03-23,1.17,1.18,1.11,1.17,1.17,381500,VTGN
57,2018-03-26,1.17,1.17,0.97,1.02,1.02,1247800,VTGN
58,2018-03-27,1.02,1.02,0.93,0.94,0.94,527500,VTGN
59,2018-03-28,0.93,0.99,0.88,0.91,0.91,505000,VTGN
60,2018-03-29,0.89,0.94,0.86,0.93,0.93,367900,VTGN
61,2018-04-02,0.92,1.0,0.89,0.94,0.94,242600,VTGN
62,2018-04-03,0.93,1.0,0.93,0.96,0.96,100200,VTGN
63,2018-04-04,0.98,1.0,0.94,0.98,0.98,148200,VTGN
64,2018-04-05,1.03,1.1,0.99,1.01,1.01,595300,VTGN
65,2018-04-06,1.04,1.04,0.97,0.99,0.99,203600,VTGN
66,2018-04-09,0.99,1.02,0.98,0.98,0.98,155900,VTGN
67,2018-04-10,1.03,1.07,0.99,1.02,1.02,178900,VTGN
68,2018-04-11,1.03,1.05,1.0,1.05,1.05,105300,VTGN
69,2018-04-12,1.04,1.12,1.03,1.1,1.1,353000,VTGN
70,2018-04-13,1.18,1.18,1.11,1.14,1.14,211900,VTGN
71,2018-04-16,1.16,1.2,1.13,1.19,1.19,195600,VTGN
72,2018-04-17,1.2,1.2,1.09,1.17,1.17,283200,VTGN
73,2018-04-18,1.16,1.2,1.1,1.15,1.15,179400,VTGN
74,2018-04-19,1.17,1.19,1.0,1.08,1.08,329000,VTGN
75,2018-04-20,0.95,0.98,0.88,0.94,0.94,1224700,VTGN
76,2018-04-23,0.95,0.95,0.81,0.88,0.88,544600,VTGN
77,2018-04-24,0.89,0.92,0.86,0.88,0.88,320700,VTGN
78,2018-04-25,0.88,0.88,0.83,0.85,0.85,242100,VTGN
79,2018-04-26,0.86,0.95,0.85,0.93,0.93,422400,VTGN
80,2018-04-27,0.93,0.95,0.9,0.92,0.92,184000,VTGN
81,2018-04-30,0.95,1.04,0.91,1.0,1.0,408400,VTGN
82,2018-05-01,1.06,1.08,0.96,1.04,1.04,810400,VTGN
83,2018-05-02,1.04,1.06,0.97,1.0,1.0,219200,VTGN
84,2018-05-03,1.0,1.0,0.96,0.98,0.98,100700,VTGN
85,2018-05-04,0.99,1.05,0.95,0.99,0.99,126200,VTGN
86,2018-05-07,1.02,1.03,0.99,1.02,1.02,174200,VTGN
87,2018-05-08,1.02,1.05,1.01,1.04,1.04,184100,VTGN
88,2018-05-09,1.04,1.04,0.97,1.01,1.01,274500,VTGN
89,2018-05-10,1.04,1.04,1.01,1.04,1.04,157800,VTGN
90,2018-05-11,1.04,1.05,0.99,1.02,1.02,261500,VTGN
91,2018-05-14,1.05,1.05,0.99,1.04,1.04,166600,VTGN
92,2018-05-15,1.04,1.04,0.99,1.02,1.02,90700,VTGN
93,2018-05-16,1.01,1.02,0.94,0.95,0.95,124900,VTGN
94,2018-05-17,0.97,0.99,0.96,0.97,0.97,68600,VTGN
95,2018-05-18,0.99,1.0,0.96,1.0,1.0,66600,VTGN
96,2018-05-21,1.0,1.02,0.99,1.01,1.01,77800,VTGN
97,2018-05-22,1.02,1.02,0.96,0.99,0.99,97600,VTGN
98,2018-05-23,0.99,1.08,0.97,0.99,0.99,467400,VTGN
99,2018-05-24,1.0,1.0,0.96,0.97,0.97,1137100,VTGN
100,2018-05-25,1.67,1.76,1.41,1.47,1.47,27963200,VTGN
101,2018-05-29,1.43,1.44,1.26,1.32,1.32,2612400,VTGN
102,2018-05-30,1.4,1.4,1.27,1.39,1.39,1694600,VTGN
103,2018-05-31,1.38,1.43,1.31,1.41,1.41,780900,VTGN
