,Date,Open,High,Low,Close,Adj Close,Volume,ticker
0,2018-01-02,8.2,8.6,8.0,8.25,8.25,41160,YVR
1,2018-01-03,8.35,9.5,8.05,9.25,9.25,181680,YVR
2,2018-01-04,9.35,10.25,8.25,9.15,9.15,154000,YVR
3,2018-01-05,8.8,9.25,8.65,8.95,8.95,32860,YVR
4,2018-01-08,8.65,9.2,8.45,8.8,8.8,26460,YVR
5,2018-01-09,8.65,9.1,8.4,8.55,8.55,22240,YVR
6,2018-01-10,8.55,8.75,8.25,8.35,8.35,25620,YVR
7,2018-01-11,8.5,8.5,7.6,8.25,8.25,36280,YVR
8,2018-01-12,8.2,9.15,7.9,8.95,8.95,108740,YVR
9,2018-01-16,9.25,11.5,8.4,8.5,8.5,327460,YVR
10,2018-01-17,8.25,8.7,8.2,8.2,8.2,28220,YVR
11,2018-01-18,8.15,8.9,8.0,8.6,8.6,44160,YVR
12,2018-01-19,8.75,9.25,8.35,9.15,9.15,73880,YVR
13,2018-01-22,9.15,9.25,8.5,8.8,8.8,25280,YVR
14,2018-01-23,8.75,9.2,8.3,8.65,8.65,54760,YVR
15,2018-01-24,8.75,8.75,8.3,8.45,8.45,21000,YVR
16,2018-01-25,8.45,8.8,8.4,8.45,8.45,32920,YVR
17,2018-01-26,8.5,8.5,8.0,8.15,8.15,13000,YVR
18,2018-01-29,8.25,8.35,7.8,7.85,7.85,19020,YVR
19,2018-01-30,7.8,8.0,7.25,7.65,7.65,30680,YVR
20,2018-01-31,7.5,7.85,7.5,7.65,7.65,16380,YVR
21,2018-02-01,7.5,7.55,7.25,7.25,7.25,16720,YVR
22,2018-02-02,7.25,7.9,7.05,7.1,7.1,23360,YVR
23,2018-02-05,7.15,7.4,6.8,7.05,7.05,9320,YVR
24,2018-02-06,6.95,7.05,6.6,6.8,6.8,7100,YVR
25,2018-02-07,6.75,7.15,6.55,6.9,6.9,23760,YVR
26,2018-02-08,7.75,9.0,7.15,7.3,7.3,135460,YVR
27,2018-02-09,7.35,7.35,6.4,6.95,6.95,26100,YVR
28,2018-02-12,6.9,7.5,6.8,7.25,7.25,27080,YVR
29,2018-02-13,7.2,7.35,6.7,6.8,6.8,8740,YVR
30,2018-02-14,6.85,7.05,6.8,7.05,7.05,7820,YVR
31,2018-02-15,7.05,7.15,6.9,7.0,7.0,3620,YVR
32,2018-02-16,6.95,7.55,6.95,7.0,7.0,61600,YVR
