,Date,Open,High,Low,Close,Adj Close,Volume,ticker
0,2018-01-02,91.199997,93.599998,88.199997,91.199997,91.199997,7473,ATXS
1,2018-01-03,90.599998,96.599998,90.599998,94.199997,94.199997,4740,ATXS
2,2018-01-04,95.400002,99.599998,95.339996,96.599998,96.599998,4365,ATXS
3,2018-01-05,98.400002,99.0,92.760002,94.199997,94.199997,4693,ATXS
4,2018-01-08,95.400002,96.0,90.599998,93.0,93.0,2718,ATXS
5,2018-01-09,92.400002,94.919998,90.599998,93.0,93.0,4113,ATXS
6,2018-01-10,92.400002,94.199997,91.199997,93.0,93.0,2227,ATXS
7,2018-01-11,94.199997,95.400002,91.800003,93.599998,93.599998,1628,ATXS
8,2018-01-12,93.599998,93.599998,90.0,92.400002,92.400002,4573,ATXS
9,2018-01-16,91.800003,94.199997,88.199997,89.400002,89.400002,3587,ATXS
10,2018-01-17,90.0,93.0,88.199997,90.0,90.0,2365,ATXS
11,2018-01-18,90.0,93.599998,88.199997,91.800003,91.800003,1882,ATXS
12,2018-01-19,93.0,93.0,89.400002,91.800003,91.800003,1735,ATXS
13,2018-01-22,91.800003,93.599998,90.0,93.0,93.0,3348,ATXS
14,2018-01-23,91.199997,94.199997,90.0,93.0,93.0,3150,ATXS
15,2018-01-24,93.0,93.599998,90.0,90.0,90.0,3043,ATXS
16,2018-01-25,91.199997,91.199997,89.400002,90.0,90.0,2548,ATXS
17,2018-01-26,90.0,93.0,86.400002,90.0,90.0,13518,ATXS
18,2018-01-29,90.0,91.199997,88.199997,90.599998,90.599998,3080,ATXS
19,2018-01-30,89.400002,90.599998,88.199997,88.800003,88.800003,1610,ATXS
20,2018-01-31,91.199997,91.199997,88.199997,89.400002,89.400002,2640,ATXS
21,2018-02-01,90.0,90.0,85.199997,88.199997,88.199997,1275,ATXS
22,2018-02-02,87.0,88.32,84.0,85.199997,85.199997,1763,ATXS
23,2018-02-05,84.599998,84.599998,79.260002,80.400002,80.400002,3437,ATXS
24,2018-02-06,79.199997,80.400002,78.0,78.599998,78.599998,2420,ATXS
25,2018-02-07,79.800003,80.400002,76.800003,78.599998,78.599998,3375,ATXS
26,2018-02-08,78.599998,79.800003,74.459999,76.800003,76.800003,3118,ATXS
27,2018-02-09,76.199997,76.199997,69.0,73.800003,73.800003,5293,ATXS
28,2018-02-12,72.599998,76.199997,71.400002,75.0,75.0,6245,ATXS
29,2018-02-13,106.199997,142.800003,92.400002,93.599998,93.599998,449947,ATXS
30,2018-02-14,93.0,93.0,82.199997,83.400002,83.400002,52457,ATXS
31,2018-02-15,84.599998,86.400002,81.0,83.400002,83.400002,20092,ATXS
32,2018-02-16,84.0,106.199997,84.0,96.0,96.0,92007,ATXS
33,2018-02-20,96.0,100.199997,90.18,93.599998,93.599998,25548,ATXS
34,2018-02-21,93.0,96.0,87.599998,92.400002,92.400002,11603,ATXS
35,2018-02-22,93.0,100.800003,92.400002,100.5,100.5,22607,ATXS
36,2018-02-23,99.599998,108.599998,97.199997,104.400002,104.400002,24475,ATXS
37,2018-02-26,104.400002,110.339996,101.400002,105.0,105.0,10155,ATXS
38,2018-02-27,106.800003,107.400002,96.599998,102.0,102.0,9125,ATXS
39,2018-02-28,102.0,103.800003,97.260002,103.199997,103.199997,5080,ATXS
40,2018-03-01,102.0,122.339996,100.860001,119.400002,119.400002,32570,ATXS
41,2018-03-02,118.199997,123.0,111.599998,117.0,117.0,18083,ATXS
42,2018-03-05,117.0,123.0,115.860001,117.599998,117.599998,12580,ATXS
43,2018-03-06,119.400002,126.0,109.260002,121.800003,121.800003,15477,ATXS
44,2018-03-07,120.599998,123.0,115.199997,122.400002,122.400002,6638,ATXS
45,2018-03-08,122.400002,125.400002,118.800003,121.800003,121.800003,8782,ATXS
46,2018-03-09,122.400002,124.199997,121.199997,123.0,123.0,6165,ATXS
47,2018-03-12,123.0,126.599998,121.199997,123.0,123.0,8258,ATXS
48,2018-03-13,123.0,126.599998,115.800003,118.800003,118.800003,6850,ATXS
49,2018-03-14,118.199997,119.400002,114.599998,115.199997,115.199997,4618,ATXS
