,Date,Open,High,Low,Close,Adj Close,Volume,ticker
0,2018-01-02,5.05,5.5,4.95,5.15,5.15,23420,BIMI
1,2018-01-03,5.1,5.6,4.85,5.35,5.35,18760,BIMI
2,2018-01-04,5.35,6.45,5.2,6.35,6.35,155760,BIMI
3,2018-01-05,6.35,7.45,5.75,5.85,5.85,167520,BIMI
4,2018-01-08,5.95,6.25,5.6,6.05,6.05,12460,BIMI
5,2018-01-09,5.95,6.05,5.65,5.8,5.8,13140,BIMI
6,2018-01-10,5.7,5.75,5.5,5.55,5.55,5500,BIMI
7,2018-01-11,5.6,5.75,5.5,5.75,5.75,10320,BIMI
8,2018-01-12,5.65,5.9,5.65,5.65,5.65,3340,BIMI
9,2018-01-16,5.85,7.2,5.8,6.35,6.35,104440,BIMI
10,2018-01-17,6.5,6.5,5.95,6.05,6.05,10120,BIMI
11,2018-01-18,5.85,6.2,5.85,6.0,6.0,5340,BIMI
12,2018-01-19,5.85,6.2,5.75,6.2,6.2,3820,BIMI
13,2018-01-22,6.1,6.1,5.75,5.75,5.75,9700,BIMI
14,2018-01-23,5.9,5.95,5.75,5.9,5.9,2660,BIMI
15,2018-01-24,5.9,6.1,5.75,5.85,5.85,3140,BIMI
16,2018-01-25,5.85,5.85,5.55,5.55,5.55,9420,BIMI
17,2018-01-26,5.55,6.1,5.3,5.6,5.6,10900,BIMI
18,2018-01-29,5.6,5.7,5.4,5.5,5.5,3500,BIMI
19,2018-01-30,5.6,6.05,4.95,5.0,5.0,26260,BIMI
20,2018-01-31,5.25,5.35,5.0,5.15,5.15,25700,BIMI
21,2018-02-01,5.2,5.2,5.0,5.1,5.1,7000,BIMI
22,2018-02-02,5.25,5.3,4.9,5.0,5.0,18900,BIMI
23,2018-02-05,5.05,5.2,4.7,4.7,4.7,7720,BIMI
24,2018-02-06,4.65,4.75,4.45,4.7,4.7,14740,BIMI
25,2018-02-07,4.55,5.25,4.55,4.95,4.95,14400,BIMI
26,2018-02-08,5.0,5.0,4.75,4.9,4.9,8680,BIMI
27,2018-02-09,5.0,5.0,4.75,4.8,4.8,5340,BIMI
28,2018-02-12,4.65,4.85,4.5,4.5,4.5,20380,BIMI
29,2018-02-13,4.6,4.7,4.4,4.6,4.6,10720,BIMI
30,2018-02-14,4.6,4.85,4.4,4.65,4.65,5380,BIMI
31,2018-02-15,4.75,4.75,4.55,4.6,4.6,2920,BIMI
32,2018-02-16,4.65,4.65,4.4,4.5,4.5,5240,BIMI
33,2018-02-20,4.55,4.55,4.55,4.55,4.55,2040,BIMI
34,2018-02-21,4.55,4.7,4.55,4.55,4.55,1180,BIMI
35,2018-02-22,4.55,5.1,4.55,4.85,4.85,18800,BIMI
36,2018-02-23,4.75,4.85,4.75,4.75,4.75,3940,BIMI
37,2018-02-26,4.8,5.0,4.8,4.9,4.9,4000,BIMI
38,2018-02-27,4.95,4.95,4.65,4.75,4.75,10140,BIMI
39,2018-02-28,4.7,4.95,4.45,4.45,4.45,2920,BIMI
40,2018-03-01,4.4,4.8,4.35,4.4,4.4,12980,BIMI
41,2018-03-02,4.45,4.55,4.45,4.5,4.5,660,BIMI
42,2018-03-05,4.65,4.75,4.5,4.6,4.6,4660,BIMI
43,2018-03-06,4.5,4.6,4.5,4.6,4.6,1680,BIMI
44,2018-03-07,4.5,4.75,4.5,4.55,4.55,320,BIMI
45,2018-03-08,4.5,4.85,4.5,4.7,4.7,1720,BIMI
46,2018-03-09,4.7,4.75,4.5,4.55,4.55,1980,BIMI
47,2018-03-12,4.5,4.7,4.3,4.5,4.5,8640,BIMI
48,2018-03-13,4.45,4.85,4.3,4.5,4.5,26140,BIMI
49,2018-03-14,4.45,4.5,4.45,4.5,4.5,2060,BIMI
50,2018-03-15,4.6,4.75,4.35,4.6,4.6,10200,BIMI
51,2018-03-16,4.75,5.5,4.7,5.1,5.1,32800,BIMI
52,2018-03-19,5.1,18.25,5.1,9.7,9.7,3462140,BIMI
53,2018-03-20,8.9,9.7,7.5,7.9,7.9,312040,BIMI
54,2018-03-21,7.95,8.2,6.7,7.9,7.9,164300,BIMI
55,2018-03-22,6.75,8.25,6.45,7.25,7.25,106040,BIMI
56,2018-03-23,7.15,11.0,7.15,8.05,8.05,1469280,BIMI
57,2018-03-26,8.05,10.35,7.9,8.25,8.25,630040,BIMI
58,2018-03-27,8.15,8.45,7.3,8.15,8.15,84100,BIMI
59,2018-03-28,8.15,8.15,7.1,7.2,7.2,68080,BIMI
60,2018-03-29,7.9,7.9,7.0,7.1,7.1,38420,BIMI
61,2018-04-02,7.55,7.9,6.2,6.35,6.35,85420,BIMI
62,2018-04-03,6.35,6.5,5.7,5.85,5.85,79260,BIMI
63,2018-04-04,5.8,6.4,5.55,5.75,5.75,23380,BIMI
