,Date,Open,High,Low,Close,Adj Close,Volume,ticker
0,2020-12-23,9.24,14.24,8.61,11.02,11.02,3831300,GBS
1,2020-12-24,11.86,12.65,9.78,10.55,10.55,1508300,GBS
2,2020-12-28,9.71,9.9,9.01,9.58,9.58,818600,GBS
3,2020-12-29,9.73,9.73,8.35,8.58,8.58,1201200,GBS
4,2020-12-30,8.5,8.88,7.61,7.7,7.7,636800,GBS
5,2020-12-31,7.75,7.75,7.03,7.4,7.4,337300,GBS
6,2021-01-04,7.54,7.59,7.04,7.52,7.52,348500,GBS
7,2021-01-05,7.25,8.48,7.1,7.96,7.96,474400,GBS
8,2021-01-06,7.68,8.275,7.52,7.65,7.65,234800,GBS
9,2021-01-07,7.75,7.999,7.33,7.5,7.5,195100,GBS
10,2021-01-08,7.59,7.59,7.12,7.44,7.44,227700,GBS
11,2021-01-11,7.45,7.9,7.31,7.59,7.59,495500,GBS
12,2021-01-12,7.54,8.23,7.39,7.92,7.92,388000,GBS
13,2021-01-13,7.94,8.0,7.55,7.72,7.72,195200,GBS
14,2021-01-14,7.65,8.0,7.51,7.95,7.95,193100,GBS
15,2021-01-15,7.83,8.59,7.71,8.25,8.25,574700,GBS
16,2021-01-19,8.25,8.4,7.92,8.04,8.04,220600,GBS
17,2021-01-20,7.99,8.24,7.6,7.7,7.7,186600,GBS
18,2021-01-21,7.7,7.89,7.411,7.88,7.88,203200,GBS
19,2021-01-22,7.82,8.04,7.65,7.9,7.9,167400,GBS
20,2021-01-25,7.81,7.98,7.59,7.87,7.87,145400,GBS
21,2021-01-26,7.9,8.33,7.81,8.0,8.0,328400,GBS
22,2021-01-27,7.85,8.03,7.6,7.71,7.71,214300,GBS
23,2021-01-28,7.7,7.7,7.25,7.4,7.4,158000,GBS
24,2021-01-29,7.43,7.68,7.41,7.55,7.55,226700,GBS
25,2021-02-01,7.61,7.9,7.43,7.83,7.83,131600,GBS
26,2021-02-02,7.62,7.8,7.41,7.6,7.6,176700,GBS
27,2021-02-03,7.6,8.6,7.55,8.13,8.13,780000,GBS
28,2021-02-04,8.18,8.38,7.81,8.19,8.19,276200,GBS
29,2021-02-05,8.2,8.27,7.88,8.07,8.07,46500,GBS
30,2021-02-08,8.27,8.58,7.9,7.99,7.99,273900,GBS
31,2021-02-09,8.0,8.0,7.65,7.86,7.86,200400,GBS
32,2021-02-10,7.98,8.19,7.72,7.84,7.84,142500,GBS
33,2021-02-11,7.79,8.22,7.56,7.9,7.9,348600,GBS
34,2021-02-12,7.94,8.09,7.8,7.92,7.92,79600,GBS
35,2021-02-16,7.9,7.91,7.11,7.16,7.16,386100,GBS
36,2021-02-17,7.11,8.36,6.37,7.18,7.18,2188300,GBS
37,2021-02-18,8.21,9.63,7.4,7.55,7.55,4436900,GBS
38,2021-02-19,7.48,7.54,6.9,7.27,7.27,405200,GBS
39,2021-02-22,7.39,7.8,7.22,7.35,7.35,308400,GBS
40,2021-02-23,7.11,7.29,6.405,6.46,6.46,272700,GBS
41,2021-02-24,6.6,6.86,6.48,6.66,6.66,169600,GBS
42,2021-02-25,6.77,6.77,6.145,6.17,6.17,270400,GBS
43,2021-02-26,6.15,6.445,5.712,5.98,5.98,165900,GBS
44,2021-03-01,6.11,8.0,5.99,7.91,7.91,3029600,GBS
45,2021-03-02,8.106,8.5,7.68,8.0,8.0,837100,GBS
46,2021-03-03,7.8,7.93,7.02,7.2,7.2,337400,GBS
47,2021-03-04,7.12,7.12,6.01,6.3,6.3,362500,GBS
48,2021-03-05,6.35,6.51,5.8,6.08,6.08,150100,GBS
49,2021-03-08,6.27,6.5,6.091,6.15,6.15,87700,GBS
50,2021-03-09,6.3,6.98,6.21,6.69,6.69,218000,GBS
51,2021-03-10,6.75,6.98,6.23,6.23,6.23,127800,GBS
52,2021-03-11,6.41,6.97,6.33,6.97,6.97,203800,GBS
53,2021-03-12,6.91,7.24,6.86,7.0,7.0,80700,GBS
54,2021-03-15,7.03,7.13,6.87,7.07,7.07,71300,GBS
55,2021-03-16,7.1,7.13,6.66,6.71,6.71,116400,GBS
56,2021-03-17,6.59,6.92,6.33,6.81,6.81,116000,GBS
57,2021-03-18,6.81,7.14,6.8,6.8,6.8,97200,GBS
58,2021-03-19,6.9,7.0,6.56,6.56,6.56,75000,GBS
59,2021-03-22,6.74,6.858,6.459,6.56,6.56,103300,GBS
60,2021-03-23,6.66,6.98,6.425,6.47,6.47,62600,GBS
61,2021-03-24,6.41,6.65,5.9,6.0,6.0,157700,GBS
62,2021-03-25,5.85,6.07,5.516,5.81,5.81,170100,GBS
63,2021-03-26,5.94,6.05,5.55,5.59,5.59,149600,GBS
64,2021-03-29,5.45,5.67,5.1,5.21,5.21,128500,GBS
65,2021-03-30,5.15,5.61,5.01,5.56,5.56,237800,GBS
66,2021-03-31,5.61,5.774,5.48,5.65,5.65,102800,GBS
67,2021-04-01,5.63,5.78,5.42,5.7,5.7,109000,GBS
68,2021-04-05,5.75,5.76,5.6,5.72,5.72,27200,GBS
69,2021-04-06,5.76,5.78,5.61,5.703,5.703,21900,GBS
70,2021-04-07,5.7,5.73,5.5,5.7,5.7,13800,GBS
71,2021-04-08,5.66,5.66,5.49,5.56,5.56,19200,GBS
72,2021-04-09,5.56,5.6,5.38,5.4,5.4,34200,GBS
73,2021-04-12,5.4,5.485,5.15,5.15,5.15,46200,GBS
74,2021-04-13,5.15,5.312,5.13,5.2,5.2,24900,GBS
75,2021-04-14,5.14,5.25,5.11,5.11,5.11,61000,GBS
76,2021-04-15,5.11,5.669,4.5,4.73,4.73,713900,GBS
77,2021-04-16,4.56,4.91,4.34,4.65,4.65,111300,GBS
78,2021-04-19,4.54,4.54,4.11,4.17,4.17,72200,GBS
79,2021-04-20,4.23,4.38,4.03,4.2,4.2,55700,GBS
80,2021-04-21,4.15,4.242,4.11,4.19,4.19,37900,GBS
81,2021-04-22,4.18,4.3,4.1,4.2,4.2,49100,GBS
82,2021-04-23,4.26,4.3,4.06,4.19,4.19,29800,GBS
83,2021-04-26,4.23,4.319,4.15,4.25,4.25,37900,GBS
84,2021-04-27,4.24,4.24,4.08,4.11,4.11,45400,GBS
85,2021-04-28,4.11,4.17,4.05,4.1,4.1,59100,GBS
86,2021-04-29,4.06,4.18,4.02,4.02,4.02,68900,GBS
87,2021-04-30,4.01,4.09,3.855,3.95,3.95,58400,GBS
88,2021-05-03,3.94,4.99,3.8,4.77,4.77,2259300,GBS
89,2021-05-04,4.39,4.64,3.82,3.9,3.9,726300,GBS
90,2021-05-05,4.07,4.41,3.94,4.18,4.18,548700,GBS
91,2021-05-06,4.19,4.36,3.92,3.97,3.97,175700,GBS
92,2021-05-07,3.98,4.16,3.925,4.07,4.07,172100,GBS
93,2021-05-10,4.12,4.142,3.84,3.9,3.9,184600,GBS
94,2021-05-11,3.66,3.89,3.56,3.7,3.7,156000,GBS
95,2021-05-12,3.72,3.86,3.435,3.47,3.47,112700,GBS
96,2021-05-13,3.44,3.5,3.04,3.15,3.15,171600,GBS
97,2021-05-14,3.15,3.2,3.06,3.1,3.1,111800,GBS
98,2021-05-17,3.13,3.13,2.95,2.97,2.97,131800,GBS
99,2021-05-18,3.0,3.13,2.935,3.1,3.1,657000,GBS
100,2021-05-19,3.02,3.17,2.95,3.05,3.05,249400,GBS
101,2021-05-20,3.09,3.15,3.02,3.07,3.07,166500,GBS
102,2021-05-21,3.15,3.39,3.08,3.13,3.13,214000,GBS
103,2021-05-24,3.24,3.3,3.1,3.2,3.2,164500,GBS
104,2021-05-25,3.19,3.269,3.11,3.15,3.15,45800,GBS
105,2021-05-26,3.15,3.185,3.12,3.15,3.15,52300,GBS
106,2021-05-27,3.18,3.257,3.1,3.16,3.16,73700,GBS
107,2021-05-28,3.14,3.19,2.98,3.01,3.01,428200,GBS
108,2021-06-01,3.02,3.03,2.76,2.78,2.78,402000,GBS
109,2021-06-02,2.8,2.82,2.441,2.65,2.65,637600,GBS
110,2021-06-03,2.72,2.81,2.62,2.72,2.72,675100,GBS
111,2021-06-04,2.73,2.99,2.72,2.88,2.88,556400,GBS
112,2021-06-07,2.9,2.919,2.75,2.89,2.89,326200,GBS
113,2021-06-08,3.21,3.75,3.21,3.45,3.45,4450500,GBS
114,2021-06-09,3.34,3.43,3.01,3.05,3.05,607500,GBS
115,2021-06-10,3.05,4.13,3.05,3.63,3.63,2373500,GBS
116,2021-06-11,4.63,4.9,3.92,4.31,4.31,11150100,GBS
117,2021-06-14,4.11,4.54,4.11,4.35,4.35,938300,GBS
118,2021-06-15,4.161,4.37,3.97,4.36,4.36,629100,GBS
119,2021-06-16,4.29,5.0,4.13,4.98,4.98,1357400,GBS
120,2021-06-17,4.6,4.99,4.31,4.32,4.32,808900,GBS
121,2021-06-18,4.335,4.75,4.331,4.45,4.45,455300,GBS
122,2021-06-21,4.44,4.51,3.72,3.75,3.75,667800,GBS
123,2021-06-22,3.76,3.94,3.51,3.83,3.83,371200,GBS
124,2021-06-23,3.97,4.07,3.75,3.95,3.95,307900,GBS
125,2021-06-24,3.96,4.07,3.82,3.92,3.92,213800,GBS
126,2021-06-25,3.93,4.1,3.88,3.89,3.89,249000,GBS
127,2021-06-28,4.0,4.1,3.87,3.96,3.96,162000,GBS
128,2021-06-29,4.0,4.04,3.77,3.89,3.89,137200,GBS
129,2021-06-30,3.88,4.1,3.87,3.94,3.94,326900,GBS
130,2021-07-01,3.96,3.98,3.65,3.68,3.68,147900,GBS
131,2021-07-02,3.7,3.73,3.38,3.41,3.41,164900,GBS
132,2021-07-06,3.45,3.48,3.22,3.27,3.27,116700,GBS
133,2021-07-07,3.3,3.41,2.9,2.95,2.95,194300,GBS
134,2021-07-08,3.84,4.65,3.28,3.93,3.93,8280300,GBS
135,2021-07-09,3.72,3.826,3.51,3.82,3.82,695400,GBS
136,2021-07-12,3.75,3.75,3.41,3.48,3.48,257300,GBS
137,2021-07-13,3.53,3.99,3.44,3.67,3.67,556100,GBS
138,2021-07-14,3.7,5.11,3.64,4.29,4.29,6275800,GBS
139,2021-07-15,4.085,4.14,3.42,3.43,3.43,1058800,GBS
140,2021-07-16,3.47,3.71,3.422,3.44,3.44,248100,GBS
141,2021-07-19,3.3,3.56,3.12,3.4,3.4,300000,GBS
142,2021-07-20,3.43,3.57,3.31,3.5,3.5,319100,GBS
143,2021-07-21,3.45,3.87,3.36,3.87,3.87,371900,GBS
144,2021-07-22,3.78,3.78,3.56,3.67,3.67,219900,GBS
145,2021-07-23,3.67,3.67,3.458,3.54,3.54,174300,GBS
146,2021-07-26,3.56,3.665,3.31,3.36,3.36,234800,GBS
147,2021-07-27,3.31,3.33,3.16,3.25,3.25,128700,GBS
148,2021-07-28,3.2,3.39,3.184,3.36,3.36,129200,GBS
149,2021-07-29,3.4,3.49,3.254,3.32,3.32,110400,GBS
150,2021-07-30,3.25,3.35,3.22,3.24,3.24,103800,GBS
151,2021-08-02,3.2,3.381,3.18,3.18,3.18,115300,GBS
152,2021-08-03,3.22,3.234,2.95,3.05,3.05,332200,GBS
153,2021-08-04,2.9,3.05,2.82,2.89,2.89,294400,GBS
154,2021-08-05,2.95,3.2,2.94,3.09,3.09,167700,GBS
155,2021-08-06,3.09,3.1,2.965,3.04,3.04,83400,GBS
156,2021-08-09,3.05,3.22,3.02,3.2,3.2,130300,GBS
157,2021-08-10,3.16,3.18,3.05,3.05,3.05,112300,GBS
158,2021-08-11,3.06,3.23,3.05,3.12,3.12,144900,GBS
159,2021-08-12,3.04,3.11,2.94,3.03,3.03,135000,GBS
160,2021-08-13,3.0,3.04,2.81,2.87,2.87,104500,GBS
161,2021-08-16,2.83,2.89,2.74,2.77,2.77,81200,GBS
162,2021-08-17,2.74,2.77,2.67,2.71,2.71,72800,GBS
163,2021-08-18,2.84,3.5,2.77,3.0,3.0,879100,GBS
164,2021-08-19,2.9,2.99,2.68,2.71,2.71,357000,GBS
165,2021-08-20,2.66,2.96,2.66,2.9,2.9,126300,GBS
166,2021-08-23,2.9,2.95,2.85,2.91,2.91,56800,GBS
167,2021-08-24,2.9,3.04,2.86,2.906,2.906,153000,GBS
168,2021-08-25,2.89,3.02,2.86,2.99,2.99,93200,GBS
169,2021-08-26,3.05,3.25,3.02,3.2,3.2,287100,GBS
170,2021-08-27,3.19,3.52,3.12,3.28,3.28,329200,GBS
171,2021-08-30,3.39,3.39,3.08,3.39,3.39,173300,GBS
172,2021-08-31,3.34,3.39,3.16,3.24,3.24,148900,GBS
