,Date,Open,High,Low,Close,Adj Close,Volume,ticker
0,2018-01-02,0.5999,0.5999,0.55,0.58,0.58,1106610,IMNPQ
1,2018-01-03,0.55,0.5901,0.55,0.58,0.58,305309,IMNPQ
2,2018-01-04,0.58,0.5899,0.5601,0.5701,0.5701,294034,IMNPQ
3,2018-01-05,0.6,0.6,0.56,0.562,0.562,785044,IMNPQ
4,2018-01-08,0.59,0.59,0.5701,0.5798,0.5798,714934,IMNPQ
5,2018-01-09,0.58,0.59,0.57,0.5815,0.5815,469358,IMNPQ
6,2018-01-10,0.58,0.68,0.5601,0.661,0.661,13082969,IMNPQ
7,2018-01-11,0.675,0.679,0.58,0.6118,0.6118,5560073,IMNPQ
8,2018-01-12,0.62,0.6299,0.59,0.6001,0.6001,1366058,IMNPQ
9,2018-01-16,0.635,0.635,0.6,0.6149,0.6149,1501640,IMNPQ
10,2018-01-17,0.615,0.6199,0.58,0.5881,0.5881,1467198,IMNPQ
11,2018-01-18,0.58,0.61,0.58,0.6021,0.6021,941771,IMNPQ
12,2018-01-19,0.602,0.6198,0.551,0.5905,0.5905,1726137,IMNPQ
13,2018-01-22,0.5905,0.6228,0.575,0.6011,0.6011,2460633,IMNPQ
14,2018-01-23,0.61,0.616,0.59,0.5903,0.5903,999858,IMNPQ
15,2018-01-24,0.5902,0.5949,0.5669,0.5749,0.5749,1288316,IMNPQ
16,2018-01-25,0.59,0.6081,0.575,0.5949,0.5949,1028293,IMNPQ
17,2018-01-26,0.607,0.607,0.5761,0.5952,0.5952,810148,IMNPQ
18,2018-01-29,0.6,0.66,0.59,0.6494,0.6494,6536557,IMNPQ
19,2018-01-30,0.64,0.645,0.58,0.6001,0.6001,7092314,IMNPQ
20,2018-01-31,0.615,0.6189,0.58,0.58,0.58,2169833,IMNPQ
21,2018-02-01,0.585,0.59,0.5221,0.545,0.545,4190672,IMNPQ
22,2018-02-02,0.54,0.54,0.4049,0.4706,0.4706,4847214,IMNPQ
23,2018-02-05,0.5,0.5,0.48,0.482,0.482,1429648,IMNPQ
24,2018-02-06,0.4817,0.485,0.4,0.4649,0.4649,1229915,IMNPQ
25,2018-02-07,0.476,0.5599,0.4651,0.548,0.548,2538998,IMNPQ
26,2018-02-08,0.48,0.5329,0.48,0.5001,0.5001,1712884,IMNPQ
27,2018-02-09,0.52,0.54,0.48,0.5302,0.5302,1675246,IMNPQ
28,2018-02-12,0.5525,0.5599,0.52,0.54,0.54,1344333,IMNPQ
29,2018-02-13,0.5491,0.55,0.5128,0.5263,0.5263,837571,IMNPQ
