,Date,Open,High,Low,Close,Adj Close,Volume,ticker
0,2021-03-24,9.8,9.88,9.69,9.75,9.75,6367800,KVSC
1,2021-03-25,9.69,9.865,9.69,9.86,9.86,3757500,KVSC
2,2021-03-26,9.91,10.02,9.86,10.0,10.0,1165200,KVSC
3,2021-03-29,10.0,10.01,9.895,9.9,9.9,972100,KVSC
4,2021-03-30,9.9,9.99,9.89,9.97,9.97,206400,KVSC
5,2021-03-31,9.97,10.04,9.95,9.96,9.96,305000,KVSC
6,2021-04-01,10.0,10.05,9.973,9.98,9.98,541400,KVSC
7,2021-04-05,10.0,10.18,10.0,10.06,10.06,235200,KVSC
8,2021-04-06,10.06,10.15,10.05,10.07,10.07,499500,KVSC
9,2021-04-07,10.04,10.1,10.02,10.1,10.1,99700,KVSC
10,2021-04-08,10.11,10.25,10.06,10.23,10.23,203700,KVSC
11,2021-04-09,10.1,10.24,10.08,10.15,10.15,458400,KVSC
12,2021-04-12,10.15,10.208,10.05,10.16,10.16,94600,KVSC
13,2021-04-13,10.14,10.2,10.11,10.14,10.14,46600,KVSC
14,2021-04-14,10.18,10.21,10.1,10.145,10.145,1201500,KVSC
15,2021-04-15,10.105,10.26,10.1,10.14,10.14,24700,KVSC
16,2021-04-16,10.13,10.156,10.1,10.11,10.11,12000,KVSC
17,2021-04-19,10.1,10.15,10.1,10.13,10.13,27700,KVSC
18,2021-04-20,10.13,10.15,10.06,10.06,10.06,47100,KVSC
19,2021-04-21,10.05,10.1,10.05,10.07,10.07,58900,KVSC
20,2021-04-22,10.13,10.13,10.05,10.06,10.06,67700,KVSC
21,2021-04-23,10.09,10.1,10.07,10.075,10.075,31700,KVSC
22,2021-04-26,10.1,10.12,10.1,10.115,10.115,322800,KVSC
23,2021-04-27,10.288,10.29,10.12,10.23,10.23,161800,KVSC
24,2021-04-28,10.26,10.29,10.19,10.24,10.24,286000,KVSC
25,2021-04-29,10.254,10.29,10.24,10.25,10.25,13500,KVSC
26,2021-04-30,10.15,10.28,10.15,10.28,10.28,29000,KVSC
27,2021-05-03,10.25,10.25,10.08,10.08,10.08,80800,KVSC
28,2021-05-04,10.1,10.14,10.01,10.14,10.14,86500,KVSC
29,2021-05-05,10.1,10.1,10.04,10.05,10.05,765200,KVSC
30,2021-05-06,10.05,10.06,10.01,10.06,10.06,94500,KVSC
31,2021-05-07,10.03,10.12,10.02,10.05,10.05,40800,KVSC
32,2021-05-10,10.11,10.14,10.0,10.08,10.08,113300,KVSC
33,2021-05-11,10.0,10.011,9.91,9.96,9.96,209900,KVSC
34,2021-05-12,10.0,10.01,9.9,9.95,9.95,167600,KVSC
35,2021-05-13,9.96,9.99,9.91,9.91,9.91,80400,KVSC
36,2021-05-14,9.95,10.0,9.91,9.99,9.99,120500,KVSC
37,2021-05-17,10.0,10.0,9.98,9.98,9.98,10500,KVSC
38,2021-05-18,9.96,10.0,9.96,9.995,9.995,253600,KVSC
39,2021-05-19,9.92,10.04,9.92,10.01,10.01,12700,KVSC
40,2021-05-20,10.01,10.04,10.0,10.01,10.01,19400,KVSC
41,2021-05-21,10.05,10.05,10.01,10.01,10.01,261000,KVSC
42,2021-05-24,9.96,10.0,9.95,9.98,9.98,1900,KVSC
43,2021-05-25,10.1,10.1,9.98,9.98,9.98,153800,KVSC
44,2021-05-26,9.95,10.02,9.95,9.98,9.98,194500,KVSC
45,2021-05-27,10.01,10.01,9.96,9.98,9.98,37700,KVSC
46,2021-05-28,10.0,10.0,9.96,9.98,9.98,9700,KVSC
47,2021-06-01,10.01,10.01,9.95,9.98,9.98,298700,KVSC
48,2021-06-02,9.98,9.99,9.97,9.97,9.97,13300,KVSC
49,2021-06-03,9.96,10.02,9.95,10.02,10.02,158000,KVSC
50,2021-06-04,9.99,10.02,9.97,9.99,9.99,113500,KVSC
51,2021-06-07,10.0,10.02,10.0,10.01,10.01,23800,KVSC
52,2021-06-08,10.0,10.02,10.0,10.0,10.0,6500,KVSC
53,2021-06-09,10.0,10.02,9.98,10.0,10.0,413300,KVSC
54,2021-06-10,10.0,10.02,9.99,10.0,10.0,16400,KVSC
55,2021-06-11,9.98,10.0,9.96,10.0,10.0,13400,KVSC
56,2021-06-14,9.98,10.0,9.92,9.92,9.92,761800,KVSC
57,2021-06-15,9.94,9.97,9.91,9.92,9.92,30700,KVSC
58,2021-06-16,9.92,9.94,9.91,9.91,9.91,2100,KVSC
59,2021-06-17,9.91,9.92,9.9,9.91,9.91,7200,KVSC
60,2021-06-18,9.92,9.95,9.91,9.95,9.95,5700,KVSC
61,2021-06-21,9.96,9.96,9.92,9.96,9.96,14800,KVSC
62,2021-06-22,9.94,10.0,9.94,10.0,10.0,32100,KVSC
63,2021-06-23,9.95,9.96,9.92,9.92,9.92,1800,KVSC
64,2021-06-24,9.94,9.97,9.93,9.95,9.95,29400,KVSC
65,2021-06-25,9.935,9.96,9.9,9.95,9.95,26300,KVSC
66,2021-06-28,9.91,9.96,9.87,9.87,9.87,85300,KVSC
67,2021-06-29,9.9,9.93,9.87,9.9,9.9,22100,KVSC
68,2021-06-30,9.87,9.885,9.87,9.87,9.87,4300,KVSC
69,2021-07-01,9.85,9.87,9.79,9.85,9.85,115400,KVSC
70,2021-07-02,9.87,9.87,9.8,9.83,9.83,42200,KVSC
71,2021-07-06,9.88,10.0,9.87,10.0,10.0,177600,KVSC
72,2021-07-07,10.0,10.0,9.968,10.0,10.0,92200,KVSC
73,2021-07-08,9.975,10.03,9.95,10.01,10.01,500600,KVSC
74,2021-07-09,10.02,10.03,9.99,10.03,10.03,128500,KVSC
75,2021-07-12,10.02,10.09,10.0,10.08,10.08,1104400,KVSC
76,2021-07-13,10.043,10.05,9.955,9.97,9.97,19200,KVSC
77,2021-07-14,9.963,10.002,9.91,9.99,9.99,24500,KVSC
78,2021-07-15,9.98,10.0,9.98,10.0,10.0,259700,KVSC
79,2021-07-16,9.96,10.0,9.93,9.97,9.97,7700,KVSC
80,2021-07-19,9.96,9.98,9.92,9.97,9.97,245700,KVSC
81,2021-07-20,10.07,10.07,9.94,9.94,9.94,23200,KVSC
82,2021-07-21,9.959,9.97,9.9,9.94,9.94,16700,KVSC
83,2021-07-22,9.94,9.95,9.9,9.94,9.94,6900,KVSC
84,2021-07-23,9.95,9.99,9.93,9.95,9.95,43200,KVSC
85,2021-07-26,9.95,9.95,9.82,9.85,9.85,105400,KVSC
86,2021-07-27,9.82,9.91,9.82,9.91,9.91,41000,KVSC
87,2021-07-28,9.92,9.92,9.837,9.87,9.87,20200,KVSC
88,2021-07-29,9.87,9.91,9.81,9.84,9.84,49300,KVSC
89,2021-07-30,9.89,9.92,9.83,9.92,9.92,54100,KVSC
90,2021-08-02,9.885,9.9,9.87,9.89,9.89,29900,KVSC
91,2021-08-03,9.88,9.89,9.84,9.85,9.85,11800,KVSC
92,2021-08-04,9.82,9.86,9.78,9.83,9.83,28800,KVSC
93,2021-08-05,9.853,9.86,9.74,9.8,9.8,75300,KVSC
94,2021-08-06,9.78,9.86,9.76,9.86,9.86,21700,KVSC
95,2021-08-09,9.86,9.86,9.77,9.81,9.81,27700,KVSC
96,2021-08-10,9.76,9.86,9.76,9.8,9.8,9900,KVSC
97,2021-08-11,9.77,9.848,9.77,9.8,9.8,40800,KVSC
98,2021-08-12,9.77,9.83,9.77,9.79,9.79,36500,KVSC
99,2021-08-13,9.82,9.82,9.79,9.8,9.8,15000,KVSC
100,2021-08-16,9.8,9.8,9.76,9.79,9.79,31200,KVSC
101,2021-08-17,9.77,9.8,9.72,9.8,9.8,19400,KVSC
102,2021-08-18,9.8,9.8,9.76,9.79,9.79,34000,KVSC
103,2021-08-19,9.78,9.8,9.731,9.74,9.74,43300,KVSC
104,2021-08-20,9.7,9.76,9.7,9.75,9.75,4600,KVSC
105,2021-08-23,9.72,9.78,9.71,9.78,9.78,69700,KVSC
106,2021-08-24,9.75,9.75,9.71,9.73,9.73,43200,KVSC
107,2021-08-25,9.79,9.79,9.72,9.735,9.735,8600,KVSC
108,2021-08-26,9.72,9.735,9.7,9.7,9.7,54200,KVSC
109,2021-08-27,9.75,9.75,9.7,9.7,9.7,47700,KVSC
110,2021-08-30,9.748,9.748,9.69,9.72,9.72,320100,KVSC
111,2021-08-31,9.7,9.74,9.7,9.72,9.72,6700,KVSC
112,2021-09-01,9.725,9.75,9.72,9.75,9.75,13800,KVSC
113,2021-09-02,9.768,9.78,9.733,9.74,9.74,6200,KVSC
114,2021-09-03,9.77,9.8,9.72,9.76,9.76,3200,KVSC
115,2021-09-07,9.757,9.8,9.75,9.79,9.79,5100,KVSC
116,2021-09-08,9.79,9.79,9.762,9.79,9.79,5000,KVSC
117,2021-09-09,9.79,9.79,9.7,9.79,9.79,36100,KVSC
118,2021-09-10,9.79,9.79,9.72,9.76,9.76,153100,KVSC
119,2021-09-13,9.79,9.8,9.76,9.77,9.77,16300,KVSC
120,2021-09-14,9.76,9.8,9.76,9.785,9.785,279000,KVSC
121,2021-09-15,9.79,9.79,9.77,9.775,9.775,53900,KVSC
122,2021-09-16,9.8,9.8,9.759,9.78,9.78,22800,KVSC
123,2021-09-17,9.8,9.8,9.741,9.77,9.77,8800,KVSC
124,2021-09-20,9.78,9.78,9.74,9.77,9.77,6100,KVSC
125,2021-09-21,9.72,9.8,9.72,9.8,9.8,25200,KVSC
126,2021-09-22,9.757,9.8,9.75,9.78,9.78,5200,KVSC
127,2021-09-23,9.79,9.8,9.76,9.79,9.79,64500,KVSC
128,2021-09-24,9.78,9.8,9.73,9.78,9.78,8200,KVSC
129,2021-09-27,9.74,9.8,9.74,9.8,9.8,346000,KVSC
130,2021-09-28,9.8,9.81,9.79,9.79,9.79,15100,KVSC
131,2021-09-29,9.808,9.81,9.77,9.81,9.81,4400,KVSC
132,2021-09-30,9.8,9.81,9.8,9.8,9.8,86200,KVSC
133,2021-10-01,9.785,9.81,9.785,9.8,9.8,32000,KVSC
134,2021-10-04,9.8,9.82,9.8,9.81,9.81,137600,KVSC
135,2021-10-05,9.79,9.82,9.79,9.81,9.81,7100,KVSC
136,2021-10-06,9.8,9.82,9.8,9.82,9.82,33600,KVSC
137,2021-10-07,9.81,9.82,9.81,9.82,9.82,5100,KVSC
138,2021-10-08,9.82,9.82,9.8,9.82,9.82,3500,KVSC
139,2021-10-11,9.82,9.82,9.784,9.81,9.81,3700,KVSC
140,2021-10-12,9.8,9.81,9.8,9.8,9.8,2400,KVSC
141,2021-10-13,9.81,9.81,9.76,9.79,9.79,205600,KVSC
142,2021-10-14,9.79,9.81,9.785,9.8,9.8,7500,KVSC
143,2021-10-15,9.808,9.82,9.79,9.8,9.8,9300,KVSC
144,2021-10-18,9.78,9.82,9.77,9.81,9.81,13600,KVSC
145,2021-10-19,9.81,9.82,9.8,9.81,9.81,19400,KVSC
146,2021-10-20,9.819,9.819,9.78,9.79,9.79,6300,KVSC
147,2021-10-21,9.78,9.83,9.78,9.82,9.82,58900,KVSC
148,2021-10-22,9.8,9.87,9.79,9.83,9.83,98600,KVSC
149,2021-10-25,9.84,9.84,9.79,9.83,9.83,8300,KVSC
150,2021-10-26,9.83,9.86,9.81,9.86,9.86,110800,KVSC
151,2021-10-27,9.85,9.86,9.83,9.85,9.85,43000,KVSC
152,2021-10-28,9.848,9.89,9.824,9.88,9.88,248200,KVSC
153,2021-10-29,9.85,9.87,9.831,9.87,9.87,106900,KVSC
154,2021-11-01,9.87,9.89,9.833,9.89,9.89,183800,KVSC
155,2021-11-02,9.87,9.9,9.86,9.89,9.89,177100,KVSC
156,2021-11-03,9.92,9.92,9.88,9.89,9.89,298100,KVSC
157,2021-11-04,9.9,9.9,9.88,9.88,9.88,41900,KVSC
158,2021-11-05,9.92,9.92,9.83,9.88,9.88,261200,KVSC
159,2021-11-08,9.89,9.99,9.87,9.96,9.96,375300,KVSC
160,2021-11-09,10.0,10.02,9.99,10.01,10.01,1707000,KVSC
161,2021-11-10,10.001,10.02,9.95,10.0,10.0,195900,KVSC
162,2021-11-11,10.0,10.02,9.97,9.981,9.981,731600,KVSC
163,2021-11-12,10.01,10.03,9.94,9.99,9.99,162800,KVSC
164,2021-11-15,9.99,10.0,9.96,9.98,9.98,69400,KVSC
165,2021-11-16,9.95,9.98,9.9,9.94,9.94,182200,KVSC
166,2021-11-17,9.919,9.95,9.915,9.92,9.92,258300,KVSC
167,2021-11-18,9.91,9.93,9.85,9.9,9.9,125500,KVSC
168,2021-11-19,9.92,9.93,9.87,9.87,9.87,46200,KVSC
169,2021-11-22,9.889,9.895,9.88,9.88,9.88,11100,KVSC
170,2021-11-23,9.9,9.92,9.85,9.91,9.91,67000,KVSC
171,2021-11-24,9.86,9.948,9.85,9.86,9.86,7000,KVSC
172,2021-11-26,9.84,9.88,9.83,9.83,9.83,4800,KVSC
173,2021-11-29,9.908,9.91,9.83,9.91,9.91,79100,KVSC
174,2021-11-30,9.92,9.94,9.88,9.93,9.93,77400,KVSC
175,2021-12-01,9.885,9.93,9.85,9.88,9.88,76400,KVSC
176,2021-12-02,9.89,9.9,9.85,9.89,9.89,38400,KVSC
177,2021-12-03,9.83,9.9,9.82,9.84,9.84,96100,KVSC
178,2021-12-06,9.85,9.85,9.84,9.85,9.85,58600,KVSC
179,2021-12-07,9.85,9.89,9.85,9.85,9.85,267300,KVSC
180,2021-12-08,9.84,9.89,9.84,9.88,9.88,36400,KVSC
181,2021-12-09,9.84,9.89,9.84,9.88,9.88,63100,KVSC
182,2021-12-10,9.879,9.883,9.85,9.863,9.863,3400,KVSC
183,2021-12-13,9.86,9.86,9.82,9.85,9.85,22400,KVSC
184,2021-12-14,9.82,9.83,9.8,9.8,9.8,17600,KVSC
185,2021-12-15,9.82,9.82,9.78,9.8,9.8,34900,KVSC
186,2021-12-16,9.79,9.8,9.77,9.8,9.8,41400,KVSC
187,2021-12-17,9.798,10.03,9.77,9.95,9.95,588900,KVSC
188,2021-12-20,9.865,9.9,9.82,9.87,9.87,28900,KVSC
