,Date,Open,High,Low,Close,Adj Close,Volume,ticker
0,2020-08-07,10.5,10.97,10.3,10.44,10.44,730300,NAUT
1,2020-08-10,10.75,10.79,10.4,10.4,10.4,49000,NAUT
2,2020-08-11,10.4,10.48,10.4,10.4,10.4,108200,NAUT
3,2020-08-12,10.31,10.56,10.3,10.4,10.4,64600,NAUT
4,2020-08-13,10.31,10.5,10.31,10.4,10.4,30000,NAUT
5,2020-08-14,10.4,10.5,10.4,10.49,10.49,111800,NAUT
6,2020-08-17,10.63,10.63,10.4,10.55,10.55,32800,NAUT
7,2020-08-18,10.5,10.5,10.42,10.43,10.43,2000,NAUT
8,2020-08-19,10.445,10.471,10.4,10.43,10.43,50900,NAUT
9,2020-08-20,10.49,10.5,10.35,10.49,10.49,35700,NAUT
10,2020-08-21,10.47,10.47,10.4,10.4,10.4,72800,NAUT
11,2020-08-24,10.5,10.5,10.4,10.5,10.5,21700,NAUT
12,2020-08-25,10.5,10.73,10.4,10.4,10.4,454900,NAUT
13,2020-08-26,10.41,10.7,10.4,10.6,10.6,124200,NAUT
14,2020-08-27,10.75,10.75,10.56,10.75,10.75,6300,NAUT
15,2020-08-28,10.625,10.75,10.6,10.75,10.75,4600,NAUT
16,2020-08-31,10.51,10.7,10.51,10.7,10.7,2500,NAUT
17,2020-09-01,10.52,10.835,10.4,10.7,10.7,93900,NAUT
18,2020-09-02,10.79,10.85,10.46,10.73,10.73,8800,NAUT
19,2020-09-03,10.79,10.79,10.536,10.79,10.79,40400,NAUT
20,2020-09-04,10.71,10.78,10.55,10.695,10.695,67700,NAUT
21,2020-09-08,10.645,10.79,10.5,10.79,10.79,43600,NAUT
22,2020-09-09,10.79,11.84,10.64,11.24,11.24,111300,NAUT
23,2020-09-10,11.0,11.07,10.8,10.825,10.825,46300,NAUT
24,2020-09-11,10.86,11.0,10.81,10.9,10.9,8700,NAUT
25,2020-09-14,10.95,11.0,10.89,10.9,10.9,43700,NAUT
26,2020-09-15,10.9,10.9,10.805,10.9,10.9,8600,NAUT
27,2020-09-16,10.9,10.9,10.8,10.81,10.81,18400,NAUT
28,2020-09-17,10.77,10.857,10.75,10.75,10.75,2300,NAUT
29,2020-09-18,10.9,10.9,10.78,10.82,10.82,8800,NAUT
30,2020-09-21,10.94,10.94,10.58,10.7,10.7,10500,NAUT
31,2020-09-22,10.75,10.9,10.6,10.88,10.88,5000,NAUT
32,2020-09-23,10.91,10.99,10.7,10.7,10.7,2400,NAUT
33,2020-09-24,10.65,10.95,10.524,10.7,10.7,7300,NAUT
34,2020-09-25,10.7,10.76,10.625,10.71,10.71,99900,NAUT
35,2020-09-28,10.89,10.89,10.737,10.755,10.755,7900,NAUT
36,2020-09-29,10.71,10.76,10.71,10.75,10.75,10100,NAUT
37,2020-09-30,10.74,10.92,10.7,10.815,10.815,161300,NAUT
38,2020-10-01,10.92,10.92,10.71,10.75,10.75,3100,NAUT
39,2020-10-02,10.785,10.785,10.65,10.71,10.71,1700,NAUT
40,2020-10-05,10.54,10.55,10.46,10.55,10.55,102200,NAUT
41,2020-10-06,10.425,10.76,10.3,10.758,10.758,45600,NAUT
42,2020-10-07,10.75,10.75,10.3,10.69,10.69,5400,NAUT
43,2020-10-08,10.67,10.69,10.51,10.65,10.65,10400,NAUT
44,2020-10-09,10.69,10.69,10.33,10.571,10.571,2300,NAUT
45,2020-10-12,10.5,10.7,10.5,10.67,10.67,2700,NAUT
