,Date,Open,High,Low,Close,Adj Close,Volume,ticker
0,2021-04-30,9.93,9.93,9.9,9.9,9.9,1200,NBST
1,2021-05-03,9.66,9.76,9.66,9.76,9.76,900,NBST
2,2021-05-04,9.76,9.76,9.76,9.76,9.76,0,NBST
3,2021-05-05,9.76,9.76,9.76,9.76,9.76,100,NBST
4,2021-05-06,9.7,9.7,9.7,9.7,9.7,100400,NBST
5,2021-05-07,9.67,9.92,9.67,9.74,9.74,9800,NBST
6,2021-05-10,9.66,9.68,9.65,9.68,9.68,16900,NBST
7,2021-05-11,9.6,9.66,9.6,9.66,9.66,2200,NBST
8,2021-05-12,9.64,9.76,9.61,9.61,9.61,48700,NBST
9,2021-05-13,9.61,9.63,9.61,9.63,9.63,147400,NBST
10,2021-05-14,9.66,9.66,9.63,9.63,9.63,2500,NBST
11,2021-05-17,9.81,9.81,9.58,9.62,9.62,2300,NBST
12,2021-05-18,9.69,9.69,9.62,9.63,9.63,1700,NBST
13,2021-05-19,9.91,9.91,9.6,9.7,9.7,1100,NBST
14,2021-05-20,9.79,9.79,9.61,9.65,9.65,13400,NBST
15,2021-05-21,9.68,9.7,9.64,9.64,9.64,15800,NBST
16,2021-05-24,9.65,9.65,9.61,9.61,9.61,7500,NBST
17,2021-05-25,9.62,9.65,9.62,9.635,9.635,7900,NBST
18,2021-05-26,9.77,9.92,9.6,9.64,9.64,224600,NBST
19,2021-05-27,9.64,9.64,9.64,9.64,9.64,0,NBST
20,2021-05-28,9.64,9.64,9.64,9.64,9.64,0,NBST
21,2021-06-01,9.65,9.66,9.62,9.65,9.65,88500,NBST
22,2021-06-02,9.67,9.67,9.62,9.62,9.62,500,NBST
23,2021-06-03,9.63,9.64,9.63,9.63,9.63,5800,NBST
24,2021-06-04,9.63,9.64,9.63,9.63,9.63,1600,NBST
25,2021-06-07,9.65,9.65,9.61,9.61,9.61,11800,NBST
26,2021-06-08,9.61,9.62,9.61,9.62,9.62,4400,NBST
27,2021-06-09,9.63,9.63,9.62,9.62,9.62,47300,NBST
28,2021-06-10,9.61,9.63,9.61,9.63,9.63,800,NBST
29,2021-06-11,9.65,9.65,9.65,9.65,9.65,3200,NBST
30,2021-06-14,9.65,9.65,9.65,9.65,9.65,400,NBST
31,2021-06-15,9.65,9.65,9.65,9.65,9.65,200,NBST
32,2021-06-16,9.65,9.65,9.65,9.65,9.65,0,NBST
33,2021-06-17,9.65,9.65,9.649,9.65,9.65,8200,NBST
34,2021-06-18,9.65,9.65,9.65,9.65,9.65,0,NBST
