,Date,Open,High,Low,Close,Adj Close,Volume,ticker
0,2018-01-02,8.83,8.94,8.7,8.72,8.72,264800,NEO
1,2018-01-03,8.74,8.79,8.5,8.57,8.57,212600,NEO
2,2018-01-04,8.61,8.62,8.44,8.58,8.58,124200,NEO
3,2018-01-05,8.57,8.73,8.5,8.73,8.73,191100,NEO
4,2018-01-08,8.74,8.83,8.39,8.41,8.41,277100,NEO
5,2018-01-09,8.42,8.58,8.4,8.45,8.45,322000,NEO
6,2018-01-10,8.41,8.51,8.31,8.48,8.48,153600,NEO
7,2018-01-11,8.46,8.7,8.46,8.51,8.51,442800,NEO
8,2018-01-12,8.52,8.55,8.1,8.3,8.3,469300,NEO
9,2018-01-16,8.32,8.4,7.95,7.97,7.97,361700,NEO
10,2018-01-17,7.98,8.0,7.78,7.93,7.93,330000,NEO
11,2018-01-18,7.93,8.11,7.85,8.0,8.0,1160800,NEO
12,2018-01-19,7.98,8.15,7.95,7.99,7.99,1087600,NEO
13,2018-01-22,8.01,8.13,7.81,7.83,7.83,591100,NEO
14,2018-01-23,7.79,7.8,7.28,7.72,7.72,841700,NEO
15,2018-01-24,7.77,8.01,7.67,7.82,7.82,535100,NEO
16,2018-01-25,7.84,7.95,7.7,7.86,7.86,433200,NEO
17,2018-01-26,7.87,7.93,7.73,7.83,7.83,204700,NEO
18,2018-01-29,7.84,7.99,7.77,7.84,7.84,232300,NEO
19,2018-01-30,7.77,7.93,7.6,7.75,7.75,346100,NEO
20,2018-01-31,7.8,7.81,7.56,7.72,7.72,347100,NEO
21,2018-02-01,7.7,7.81,7.56,7.8,7.8,341000,NEO
22,2018-02-02,7.78,7.9,7.69,7.77,7.77,198400,NEO
23,2018-02-05,7.76,7.9,7.6,7.61,7.61,402400,NEO
24,2018-02-06,7.47,7.56,7.08,7.41,7.41,886300,NEO
25,2018-02-07,7.42,7.59,7.25,7.49,7.49,543000,NEO
26,2018-02-08,7.5,7.51,7.22,7.23,7.23,353600,NEO
27,2018-02-09,7.26,7.34,7.19,7.26,7.26,419500,NEO
28,2018-02-12,7.27,7.36,7.22,7.25,7.25,219300,NEO
29,2018-02-13,7.21,7.38,7.18,7.35,7.35,193700,NEO
30,2018-02-14,7.29,7.39,7.22,7.31,7.31,319400,NEO
31,2018-02-15,7.35,7.61,7.3,7.6,7.6,340100,NEO
32,2018-02-16,7.56,7.74,7.44,7.52,7.52,234100,NEO
33,2018-02-20,7.5,7.68,7.3,7.36,7.36,549500,NEO
34,2018-02-21,7.35,8.36,7.23,8.08,8.08,1518900,NEO
35,2018-02-22,8.08,8.47,8.04,8.25,8.25,674200,NEO
36,2018-02-23,8.24,8.34,7.78,8.03,8.03,867000,NEO
37,2018-02-26,8.08,8.55,8.04,8.52,8.52,611000,NEO
38,2018-02-27,8.49,9.33,8.3,8.41,8.41,362900,NEO
39,2018-02-28,8.4,8.55,8.37,8.4,8.4,354000,NEO
40,2018-03-01,8.37,8.51,8.2,8.49,8.49,290400,NEO
41,2018-03-02,8.44,8.66,8.23,8.66,8.66,213900,NEO
42,2018-03-05,8.6,8.8,8.55,8.76,8.76,286400,NEO
43,2018-03-06,8.76,8.81,8.53,8.66,8.66,223000,NEO
44,2018-03-07,8.64,8.73,8.54,8.64,8.64,275500,NEO
45,2018-03-08,8.66,8.66,8.45,8.53,8.53,207500,NEO
46,2018-03-09,8.55,8.75,8.44,8.71,8.71,283300,NEO
47,2018-03-12,8.68,8.72,8.55,8.71,8.71,185800,NEO
48,2018-03-13,8.79,8.79,8.48,8.52,8.52,187400,NEO
49,2018-03-14,8.57,8.68,8.33,8.35,8.35,183900,NEO
50,2018-03-15,8.37,8.41,8.24,8.28,8.28,180400,NEO
51,2018-03-16,8.27,8.39,8.13,8.3,8.3,533800,NEO
52,2018-03-19,8.36,8.64,8.09,8.32,8.32,191800,NEO
53,2018-03-20,8.3,8.46,8.18,8.2,8.2,209300,NEO
54,2018-03-21,8.19,8.35,8.17,8.29,8.29,116600,NEO
55,2018-03-22,8.22,8.39,8.18,8.24,8.24,180500,NEO
56,2018-03-23,8.27,8.27,8.08,8.09,8.09,211800,NEO
57,2018-03-26,8.17,8.25,8.07,8.22,8.22,281500,NEO
58,2018-03-27,8.25,8.25,8.06,8.2,8.2,296300,NEO
59,2018-03-28,8.19,8.28,8.08,8.2,8.2,560500,NEO
60,2018-03-29,8.2,8.26,7.98,8.16,8.16,554000,NEO
61,2018-04-02,8.16,8.16,7.71,7.99,7.99,345400,NEO
62,2018-04-03,8.01,8.11,7.96,8.1,8.1,232600,NEO
63,2018-04-04,8.04,8.21,7.99,8.18,8.18,266900,NEO
64,2018-04-05,8.21,8.29,8.04,8.1,8.1,214700,NEO
65,2018-04-06,8.06,8.15,8.0,8.11,8.11,188600,NEO
66,2018-04-09,8.14,8.22,8.06,8.17,8.17,258000,NEO
67,2018-04-10,8.2,8.24,8.02,8.19,8.19,225700,NEO
68,2018-04-11,8.18,8.4,8.18,8.32,8.32,130400,NEO
69,2018-04-12,8.37,8.5,8.22,8.4,8.4,272300,NEO
70,2018-04-13,8.42,8.5,8.32,8.49,8.49,216500,NEO
71,2018-04-16,9.25,9.25,8.95,9.05,9.05,325600,NEO
72,2018-04-17,9.1,9.36,9.04,9.33,9.33,483500,NEO
73,2018-04-18,9.38,9.45,9.21,9.36,9.36,322000,NEO
74,2018-04-19,9.33,9.44,9.22,9.22,9.22,293700,NEO
75,2018-04-20,9.19,9.49,9.08,9.27,9.27,287300,NEO
76,2018-04-23,9.27,9.39,9.2,9.34,9.34,187900,NEO
77,2018-04-24,9.42,9.49,9.31,9.39,9.39,200200,NEO
78,2018-04-25,9.38,9.5,9.27,9.46,9.46,209100,NEO
79,2018-04-26,9.46,9.71,9.42,9.6,9.6,263600,NEO
80,2018-04-27,9.63,9.89,9.58,9.78,9.78,245000,NEO
81,2018-04-30,9.75,9.75,9.53,9.58,9.58,271400,NEO
82,2018-05-01,9.67,10.07,9.49,9.98,9.98,624900,NEO
83,2018-05-02,9.57,10.19,9.57,10.08,10.08,555400,NEO
84,2018-05-03,9.9,10.41,9.9,10.28,10.28,501400,NEO
85,2018-05-04,10.3,10.43,10.19,10.25,10.25,799400,NEO
86,2018-05-07,10.25,11.0,10.23,10.91,10.91,1183000,NEO
87,2018-05-08,10.89,10.91,10.65,10.78,10.78,499000,NEO
88,2018-05-09,10.71,11.1,10.62,11.0,11.0,635300,NEO
89,2018-05-10,10.99,11.19,10.96,11.04,11.04,688400,NEO
90,2018-05-11,11.04,11.18,10.76,10.88,10.88,858200,NEO
91,2018-05-14,10.85,11.12,10.84,11.03,11.03,659700,NEO
92,2018-05-15,11.02,11.25,11.0,11.24,11.24,650500,NEO
93,2018-05-16,11.19,11.33,11.0,11.25,11.25,386400,NEO
94,2018-05-17,11.25,11.33,11.17,11.3,11.3,422900,NEO
95,2018-05-18,11.31,11.39,11.21,11.24,11.24,291400,NEO
96,2018-05-21,11.29,11.41,11.23,11.34,11.34,322900,NEO
97,2018-05-22,11.38,11.61,11.21,11.46,11.46,222100,NEO
98,2018-05-23,11.48,11.7,11.29,11.32,11.32,384300,NEO
99,2018-05-24,11.36,11.68,11.25,11.57,11.57,463600,NEO
100,2018-05-25,11.58,11.9,11.51,11.6,11.6,352900,NEO
101,2018-05-29,11.52,11.72,11.5,11.7,11.7,427800,NEO
102,2018-05-30,11.71,11.8,11.63,11.69,11.69,298400,NEO
103,2018-05-31,11.63,11.71,11.59,11.6,11.6,277300,NEO
104,2018-06-01,11.65,12.95,11.63,12.54,12.54,1282200,NEO
105,2018-06-04,12.6,12.79,12.21,12.62,12.62,677900,NEO
106,2018-06-05,12.64,12.75,12.08,12.14,12.14,607600,NEO
107,2018-06-06,12.25,12.6,12.12,12.31,12.31,527800,NEO
108,2018-06-07,12.42,12.82,12.26,12.73,12.73,716900,NEO
109,2018-06-08,12.72,12.82,12.57,12.76,12.76,313200,NEO
110,2018-06-11,12.79,12.99,12.54,12.96,12.96,391300,NEO
111,2018-06-12,13.03,13.15,12.9,13.0,13.0,391200,NEO
112,2018-06-13,12.99,13.07,12.84,12.95,12.95,231700,NEO
113,2018-06-14,12.98,13.11,12.61,13.11,13.11,319500,NEO
