,Date,Open,High,Low,Close,Adj Close,Volume,ticker
0,2021-04-12,9.61,9.66,9.61,9.65,9.65,15100,PMGM
1,2021-04-13,9.65,9.65,9.65,9.65,9.65,0,PMGM
2,2021-04-14,9.75,10.05,9.74,9.8,9.8,100200,PMGM
3,2021-04-15,9.802,9.81,9.802,9.81,9.81,8900,PMGM
4,2021-04-16,9.81,9.81,9.81,9.81,9.81,0,PMGM
5,2021-04-19,9.81,9.81,9.81,9.81,9.81,0,PMGM
6,2021-04-20,9.81,9.81,9.81,9.81,9.81,0,PMGM
7,2021-04-21,9.81,9.81,9.81,9.81,9.81,0,PMGM
8,2021-04-22,9.81,9.81,9.81,9.81,9.81,0,PMGM
9,2021-04-23,9.81,9.81,9.81,9.81,9.81,0,PMGM
10,2021-04-26,9.81,9.81,9.81,9.81,9.81,0,PMGM
11,2021-04-27,9.81,9.81,9.81,9.81,9.81,0,PMGM
12,2021-04-28,9.81,9.81,9.81,9.81,9.81,0,PMGM
13,2021-04-29,9.9,9.9,9.78,9.78,9.78,10000,PMGM
14,2021-04-30,9.78,9.78,9.78,9.78,9.78,0,PMGM
15,2021-05-03,9.71,9.8,9.71,9.8,9.8,800,PMGM
16,2021-05-04,9.8,9.8,9.8,9.8,9.8,0,PMGM
17,2021-05-05,9.8,9.8,9.8,9.8,9.8,1800,PMGM
18,2021-05-06,9.71,9.71,9.67,9.67,9.67,500,PMGM
19,2021-05-07,9.835,9.835,9.835,9.835,9.835,200,PMGM
20,2021-05-10,9.835,9.835,9.835,9.835,9.835,0,PMGM
21,2021-05-11,9.8,9.8,9.8,9.8,9.8,600,PMGM
22,2021-05-12,9.8,9.8,9.8,9.8,9.8,0,PMGM
23,2021-05-13,9.8,9.8,9.8,9.8,9.8,0,PMGM
24,2021-05-14,9.8,9.8,9.8,9.8,9.8,0,PMGM
25,2021-05-17,9.67,9.67,9.67,9.67,9.67,4700,PMGM
26,2021-05-18,9.65,9.65,9.65,9.65,9.65,3400,PMGM
27,2021-05-19,9.65,9.65,9.65,9.65,9.65,0,PMGM
28,2021-05-20,9.65,9.65,9.65,9.65,9.65,0,PMGM
29,2021-05-21,9.65,9.65,9.65,9.65,9.65,0,PMGM
30,2021-05-24,9.65,9.65,9.65,9.65,9.65,0,PMGM
31,2021-05-25,9.65,9.65,9.65,9.65,9.65,0,PMGM
32,2021-05-26,9.763,9.763,9.72,9.72,9.72,1600,PMGM
33,2021-05-27,9.72,9.72,9.72,9.72,9.72,0,PMGM
34,2021-05-28,9.72,9.72,9.72,9.72,9.72,0,PMGM
35,2021-06-01,9.72,9.72,9.72,9.72,9.72,0,PMGM
36,2021-06-02,9.72,9.72,9.72,9.72,9.72,0,PMGM
37,2021-06-03,9.72,9.72,9.72,9.72,9.72,0,PMGM
38,2021-06-04,9.72,9.72,9.72,9.72,9.72,0,PMGM
39,2021-06-07,9.72,9.72,9.72,9.72,9.72,0,PMGM
40,2021-06-08,9.72,9.72,9.72,9.72,9.72,0,PMGM
41,2021-06-09,9.75,9.75,9.7,9.71,9.71,50800,PMGM
42,2021-06-10,9.71,9.71,9.71,9.71,9.71,0,PMGM
43,2021-06-11,9.71,9.71,9.71,9.71,9.71,0,PMGM
44,2021-06-14,9.66,9.76,9.21,9.7,9.7,48900,PMGM
45,2021-06-15,9.7,9.7,9.7,9.7,9.7,23500,PMGM
46,2021-06-16,9.7,9.7,9.65,9.65,9.65,85200,PMGM
47,2021-06-17,9.65,9.65,9.65,9.65,9.65,0,PMGM
48,2021-06-18,9.65,9.65,9.65,9.65,9.65,0,PMGM
49,2021-06-21,9.65,9.65,9.65,9.65,9.65,1400,PMGM
50,2021-06-22,9.73,9.73,9.7,9.73,9.73,1600,PMGM
51,2021-06-23,9.66,9.695,9.66,9.695,9.695,1600,PMGM
52,2021-06-24,9.66,9.66,9.66,9.66,9.66,600,PMGM
53,2021-06-25,9.66,9.66,9.65,9.66,9.66,24500,PMGM
54,2021-06-28,9.65,9.66,9.6,9.64,9.64,89500,PMGM
55,2021-06-29,9.64,9.64,9.64,9.64,9.64,0,PMGM
56,2021-06-30,9.64,9.64,9.63,9.64,9.64,900,PMGM
57,2021-07-01,9.64,9.64,9.64,9.64,9.64,0,PMGM
58,2021-07-02,9.65,9.655,9.63,9.65,9.65,21300,PMGM
59,2021-07-06,9.65,9.65,9.65,9.65,9.65,0,PMGM
60,2021-07-07,9.65,9.65,9.65,9.65,9.65,1900,PMGM
61,2021-07-08,9.63,9.66,9.63,9.655,9.655,162200,PMGM
62,2021-07-09,9.65,9.66,9.65,9.65,9.65,6600,PMGM
63,2021-07-12,9.65,9.65,9.65,9.65,9.65,2600,PMGM
64,2021-07-13,9.65,9.66,9.65,9.655,9.655,36000,PMGM
65,2021-07-14,9.66,9.66,9.65,9.655,9.655,9900,PMGM
66,2021-07-15,9.655,9.655,9.655,9.655,9.655,100,PMGM
67,2021-07-16,9.64,9.68,9.64,9.655,9.655,5500,PMGM
68,2021-07-19,9.64,9.655,9.64,9.65,9.65,5600,PMGM
69,2021-07-20,9.63,9.63,9.63,9.63,9.63,1100,PMGM
70,2021-07-21,9.63,9.63,9.63,9.63,9.63,0,PMGM
71,2021-07-22,9.63,9.63,9.63,9.63,9.63,0,PMGM
72,2021-07-23,9.66,9.67,9.66,9.67,9.67,2100,PMGM
73,2021-07-26,9.67,9.67,9.67,9.67,9.67,200,PMGM
74,2021-07-27,9.72,9.8,9.685,9.8,9.8,15700,PMGM
75,2021-07-28,9.8,9.8,9.8,9.8,9.8,0,PMGM
76,2021-07-29,9.8,9.8,9.8,9.8,9.8,0,PMGM
77,2021-07-30,9.8,9.8,9.8,9.8,9.8,0,PMGM
78,2021-08-02,9.8,9.8,9.8,9.8,9.8,0,PMGM
79,2021-08-03,9.8,9.8,9.8,9.8,9.8,0,PMGM
80,2021-08-04,9.65,9.65,9.64,9.64,9.64,16400,PMGM
81,2021-08-05,9.64,9.64,9.64,9.64,9.64,0,PMGM
82,2021-08-06,9.65,9.66,9.65,9.66,9.66,4200,PMGM
83,2021-08-09,9.66,9.66,9.66,9.66,9.66,0,PMGM
84,2021-08-10,9.66,9.79,9.66,9.67,9.67,3500,PMGM
85,2021-08-11,9.71,9.72,9.69,9.69,9.69,1800,PMGM
86,2021-08-12,9.698,9.725,9.69,9.69,9.69,150600,PMGM
87,2021-08-13,9.69,9.725,9.69,9.69,9.69,800,PMGM
88,2021-08-16,9.73,9.73,9.7,9.7,9.7,6900,PMGM
89,2021-08-17,9.7,9.73,9.7,9.73,9.73,300,PMGM
90,2021-08-18,9.73,9.73,9.73,9.73,9.73,0,PMGM
91,2021-08-19,9.68,9.76,9.68,9.76,9.76,151000,PMGM
92,2021-08-20,9.76,9.76,9.76,9.76,9.76,0,PMGM
93,2021-08-23,9.75,9.75,9.75,9.75,9.75,300,PMGM
94,2021-08-24,9.75,9.75,9.75,9.75,9.75,100,PMGM
95,2021-08-25,9.75,9.75,9.75,9.75,9.75,100,PMGM
96,2021-08-26,9.75,9.75,9.75,9.75,9.75,0,PMGM
97,2021-08-27,9.75,9.75,9.75,9.75,9.75,0,PMGM
98,2021-08-30,9.75,9.75,9.75,9.75,9.75,100,PMGM
99,2021-08-31,9.75,9.75,9.75,9.75,9.75,0,PMGM
100,2021-09-01,9.75,9.75,9.75,9.75,9.75,0,PMGM
101,2021-09-02,9.7,9.75,9.7,9.75,9.75,25000,PMGM
102,2021-09-03,9.75,9.75,9.75,9.75,9.75,0,PMGM
103,2021-09-07,9.75,9.75,9.75,9.75,9.75,0,PMGM
104,2021-09-08,9.75,9.75,9.75,9.75,9.75,0,PMGM
105,2021-09-09,9.7,9.7,9.7,9.7,9.7,100,PMGM
106,2021-09-10,9.7,9.7,9.7,9.7,9.7,0,PMGM
107,2021-09-13,9.7,9.7,9.7,9.7,9.7,0,PMGM
108,2021-09-14,9.71,9.71,9.71,9.71,9.71,300,PMGM
109,2021-09-15,9.71,9.71,9.71,9.71,9.71,0,PMGM
110,2021-09-16,9.71,9.75,9.67,9.75,9.75,2100,PMGM
111,2021-09-17,9.63,9.78,9.63,9.77,9.77,2700,PMGM
