,Date,Open,High,Low,Close,Adj Close,Volume,ticker
0,2021-01-25,10.7,10.7,10.3,10.443,10.443,20600,PTIC
1,2021-01-26,10.41,10.5,10.321,10.33,10.33,89300,PTIC
2,2021-01-27,10.31,10.31,10.15,10.2,10.2,4300,PTIC
3,2021-01-28,10.41,10.41,10.19,10.2,10.2,9900,PTIC
4,2021-01-29,10.27,10.3,10.23,10.3,10.3,1800,PTIC
5,2021-02-01,10.1,10.21,10.1,10.21,10.21,2800,PTIC
6,2021-02-02,10.28,10.36,10.204,10.35,10.35,12300,PTIC
7,2021-02-03,10.38,10.44,10.3,10.3,10.3,260200,PTIC
8,2021-02-04,10.34,10.47,10.27,10.28,10.28,42400,PTIC
9,2021-02-05,10.35,10.44,10.3,10.44,10.44,136600,PTIC
10,2021-02-08,10.5,10.5,10.27,10.35,10.35,57000,PTIC
11,2021-02-09,10.37,10.39,10.336,10.38,10.38,75500,PTIC
12,2021-02-10,10.43,10.65,10.4,10.62,10.62,78000,PTIC
13,2021-02-11,10.52,10.62,10.4,10.6,10.6,282500,PTIC
14,2021-02-12,10.6,10.65,10.5,10.5,10.5,67500,PTIC
15,2021-02-16,10.47,10.51,10.42,10.45,10.45,12600,PTIC
16,2021-02-17,10.45,10.48,10.4,10.42,10.42,54600,PTIC
17,2021-02-18,10.41,10.42,10.35,10.37,10.37,6500,PTIC
18,2021-02-19,10.4,10.55,10.38,10.55,10.55,50300,PTIC
19,2021-02-22,10.64,10.64,10.4,10.4,10.4,37500,PTIC
20,2021-02-23,10.39,10.45,10.28,10.4,10.4,125600,PTIC
21,2021-02-24,10.5,10.6,10.41,10.46,10.46,32500,PTIC
22,2021-02-25,10.47,10.525,10.35,10.35,10.35,49900,PTIC
23,2021-02-26,10.32,10.4,10.26,10.39,10.39,283100,PTIC
24,2021-03-01,10.36,10.36,10.245,10.25,10.25,51100,PTIC
25,2021-03-02,10.26,10.33,10.13,10.19,10.19,44900,PTIC
26,2021-03-03,10.13,10.22,9.98,9.99,9.99,67200,PTIC
27,2021-03-04,9.99,9.99,9.77,9.91,9.91,172300,PTIC
28,2021-03-05,9.85,9.99,9.8,9.94,9.94,74700,PTIC
29,2021-03-08,9.94,10.06,9.9,10.02,10.02,58300,PTIC
30,2021-03-09,10.06,10.06,9.88,9.88,9.88,44800,PTIC
31,2021-03-10,9.89,10.09,9.81,10.09,10.09,48200,PTIC
32,2021-03-11,10.125,10.15,9.89,10.03,10.03,29100,PTIC
33,2021-03-12,10.0,10.05,10.0,10.03,10.03,5100,PTIC
34,2021-03-15,10.13,10.13,9.9,10.0,10.0,13000,PTIC
35,2021-03-16,10.04,10.04,9.91,9.92,9.92,17700,PTIC
36,2021-03-17,9.88,10.0,9.88,9.92,9.92,22600,PTIC
37,2021-03-18,10.0,10.0,9.9,9.92,9.92,201800,PTIC
38,2021-03-19,10.05,10.05,9.9,9.99,9.99,23100,PTIC
39,2021-03-22,9.925,10.01,9.9,9.95,9.95,30400,PTIC
40,2021-03-23,9.91,9.98,9.83,9.98,9.98,131400,PTIC
