,Date,Open,High,Low,Close,Adj Close,Volume,ticker
0,2018-01-02,4.1,4.45,4.07,4.43,4.43,541300,TTOO
1,2018-01-03,4.47,4.75,4.45,4.64,4.64,542800,TTOO
2,2018-01-04,4.69,4.719,4.441,4.67,4.67,189300,TTOO
3,2018-01-05,4.75,5.047,4.62,5.01,5.01,535800,TTOO
4,2018-01-08,5.05,5.11,4.844,5.09,5.09,296200,TTOO
5,2018-01-09,5.14,5.47,5.02,5.11,5.11,510000,TTOO
6,2018-01-10,5.12,5.58,5.048,5.56,5.56,379800,TTOO
7,2018-01-11,5.61,5.82,5.35,5.42,5.42,384400,TTOO
8,2018-01-12,5.4,5.512,5.16,5.2,5.2,250800,TTOO
9,2018-01-16,5.25,5.28,4.85,4.99,4.99,227000,TTOO
10,2018-01-17,4.96,5.0,4.62,4.8,4.8,308200,TTOO
11,2018-01-18,4.83,5.181,4.75,5.12,5.12,139600,TTOO
12,2018-01-19,5.12,5.25,4.95,5.23,5.23,168800,TTOO
13,2018-01-22,5.2,5.29,5.06,5.09,5.09,146200,TTOO
14,2018-01-23,5.12,5.26,4.98,5.06,5.06,106400,TTOO
15,2018-01-24,5.15,5.16,5.0,5.06,5.06,124000,TTOO
16,2018-01-25,5.1,5.2,5.06,5.19,5.19,88700,TTOO
17,2018-01-26,5.19,5.26,5.131,5.23,5.23,103700,TTOO
18,2018-01-29,5.25,5.283,4.789,5.02,5.02,329000,TTOO
19,2018-01-30,4.97,5.01,4.891,4.96,4.96,47200,TTOO
20,2018-01-31,4.95,4.99,4.72,4.95,4.95,167300,TTOO
21,2018-02-01,4.91,5.08,4.846,4.92,4.92,143500,TTOO
22,2018-02-02,4.88,4.88,4.51,4.67,4.67,248800,TTOO
23,2018-02-05,4.67,4.75,4.4,4.51,4.51,189600,TTOO
24,2018-02-06,4.41,4.68,3.852,4.62,4.62,492000,TTOO
25,2018-02-07,4.63,4.7,4.43,4.69,4.69,159400,TTOO
26,2018-02-08,4.68,4.7,4.35,4.54,4.54,150800,TTOO
27,2018-02-09,4.56,4.735,3.934,4.28,4.28,316200,TTOO
28,2018-02-12,4.31,4.58,4.23,4.41,4.41,111100,TTOO
29,2018-02-13,4.4,4.54,4.27,4.44,4.44,92400,TTOO
30,2018-02-14,4.45,4.84,4.4,4.77,4.77,162000,TTOO
31,2018-02-15,4.76,4.94,4.62,4.86,4.86,130100,TTOO
32,2018-02-16,4.83,4.878,4.545,4.57,4.57,139700,TTOO
33,2018-02-20,4.52,4.709,4.44,4.46,4.46,96100,TTOO
34,2018-02-21,4.5,4.64,4.37,4.42,4.42,106300,TTOO
35,2018-02-22,4.45,4.45,4.15,4.21,4.21,124200,TTOO
36,2018-02-23,4.23,4.52,4.04,4.51,4.51,340100,TTOO
37,2018-02-26,4.55,4.56,4.39,4.46,4.46,56800,TTOO
38,2018-02-27,4.41,5.27,4.41,5.18,5.18,552600,TTOO
39,2018-02-28,5.62,5.73,5.22,5.25,5.25,822000,TTOO
40,2018-03-01,5.21,5.25,4.85,5.08,5.08,464900,TTOO
41,2018-03-02,5.1,6.49,4.97,6.36,6.36,1552800,TTOO
42,2018-03-05,6.45,6.58,5.99,6.15,6.15,848300,TTOO
43,2018-03-06,6.2,6.3,5.84,6.19,6.19,596000,TTOO
44,2018-03-07,5.72,6.055,5.61,5.73,5.73,781500,TTOO
45,2018-03-08,5.77,6.499,5.77,6.38,6.38,794000,TTOO
46,2018-03-09,6.54,6.93,6.292,6.8,6.8,831600,TTOO
47,2018-03-12,6.74,7.25,6.74,7.0,7.0,636800,TTOO
