,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,,2021-02-18 16:19:51,2021-02-16,AAOI,Murry Stefan J.,CFO,S - Sale,1226.0,-4000,78742,-5%,-49046.0,,,,,AAOI
1,,2021-02-18 16:01:12,2021-02-16,AAOI,Chang Hung-Lun (Fred),*** See Remarks,S - Sale,1225.0,-1080,87091,-1%,-13233.0,,,,,AAOI
2,,2021-02-12 16:01:20,2021-02-10,AAOI,Kuo David C,"GC, Secretary",S - Sale,1236.0,-1000,40064,-2%,-12359.0,,,,,AAOI
3,,2021-02-08 16:01:09,2021-02-04,AAOI,Lin Chih-Hsiang (Thompson),"Pres, CEO",S - Sale,1120.0,-5281,736979,-1%,-59148.0,,,,,AAOI
4,,2021-02-03 16:01:30,2021-02-01,AAOI,Lin Chih-Hsiang (Thompson),"Pres, CEO",S - Sale,1120.0,-2507,742260,0%,-28082.0,,,,,AAOI
5,,2021-01-29 16:05:36,2021-01-27,AAOI,Murry Stefan J.,CFO,S - Sale,1200.0,-3000,82742,-3%,-36000.0,,,,,AAOI
6,,2021-01-29 16:05:22,2021-01-27,AAOI,Lin Chih-Hsiang (Thompson),"Pres, CEO",S - Sale,1131.0,-23364,744767,-3%,-264158.0,,,,,AAOI
7,,2021-01-29 16:04:56,2021-01-27,AAOI,Chang Hung-Lun (Fred),*** See Remarks,S - Sale,1200.0,-5400,88171,-6%,-64808.0,,,,,AAOI
8,,2021-01-22 16:05:09,2021-01-20,AAOI,Kuo David C,"GC, Secretary",S - Sale,1100.0,-1000,43100,-2%,-11000.0,,,,,AAOI
9,,2021-01-06 16:01:09,2021-01-04,AAOI,Murry Stefan J.,CFO,S - Sale,867.0,-3000,89230,-3%,-25999.0,,,,,AAOI
10,,2020-12-23 16:01:24,2020-12-22,AAOI,Murry Stefan J.,CFO,S - Sale,900.0,-3000,92230,-3%,-27008.0,,,,,AAOI
11,,2020-12-14 16:01:10,2020-12-11,AAOI,Lin Che-Wei,Dir,P - Purchase,782.0,25401,91764,+38%,198725.0,,,,,AAOI
12,,2020-10-14 16:01:10,2020-10-12,AAOI,Kuo David C,"GC, Secretary",S - Sale,1174.0,-1000,46067,-2%,-11740.0,,,,,AAOI
13,,2020-10-05 16:01:34,2020-10-01,AAOI,Lin Chih-Hsiang (Thompson),"Pres, CEO",S - Sale,1122.0,-7788,793638,-1%,-87371.0,,,,,AAOI
14,,2020-09-23 16:01:13,2020-09-21,AAOI,Kuo David C,"GC, Secretary",S - Sale,1100.0,-1000,47067,-2%,-11000.0,,,,,AAOI
15,,2020-09-04 16:10:27,2020-09-01,AAOI,Lin Chih-Hsiang (Thompson),"Pres, CEO",S - Sale,1146.0,-7788,801426,-1%,-89288.0,,,,,AAOI
16,,2020-08-19 16:01:08,2020-08-17,AAOI,Chang Hung-Lun (Fred),*** See Remarks,S - Sale,1336.0,-1080,100082,-1%,-14429.0,,,,,AAOI
17,M,2020-08-12 16:01:19,2020-08-10,AAOI,Kuo David C,"GC, Secretary",S - Sale,1418.0,-13500,48067,-22%,-191425.0,,,,,AAOI
18,,2020-08-03 16:04:30,2020-08-03,AAOI,Yeh Shu-Hua (Joshua),*** See Remarks,S - Sale,1500.0,-2000,147841,-1%,-30001.0,,,,,AAOI
19,,2020-08-03 16:03:37,2020-07-30,AAOI,Murry Stefan J.,CFO,S - Sale,1352.0,-4000,98584,-4%,-54060.0,,,,,AAOI
20,,2020-08-03 16:02:38,2020-08-03,AAOI,Lin Chih-Hsiang (Thompson),"Pres, CEO",S - Sale,1465.0,-7788,809214,-1%,-114130.0,,,,,AAOI
21,,2020-07-24 16:05:57,2020-07-22,AAOI,Yeh Shu-Hua (Joshua),*** See Remarks,S - Sale,1501.0,-2000,149841,-1%,-30018.0,,,,,AAOI
