,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,,2022-03-15 17:59:40,2022-03-15,AOUT,Gallagher Mary E,Dir,P - Purchase,1361.0,3671,22194,+20%,49962.0,,,,,AOUT
1,,2021-12-14 19:04:49,2021-12-14,AOUT,Gallagher Mary E,Dir,P - Purchase,1980.0,2500,18523,+16%,49500.0,,,,,AOUT
2,,2021-12-13 17:33:38,2021-12-13,AOUT,Wadecki Isabell Marie,Dir,P - Purchase,1840.0,1000,34161,+3%,18400.0,,,,,AOUT
3,,2021-12-13 17:32:55,2021-12-13,AOUT,Murphy Brian Daniel,"Pres, CEO",P - Purchase,1832.0,2718,94700,+3%,49794.0,,,,,AOUT
4,,2021-12-13 17:32:17,2021-12-13,AOUT,Gluchowski Gregory J. Jr.,Dir,P - Purchase,1885.0,5500,49520,+12%,103675.0,,,,,AOUT
5,,2021-12-13 17:31:40,2021-12-13,AOUT,Fulmer Hugh Andrew,"EVP, CFO, Treasurer",P - Purchase,1895.0,2500,48130,+5%,47375.0,,,,,AOUT
6,,2021-12-13 17:30:41,2021-12-13,AOUT,Monheit Barry M,Dir,P - Purchase,1874.0,5000,46551,+12%,93700.0,,,,,AOUT
7,,2021-09-13 17:29:01,2021-09-13,AOUT,Gluchowski Gregory J. Jr.,Dir,P - Purchase,2500.0,4033,40777,+11%,100825.0,,,,,AOUT
8,,2021-09-13 17:27:00,2021-09-13,AOUT,Fulmer Hugh Andrew,"EVP, CFO, Treasurer",P - Purchase,2481.0,4000,45630,+10%,99240.0,,,,,AOUT
9,,2020-09-23 17:44:28,2020-09-21,AOUT,Wadecki Isabell Marie,Dir,P - Purchase,1297.0,1500,29918,+5%,19448.0,,,,,AOUT
10,,2020-09-23 17:43:25,2020-09-21,AOUT,Gluchowski Gregory J. Jr.,Dir,P - Purchase,1339.0,10000,36744,+37%,133900.0,,,,,AOUT
11,,2020-09-23 17:42:20,2020-09-23,AOUT,Fulmer Hugh Andrew,"EVP, CFO, Treasurer",P - Purchase,1326.0,10000,36707,+37%,132570.0,,,,,AOUT
12,,2020-09-23 17:41:07,2020-09-23,AOUT,Murphy Brian Daniel,"Pres, CEO",P - Purchase,1328.0,10000,71481,+16%,132770.0,,,,,AOUT
