,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,D,2021-12-21 19:35:26,2021-12-21,APPF,Randall Jason Robert,CEO,S - Sale+OE,12192.0,-8203,0,-100%,-1000110.0,,,,,APPF
1,,2021-12-03 19:46:43,2021-12-01,APPF,Kerr Janet,Dir,S - Sale,12238.0,-350,17048,-2%,-42833.0,,,,,APPF
2,,2021-10-22 20:05:08,2021-10-20,APPF,Rauth William R III,"Dir, 10%",P - Purchase,13087.0,72859,47770,-290%,9535057.0,,,,,APPF
3,,2021-10-22 20:05:08,2021-10-20,APPF,Rauth William R III,"Dir, 10%",S - Sale,13087.0,-72859,47770,-60%,-9535057.0,,,,,APPF
4,D,2021-09-16 21:46:12,2021-09-14,APPF,Walker Jonathan,CTO,S - Sale+OE,12271.0,-801,25274,-3%,-98291.0,,,,,APPF
5,DM,2021-09-09 20:17:01,2021-09-07,APPF,Walker Jonathan,CTO,S - Sale+OE,12166.0,-10500,15674,-40%,-1277474.0,,,,,APPF
6,,2021-08-27 19:53:32,2021-08-25,APPF,Kerr Janet,Dir,S - Sale,12463.0,-350,17398,-2%,-43621.0,,,,,APPF
7,,2021-06-30 20:38:23,2021-06-28,APPF,Kerr Janet,Dir,S - Sale,14582.0,-350,17748,-2%,-51037.0,,,,,APPF
8,,2021-04-28 17:44:59,2021-04-26,APPF,Duca Maurice J,10%,S - Sale,14740.0,-17200,303789,-5%,-2535280.0,,,,,APPF
9,DM,2021-03-16 20:12:00,2021-03-12,APPF,Kane Ida Kathleen,CFO,S - Sale+OE,14062.0,-10000,4436,-69%,-1406153.0,,,,,APPF
10,D,2021-02-19 20:15:58,2021-02-17,APPF,Walker Jonathan,CTO,S - Sale+OE,17542.0,-30000,3462,-90%,-5262600.0,,,,,APPF
11,D,2021-02-18 17:37:33,2021-02-16,APPF,Rauth William R III,"Dir, 10%",S - Sale+OE,17133.0,-20000,49072,-29%,-3426554.0,,,,,APPF
12,,2021-02-05 19:56:56,2021-02-03,APPF,Kerr Janet,Dir,S - Sale,15772.0,-350,17059,-2%,-55202.0,,,,,APPF
13,D,2020-12-17 21:49:41,2020-12-15,APPF,Rauth William R III,"Dir, 10%",S - Sale+OE,17304.0,-18000,17072,-51%,-3114707.0,,,,,APPF
14,DM,2020-12-03 19:56:26,2020-12-01,APPF,Walker Jonathan,CTO,S - Sale+OE,15961.0,-30000,3728,-89%,-4788197.0,,,,,APPF
15,,2020-11-03 20:01:34,2020-11-02,APPF,Kerr Janet,Dir,S - Sale,14394.0,-350,17409,-2%,-50379.0,,,,,APPF
16,DM,2020-10-19 19:44:44,2020-10-15,APPF,Rauth William R III,"Dir, 10%",S - Sale+OE,16115.0,-50000,13072,-79%,-8057514.0,,,,,APPF
17,DM,2020-08-27 19:59:07,2020-08-25,APPF,Schauser Klaus,"Dir, 10%",S - Sale+OE,17217.0,-14510,0,-100%,-2498192.0,,,,,APPF
18,DM,2020-08-24 20:00:47,2020-08-20,APPF,Schauser Klaus,"Dir, 10%",S - Sale+OE,17016.0,-5865,0,-100%,-997979.0,,,,,APPF
19,D,2020-08-10 20:42:29,2020-08-06,APPF,Schauser Klaus,"Dir, 10%",S - Sale+OE,17050.0,-9625,0,-100%,-1641078.0,,,,,APPF
20,D,2020-08-07 19:41:31,2020-08-05,APPF,Kane Ida Kathleen,CFO,S - Sale+OE,15916.0,-2500,0,-100%,-397901.0,,,,,APPF
21,,2020-08-03 20:18:55,2020-07-30,APPF,Kerr Janet,Dir,S - Sale,13934.0,-500,17759,-3%,-69670.0,,,,,APPF
22,D,2020-07-22 19:56:14,2020-07-20,APPF,Schauser Klaus,"Dir, 10%",S - Sale+OE,15266.0,-15798,0,-100%,-2411721.0,,,,,APPF
23,D,2020-07-17 20:06:24,2020-07-15,APPF,Kane Ida Kathleen,CFO,S - Sale+OE,14821.0,-10000,0,-100%,-1482065.0,,,,,APPF
24,DM,2020-07-17 16:23:32,2020-07-15,APPF,Rauth William R III,"Dir, 10%",S - Sale+OE,14714.0,-30000,13072,-70%,-4414048.0,,,,,APPF
25,DM,2020-07-15 20:07:16,2020-07-13,APPF,Schauser Klaus,"Dir, 10%",S - Sale+OE,15403.0,-44202,0,-100%,-6808337.0,,,,,APPF
26,,2020-07-01 20:03:31,2020-06-29,APPF,Kerr Janet,Dir,S - Sale,15834.0,-500,18259,-3%,-79170.0,,,,,APPF
27,D,2020-06-10 20:02:22,2020-06-08,APPF,Schauser Klaus,"Dir, 10%",S - Sale+OE,16245.0,-30000,0,-100%,-4873550.0,,,,,APPF
28,D,2020-05-20 18:34:22,2020-05-19,APPF,Rauth William R III,"Dir, 10%",S - Sale+OE,13029.0,-20000,13072,-60%,-2605698.0,,,,,APPF
29,D,2020-05-07 20:00:44,2020-05-05,APPF,Kane Ida Kathleen,CFO,S - Sale+OE,10825.0,-5000,0,-100%,-541259.0,,,,,APPF
30,DM,2020-05-07 19:09:44,2020-05-05,APPF,Rauth William R III,"Dir, 10%",S - Sale+OE,11317.0,-40000,13072,-75%,-4526690.0,,,,,APPF
31,,2020-05-04 20:25:39,2020-05-01,APPF,Kerr Janet,Dir,S - Sale,10585.0,-500,17824,-3%,-52925.0,,,,,APPF
32,DM,2020-02-19 20:01:45,2020-02-18,APPF,Walker Jonathan,CTO,S - Sale+OE,14187.0,-30000,3728,-89%,-4255954.0,,,,,APPF
33,D,2020-02-05 19:52:40,2020-02-03,APPF,Kane Ida Kathleen,CFO,S - Sale+OE,13117.0,-5000,0,-100%,-655870.0,,,,,APPF
34,,2020-02-05 19:51:24,2020-02-03,APPF,Kerr Janet,Dir,S - Sale,13101.0,-500,18324,-3%,-65505.0,,,,,APPF
35,DM,2020-01-16 19:34:36,2020-01-15,APPF,Rauth William R III,"Dir, 10%",S - Sale+OE,12262.0,-20000,13072,-60%,-2452477.0,,,,,APPF
36,DM,2019-11-21 19:30:59,2019-11-19,APPF,Rauth William R III,"Dir, 10%",S - Sale+OE,10416.0,-20000,13072,-60%,-2083099.0,,,,,APPF
37,D,2019-10-08 17:18:47,2019-10-07,APPF,Kane Ida Kathleen,CFO,S - Sale+OE,9641.0,-5000,0,-100%,-482069.0,,,,,APPF
38,D,2019-10-08 17:14:37,2019-10-04,APPF,Randall Jason Robert,CEO,S - Sale+OE,9546.0,-4310,0,-100%,-411440.0,,,,,APPF
39,D,2019-10-03 18:02:56,2019-10-01,APPF,Randall Jason Robert,CEO,S - Sale+OE,9516.0,-15690,0,-100%,-1493107.0,,,,,APPF
40,,2019-08-05 17:01:39,2019-08-01,APPF,Kerr Janet,Dir,S - Sale,9631.0,-500,19324,-3%,-48155.0,,,,,APPF
41,DM,2019-07-16 21:22:32,2019-07-15,APPF,Rauth William R III,"Dir, 10%",S - Sale+OE,10544.0,-20000,13072,-60%,-2108805.0,,,,,APPF
42,D,2019-06-06 19:47:40,2019-06-05,APPF,Kane Ida Kathleen,CFO,S - Sale+OE,10000.0,-2500,0,-100%,-250000.0,,,,,APPF
43,D,2019-05-31 20:49:24,2019-05-29,APPF,Bliss Timothy K,"Dir, 10%",S - Sale+OE,9597.0,-15000,13072,-53%,-1439543.0,,,,,APPF
44,DM,2019-05-10 19:15:30,2019-05-08,APPF,Rauth William R III,"Dir, 10%",S - Sale+OE,9611.0,-20000,13072,-60%,-1922206.0,,,,,APPF
45,D,2019-05-08 17:02:00,2019-05-06,APPF,Kane Ida Kathleen,CFO,S - Sale+OE,9329.0,-2500,0,-100%,-233226.0,,,,,APPF
46,D,2019-04-15 20:00:31,2019-04-11,APPF,Kane Ida Kathleen,CFO,S - Sale+OE,8170.0,-5000,0,-100%,-408487.0,,,,,APPF
47,D,2019-01-28 17:03:01,2019-01-24,APPF,Walker Jonathan,CTO,S - Sale+OE,6181.0,-30000,0,-100%,-1854315.0,,,,,APPF
48,D,2019-01-04 17:07:45,2019-01-02,APPF,Randall Jason Robert,CEO,S - Sale+OE,5822.0,-7500,0,-100%,-436642.0,,,,,APPF
49,D,2018-10-15 20:45:33,2018-10-15,APPF,Rauth William R III,"Dir, 10%",S - Sale+OE,6340.0,-20000,13072,-60%,-1267960.0,,,,,APPF
50,D,2018-10-05 20:04:25,2018-10-04,APPF,Walker Jonathan,CTO,S - Sale+OE,7303.0,-30000,0,-100%,-2191036.0,,,,,APPF
51,D,2018-05-08 20:08:11,2018-05-08,APPF,Kane Ida Kathleen,CFO,S - Sale+OE,5500.0,-5000,0,-100%,-275000.0,,,,,APPF
52,DM,2018-05-03 17:00:34,2018-05-01,APPF,Kane Ida Kathleen,CFO,S - Sale+OE,5000.0,-5000,0,-100%,-250000.0,,,,,APPF
53,M,2018-04-18 16:11:46,2018-04-16,APPF,Rauth William R III,"Dir, 10%",S - Sale,4442.0,-20000,13072,-60%,-888346.0,,,,,APPF
