,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,,2022-02-08 20:55:05,2022-02-04,BDSI,Vollins James,See Remarks,S - Sale,360.0,-18541,0,-100%,-66748.0,,,,,BDSI
1,,2021-12-06 08:06:27,2021-12-02,BDSI,Sirgo Mark A,Dir,P - Purchase,269.0,18587,1159182,+2%,49999.0,,,,,BDSI
2,,2021-11-22 07:37:13,2021-11-19,BDSI,Kotler Kevin,Dir,P - Purchase,306.0,100000,5158489,+2%,306000.0,,,,,BDSI
3,A,2021-11-19 17:20:35,2021-11-18,BDSI,Sirgo Mark A,Dir,P - Purchase,304.0,10000,1140595,+1%,30400.0,,,,,BDSI
4,,2021-11-19 08:15:48,2021-11-18,BDSI,Sirgo Mark A,Dir,S - Sale,304.0,-10000,1140595,-1%,-30400.0,,,,,BDSI
5,,2021-11-15 07:56:07,2021-11-12,BDSI,Kotler Kevin,Dir,P - Purchase,320.0,100000,5058489,+2%,320000.0,,,,,BDSI
6,,2021-11-12 08:03:19,2021-11-11,BDSI,Sirgo Mark A,Dir,P - Purchase,320.0,16000,1130595,+1%,51200.0,,,,,BDSI
7,,2021-11-09 10:28:51,2021-11-05,BDSI,Kotler Kevin,Dir,P - Purchase,347.0,257800,4958489,+5%,894566.0,,,,,BDSI
8,M,2021-05-13 17:38:23,2021-05-11,BDSI,Kotler Kevin,Dir,P - Purchase,320.0,300000,4655689,+7%,960500.0,,,,,BDSI
9,M,2021-05-13 17:36:40,2021-05-11,BDSI,Sirgo Mark A,Dir,P - Purchase,319.0,15500,1106595,+1%,49380.0,,,,,BDSI
10,M,2021-02-08 17:46:41,2021-02-04,BDSI,Vollins James,See Remarks,S - Sale,403.0,-12136,0,-100%,-48908.0,,,,,BDSI
11,D,2021-02-02 19:12:22,2021-02-01,BDSI,Coelho Mary Theresa,See Remarks,S - Sale+OE,387.0,-3460,30619,-10%,-13390.0,,,,,BDSI
12,D,2021-01-20 16:30:26,2021-01-19,BDSI,Coelho Mary Theresa,See Remarks,S - Sale+OE,432.0,-6462,23889,-21%,-27916.0,,,,,BDSI
13,,2020-12-16 16:41:30,2020-12-15,BDSI,Bailey Jeffrey Allen,CEO,S - Sale,435.0,-10000,35567,-22%,-43500.0,,,,,BDSI
14,DM,2020-12-16 16:39:39,2020-12-14,BDSI,Vollins James,See Remarks,S - Sale+OE,447.0,-29825,0,-100%,-133210.0,,,,,BDSI
15,,2020-08-20 16:16:45,2020-08-18,BDSI,Davis Todd C,Dir,S - Sale,499.0,-50000,217914,-19%,-249500.0,,,,,BDSI
16,,2020-08-19 16:30:36,2020-08-17,BDSI,Watson W. Mark,Dir,S - Sale,518.0,-13000,52979,-20%,-67340.0,,,,,BDSI
17,M,2020-08-17 18:58:28,2020-08-13,BDSI,Sirgo Mark A,Dir,S - Sale,474.0,-200000,1091095,-15%,-948550.0,,,,,BDSI
18,D,2020-05-22 16:04:56,2020-05-21,BDSI,Vollins James,See Remarks,S - Sale+OE,460.0,-21666,0,-100%,-99664.0,,,,,BDSI
19,,2020-05-20 16:38:48,2020-05-18,BDSI,Plesha Scott M.,See Remarks,S - Sale,452.0,-15000,234003,-6%,-67800.0,,,,,BDSI
20,D,2020-05-12 18:48:32,2020-05-08,BDSI,Sirgo Mark A,Dir,S - Sale+OE,507.0,-100000,1287095,-7%,-507000.0,,,,,BDSI
21,,2020-05-08 16:06:32,2020-05-06,BDSI,Odonnell Francis E Jr,Dir,S - Sale,453.0,-11250,605538,-2%,-50963.0,,,,,BDSI
