,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,,2021-06-23 14:52:01,2021-06-23,BRID,Bridgford Richard Eugene,V.P. Ind. Relations & Safety,P - Purchase,1308.0,175,38105,0%,2289.0,,,,,BRID
1,,2021-06-17 16:10:56,2021-06-16,BRID,Bridgford Richard Eugene,V.P. Ind. Relations & Safety,P - Purchase,1404.0,125,37930,0%,1755.0,,,,,BRID
2,,2020-06-08 13:40:12,2020-06-03,BRID,Bridgford Richard Eugene,V.P. Ind. Relations & Safety,P - Purchase,1551.0,110,37805,0%,1706.0,,,,,BRID
3,,2020-06-08 13:34:53,2020-06-03,BRID,Bridgford Brian E.,V.P. Production,P - Purchase,1713.0,55,55,New,942.0,,,,,BRID
4,,2020-03-23 18:39:38,2020-03-20,BRID,Bridgford Richard Eugene,V.P. Ind. Relations & Safety,P - Purchase,1600.0,225,37695,+1%,3600.0,,,,,BRID
5,,2019-09-25 16:46:02,2019-09-25,BRID,Bridgford Richard Eugene,V.P. Ind. Relations & Safety,P - Purchase,2943.0,100,37470,0%,2943.0,,,,,BRID
6,,2019-09-20 18:55:30,2019-09-20,BRID,Dealcuaz Debra Aileen,"Treasurer, Bridgford Indust.",S - Sale,3500.0,-2465,7167698,0%,-86275.0,,,,,BRID
7,,2019-09-20 17:23:03,2019-09-19,BRID,Dealcuaz Debra Aileen,"Treasurer, Bridgford Indust.",S - Sale,3500.0,-2131,7170163,0%,-74585.0,,,,,BRID
8,,2019-09-03 13:01:05,2019-08-29,BRID,Bridgford Bruce,Former Director,S - Sale,3420.0,-3448,7156396,0%,-117936.0,,,,,BRID
9,A,2019-07-10 21:46:34,2019-06-25,BRID,Bridgford Richard Eugene,V.P. Ind. Relations & Safety,P - Purchase,2900.0,150,37370,0%,4350.0,,,,,BRID
10,,2019-06-25 16:33:24,2019-06-25,BRID,Bridgford Richard Eugene,V.P. Ind. Relations & Safety,S - Sale,2900.0,-150,37370,0%,-4350.0,,,,,BRID
11,A,2019-04-02 09:50:27,2019-03-25,BRID,Bridgford Richard Eugene,V.P. Ind. Relations & Safety,P - Purchase,2373.0,250,37415,+1%,5933.0,,,,,BRID
12,,2019-03-26 14:12:51,2019-03-25,BRID,Bridgford Richard Eugene,V.P. Ind. Relations & Safety,S - Sale,2373.0,-250,37415,-1%,-5933.0,,,,,BRID
13,,2019-03-20 11:34:46,2019-03-19,BRID,Bridgford William L,COB,S - Sale,2302.0,-5056,7461,-40%,-116389.0,,,,,BRID
14,,2018-06-27 15:04:22,2018-06-27,BRID,Bridgford Richard Eugene,V.P. Ind. Relations & Safety,P - Purchase,1382.0,75,37015,0%,1037.0,,,,,BRID
