,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,,2021-05-04 16:39:19,2021-05-03,CBTX,Vandenberg Tawn G.,"Sr. EVP, Chief Admin. Officer",S - Sale,3184.0,-1086,4771,-19%,-34581.0,,,,,CBTX
1,,2020-08-07 16:36:50,2020-08-05,CBTX,Penland Joe Sr,Dir,P - Purchase,1617.0,7222,1419450,+1%,116789.0,,,,,CBTX
2,M,2020-08-05 16:23:40,2020-08-03,CBTX,Penland Joe Sr,Dir,P - Purchase,1576.0,7778,1412228,+1%,122603.0,,,,,CBTX
3,,2020-05-27 16:35:25,2020-05-26,CBTX,Penland Joe Sr,Dir,P - Purchase,1916.0,10000,1404450,+1%,191639.0,,,,,CBTX
4,M,2020-05-22 16:04:27,2020-05-20,CBTX,Penland Joe Sr,Dir,P - Purchase,1847.0,13000,1394450,+1%,240125.0,,,,,CBTX
5,M,2020-05-19 16:22:55,2020-05-15,CBTX,Penland Joe Sr,Dir,P - Purchase,1739.0,15000,1381450,+1%,260839.0,,,,,CBTX
6,,2020-05-06 16:46:40,2020-05-05,CBTX,Long Justin M,Sr. EVP GC,P - Purchase,1769.0,2800,18289,+18%,49539.0,,,,,CBTX
7,M,2020-03-18 16:10:00,2020-03-13,CBTX,Swinbank Joe B,Dir,P - Purchase,1894.0,22000,253020,+10%,416591.0,,,,,CBTX
8,,2020-03-18 16:09:04,2020-03-16,CBTX,Wilson William E Jr,Dir,P - Purchase,1868.0,4618,64248,+8%,86273.0,,,,,CBTX
9,,2020-03-18 16:08:26,2020-03-16,CBTX,Penland Joe Sr,Dir,P - Purchase,1977.0,68954,1341450,+5%,1363000.0,,,,,CBTX
10,,2020-03-18 16:07:46,2020-03-16,CBTX,Lott Tommy W,Dir,P - Purchase,2089.0,10000,222160,+5%,208944.0,,,,,CBTX
11,,2020-03-16 08:47:27,2020-03-12,CBTX,Penland Joe Sr,Dir,P - Purchase,1839.0,11171,1272496,+1%,205381.0,,,,,CBTX
12,M,2019-11-01 16:16:40,2019-10-30,CBTX,Penland Joe Sr,Dir,P - Purchase,2842.0,9695,344389,+3%,275490.0,,,,,CBTX
13,,2018-11-20 15:39:19,2018-11-20,CBTX,Penland Joe Sr,Dir,P - Purchase,3499.0,30670,190670,+19%,1073033.0,,,,,CBTX
