,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,D,2021-12-21 18:33:13,2021-12-17,CCXI,Tyree James L,Dir,S - Sale+OE,3502.0,-37500,15275,-71%,-1313165.0,,,,,CCXI
1,,2021-10-13 19:05:19,2021-10-12,CCXI,Vifor (International) Ltd,10%,S - Sale,3943.0,-4000000,5194085,-44%,-157720000.0,,,,,CCXI
2,D,2021-05-24 20:19:39,2021-05-21,CCXI,Tyree James L,Dir,S - Sale+OE,976.0,-2454,15275,-14%,-23956.0,,,,,CCXI
3,,2021-05-10 19:48:47,2021-05-07,CCXI,Butt Tausif,"EVP, COO",P - Purchase,1106.0,10870,10870,New,120241.0,,,,,CCXI
4,M,2021-03-08 20:28:07,2021-03-04,CCXI,Parker Geoffrey M.,Dir,S - Sale,5661.0,-31910,129603,-20%,-1806448.0,,,,,CCXI
5,D,2021-03-03 20:39:03,2021-03-01,CCXI,Cappel Markus J.,"Chief Bus. Officer, Treasurer",S - Sale+OE,6843.0,-33092,85826,-28%,-2264443.0,,,,,CCXI
6,,2021-03-03 20:33:19,2021-03-02,CCXI,Edwards Thomas A.,Dir,S - Sale,7006.0,-1100,119857,-1%,-77063.0,,,,,CCXI
7,D,2021-03-01 20:54:05,2021-03-01,CCXI,Kwan Pui San,Principal Acctg Officer,S - Sale+OE,6852.0,-3347,3232,-51%,-229335.0,,,,,CCXI
8,D,2021-02-11 20:02:16,2021-02-09,CCXI,Cappel Markus J.,"Chief Bus. Officer, Treasurer",S - Sale+OE,6966.0,-700,85826,-1%,-48765.0,,,,,CCXI
9,,2021-02-11 19:52:00,2021-02-09,CCXI,Edwards Thomas A.,Dir,S - Sale,7004.0,-400,120957,0%,-28014.0,,,,,CCXI
10,DM,2021-02-08 20:31:36,2021-02-04,CCXI,Cappel Markus J.,"Chief Bus. Officer, Treasurer",S - Sale+OE,6726.0,-9625,85826,-10%,-647340.0,,,,,CCXI
11,D,2021-02-08 20:25:26,2021-02-04,CCXI,Kwan Pui San,Principal Acctg Officer,S - Sale+OE,6500.0,-3347,3232,-51%,-217555.0,,,,,CCXI
12,,2021-02-04 19:58:36,2021-02-02,CCXI,Edwards Thomas A.,Dir,S - Sale,6094.0,-20000,121357,-14%,-1218844.0,,,,,CCXI
13,D,2021-01-27 20:22:48,2021-01-25,CCXI,Cappel Markus J.,"Chief Bus. Officer, Treasurer",S - Sale+OE,6703.0,-1375,85826,-2%,-92172.0,,,,,CCXI
14,D,2021-01-27 19:25:21,2021-01-25,CCXI,Kwan Pui San,Principal Acctg Officer,S - Sale+OE,6500.0,-4184,3232,-56%,-271960.0,,,,,CCXI
15,M,2020-12-29 18:58:35,2020-12-24,CCXI,Edwards Thomas A.,Dir,S - Sale,6132.0,-25000,141357,-15%,-1532997.0,,,,,CCXI
16,DM,2020-12-16 19:51:17,2020-12-14,CCXI,Schall Thomas J.,"Pres, CEO",S - Sale+OE,6502.0,-28772,2268557,-1%,-1870696.0,,,,,CCXI
17,DM,2020-12-16 19:46:13,2020-12-14,CCXI,Kwan Pui San,Principal Acctg Officer,S - Sale+OE,6506.0,-51550,3232,-94%,-3353634.0,,,,,CCXI
