,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,,2022-03-08 17:00:05,2022-03-04,CLBK,Van Ostenbridge Paul,Dir,P - Purchase,2130.0,2350,11491,+26%,50055.0,,,,,CLBK
1,D,2022-03-08 16:58:23,2022-03-04,CLBK,Schlesinger Allyson Katz,"EVP, Head of Consumer Banking",P - Purchase,2136.0,2344,88299,+3%,50068.0,,,,,CLBK
2,D,2020-09-01 15:48:14,2020-08-31,CLBK,Gibney Dennis E.,"EVP, CFO",P - Purchase,1068.0,4000,185764,+2%,42708.0,,,,,CLBK
3,A,2020-08-10 20:10:50,2020-08-07,CLBK,Bashyam Damodaram,"EVP, CIDO",P - Purchase,1192.0,5000,5000,New,59600.0,,,,,CLBK
4,D,2020-08-04 16:20:57,2020-08-04,CLBK,Gibney Dennis E.,"EVP, CFO",P - Purchase,1154.0,4000,181764,+2%,46170.0,,,,,CLBK
5,A,2020-06-09 17:39:03,2020-05-11,CLBK,Massood Michael Jr.,Dir,P - Purchase,1376.0,3170,39719,+9%,43617.0,,,,,CLBK
6,A,2020-06-09 17:38:59,2020-05-12,CLBK,Massood Michael Jr.,Dir,P - Purchase,1345.0,2760,53960,+5%,37125.0,,,,,CLBK
7,D,2020-05-13 21:02:29,2020-05-12,CLBK,Massood Michael Jr.,Dir,P - Purchase,1345.0,2760,87998,+3%,37125.0,,,,,CLBK
8,D,2020-05-12 10:47:33,2020-05-11,CLBK,Massood Michael Jr.,Dir,P - Purchase,1376.0,3170,85238,+4%,43617.0,,,,,CLBK
9,D,2020-03-16 21:35:52,2020-03-13,CLBK,Van Dyk Robert,Dir,P - Purchase,1349.0,7000,131038,+6%,94427.0,,,,,CLBK
10,D,2020-03-10 13:10:34,2020-03-10,CLBK,Van Dyk Robert,Dir,P - Purchase,1470.0,12000,124038,+11%,176351.0,,,,,CLBK
11,D,2020-03-05 12:30:01,2020-03-04,CLBK,Van Dyk Robert,Dir,P - Purchase,1605.0,8000,112038,+8%,128382.0,,,,,CLBK
12,D,2020-03-02 11:45:38,2020-02-28,CLBK,Randall Elizabeth E.,Dir,P - Purchase,1549.0,2650,85425,+3%,41060.0,,,,,CLBK
