,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,,2021-08-31 16:53:30,2021-08-30,CLXT,Carr Michael A.,"Pres, CEO",P - Purchase,398.0,10000,60000,+20%,39776.0,,,,,CLXT
1,,2021-08-23 16:31:41,2021-08-19,CLXT,Koschak William,CFO,P - Purchase,321.0,20000,38000,+111%,64112.0,,,,,CLXT
2,A,2021-06-01 17:19:57,2019-07-18,CLXT,Dumont Philippe,Dir,S - Sale,1000.0,-706,16354,-4%,-7060.0,,,,,CLXT
3,A,2021-06-01 17:09:23,2019-07-18,CLXT,Kozicz-Stankiewicz Anna Ewa,Dir,S - Sale,1000.0,-735,17865,-4%,-7350.0,,,,,CLXT
4,,2021-05-13 17:58:26,2021-05-12,CLXT,Neugent Christopher J,Dir,P - Purchase,395.0,15000,22940,+189%,59291.0,,,,,CLXT
5,,2021-01-05 17:11:03,2021-01-04,CLXT,Voytas Daniel F,Chief Science Officer,S - Sale,413.0,-2513,0,-100%,-10388.0,,,,,CLXT
6,,2021-01-04 17:12:16,2020-12-31,CLXT,Blome James,CEO,S - Sale,417.0,-4140,186282,-2%,-17281.0,,,,,CLXT
7,,2020-12-21 17:08:46,2020-12-18,CLXT,Voytas Daniel F,Chief Science Officer,S - Sale,475.0,-5026,2513,-67%,-23874.0,,,,,CLXT
8,,2020-12-02 17:10:16,2020-12-01,CLXT,Frey Travis,CTO,P - Purchase,379.0,150,2900,+5%,569.0,,,,,CLXT
9,,2020-11-04 18:44:55,2020-11-02,CLXT,Frey Travis,CTO,P - Purchase,326.0,150,2750,+6%,489.0,,,,,CLXT
10,,2020-10-02 17:57:22,2020-10-01,CLXT,Frey Travis,CTO,P - Purchase,547.0,150,2600,+6%,820.0,,,,,CLXT
11,,2020-10-01 17:09:50,2020-09-30,CLXT,Blome James,CEO,S - Sale,559.0,-4140,190422,-2%,-23124.0,,,,,CLXT
12,,2020-09-11 17:06:14,2020-09-10,CLXT,Dumont Philippe,Dir,P - Purchase,591.0,3000,6290,+91%,17729.0,,,,,CLXT
13,,2020-09-01 17:10:43,2020-09-01,CLXT,Frey Travis,CTO,P - Purchase,541.0,150,2450,+7%,811.0,,,,,CLXT
14,M,2020-08-21 17:20:12,2020-04-02,CLXT,Kozicz-Stankiewicz Anna Ewa,Dir,S - Sale,379.0,-490,3165,-13%,-1855.0,,,,,CLXT
15,,2020-08-21 17:16:25,2020-08-14,CLXT,Dumont Philippe,Dir,P - Purchase,749.0,2000,3290,+155%,14970.0,,,,,CLXT
16,M,2020-08-21 17:16:25,2020-04-02,CLXT,Dumont Philippe,Dir,S - Sale,379.0,-472,3290,-13%,-1787.0,,,,,CLXT
17,,2020-08-03 17:13:59,2020-07-01,CLXT,Choulika Andre,Dir,S - Sale,465.0,-4228,130815,-3%,-19647.0,,,,,CLXT
18,,2020-08-03 17:07:50,2020-08-03,CLXT,Frey Travis,CTO,P - Purchase,436.0,150,2300,+7%,654.0,,,,,CLXT
19,M,2020-07-31 17:12:08,2020-06-29,CLXT,Blome James,CEO,S - Sale,481.0,-6397,194562,-3%,-30800.0,,,,,CLXT
20,,2020-07-01 16:40:51,2020-07-01,CLXT,Frey Travis,CTO,P - Purchase,504.0,156,2150,+8%,786.0,,,,,CLXT
21,,2020-06-02 16:26:25,2020-06-01,CLXT,Frey Travis,CTO,P - Purchase,443.0,144,1994,+8%,638.0,,,,,CLXT
22,,2020-05-04 14:34:06,2020-05-01,CLXT,Frey Travis,CTO,P - Purchase,432.0,175,1850,+10%,755.0,,,,,CLXT
23,,2020-04-01 16:30:58,2020-04-01,CLXT,Frey Travis,CTO,P - Purchase,319.0,175,1675,+12%,559.0,,,,,CLXT
24,,2020-03-04 16:12:27,2020-03-02,CLXT,Frey Travis,CTO,P - Purchase,643.0,200,1500,+15%,1286.0,,,,,CLXT
25,,2020-03-02 10:45:09,2020-02-28,CLXT,Ribeill Yves J,Dir,S - Sale,546.0,-9990,30030,-25%,-54520.0,,,,,CLXT
26,,2020-02-04 08:40:13,2020-02-03,CLXT,Frey Travis,CTO,P - Purchase,561.0,200,1300,+18%,1122.0,,,,,CLXT
27,,2020-01-17 15:12:22,2020-01-15,CLXT,Frey Travis,CTO,P - Purchase,789.0,275,1100,+33%,2170.0,,,,,CLXT
28,M,2020-01-14 14:05:33,2020-01-13,CLXT,Frey Travis,Chief Technology Officer,P - Purchase,721.0,550,825,+200%,3967.0,,,,,CLXT
29,,2020-01-13 10:38:24,2020-01-10,CLXT,Frey Travis,CTO,P - Purchase,764.0,275,275,New,2101.0,,,,,CLXT
30,,2020-01-07 19:37:11,2020-01-03,CLXT,Dumont Philippe,Dir,S - Sale,760.0,-236,1762,-12%,-1794.0,,,,,CLXT
31,,2020-01-07 19:32:34,2020-01-03,CLXT,Kozicz-Stankiewicz Anna Ewa,Dir,S - Sale,765.0,-245,3655,-6%,-1874.0,,,,,CLXT
32,,2019-10-03 13:46:41,2019-10-02,CLXT,Dumont Philippe,Dir,S - Sale,496.0,-236,1998,-11%,-1171.0,,,,,CLXT
33,,2019-10-03 13:43:11,2019-10-02,CLXT,Kozicz-Stankiewicz Anna Ewa,Dir,S - Sale,496.0,-245,3900,-6%,-1215.0,,,,,CLXT
34,,2019-07-22 11:30:00,2019-07-18,CLXT,Kozicz-Stankiewicz Anna Ewa,Dir,S - Sale,1000.0,-735,4145,-15%,-7350.0,,,,,CLXT
35,,2019-07-22 11:17:08,2019-07-18,CLXT,Dumont Philippe,Dir,S - Sale,1000.0,-706,2234,-24%,-7060.0,,,,,CLXT
36,,2019-07-02 13:20:11,2019-07-01,CLXT,Sahoo Manoj,Chief Commercial Officer,S - Sale,1270.0,-1494,65323,-2%,-18967.0,,,,,CLXT
