,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,,2021-04-02 18:43:28,2021-03-31,CPSH,Peregrine Financial Corp,10%,S - Sale,1283.0,-101802,689675,-13%,-1305989.0,,,,,CPSH
1,M,2021-03-31 17:30:53,2021-03-29,CPSH,Peregrine Financial Corp,10%,S - Sale,1180.0,-54011,740575,-7%,-637261.0,,,,,CPSH
2,M,2021-03-26 16:25:13,2021-03-24,CPSH,Peregrine Financial Corp,10%,S - Sale,1273.0,-76389,767581,-9%,-972452.0,,,,,CPSH
3,M,2021-03-24 17:16:54,2021-03-22,CPSH,Peregrine Financial Corp,10%,S - Sale,1518.0,-16114,805776,-2%,-244629.0,,,,,CPSH
4,M,2021-03-16 16:11:08,2021-03-12,CPSH,Bennett Grant C,"CEO, 10%",S - Sale,1600.0,-50000,1307054,-4%,-799938.0,,,,,CPSH
5,M,2021-03-10 14:30:58,2021-03-08,CPSH,Bennett Grant C,"CEO, 10%",S - Sale,1507.0,-100000,1357054,-7%,-1507040.0,,,,,CPSH
6,D,2021-03-04 09:45:14,2021-03-03,CPSH,Griffith Charles Kellogg Jr,CFO,S - Sale+OE,1785.0,-2500,10476,-19%,-44615.0,,,,,CPSH
7,DM,2021-03-03 15:04:51,2021-03-01,CPSH,Snow Daniel C,Dir,S - Sale+OE,1899.0,-108949,1000,-99%,-2069215.0,,,,,CPSH
8,D,2021-03-03 14:08:48,2021-03-02,CPSH,Culligan Thomas M,Dir,S - Sale+OE,1790.0,-25862,10000,-72%,-462819.0,,,,,CPSH
9,M,2021-03-03 13:38:06,2021-03-01,CPSH,Norwood Ralph M,Dir,S - Sale,1910.0,-60000,21325,-74%,-1146011.0,,,,,CPSH
