,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,D,2021-11-22 16:38:15,2021-11-18,DRNA,Brown Bob D,"Chief Scientific Ofr., EVP R,",S - Sale+OE,3794.0,-24936,267,-99%,-946072.0,,,,,DRNA
1,,2021-09-21 17:37:06,2021-09-17,DRNA,Brown Bob D,"Chief Scientific Ofr., EVP R,",S - Sale,2106.0,-21250,267,-99%,-447517.0,,,,,DRNA
2,D,2021-09-17 18:48:17,2021-09-17,DRNA,Zeng Ling,"GC, Sec'y",S - Sale+OE,2147.0,-1334,3222,-29%,-28641.0,,,,,DRNA
3,D,2021-09-17 18:48:02,2021-09-17,DRNA,Aradhye Shreeram,"EVP, Chief Medical Officer",S - Sale+OE,2147.0,-2056,4969,-29%,-44142.0,,,,,DRNA
4,,2021-08-10 20:06:31,2021-08-10,DRNA,Fambrough Douglas,"Pres, CEO",P - Purchase,2210.0,5000,43164,+13%,110480.0,,,,,DRNA
5,,2021-08-10 18:44:44,2021-08-10,DRNA,Kozin Marc D,Dir,P - Purchase,2366.0,3000,11333,+36%,70986.0,,,,,DRNA
6,D,2021-08-03 16:25:37,2021-08-02,DRNA,Brown Bob D,"Chief Scientific Ofr., EVP R,",S - Sale+OE,3738.0,-8312,21517,-28%,-310678.0,,,,,DRNA
7,D,2021-07-08 20:17:44,2021-07-06,DRNA,Weissman James B,"COO, EVP",S - Sale+OE,3909.0,-30000,16000,-65%,-1172700.0,,,,,DRNA
8,D,2021-07-06 16:18:03,2021-07-01,DRNA,Brown Bob D,"Chief Scientific Ofr., EVP R,",S - Sale+OE,3737.0,-8312,21517,-28%,-310641.0,,,,,DRNA
9,D,2021-06-29 16:17:41,2021-06-25,DRNA,Paglia Regina M.,CHRO,S - Sale+OE,3800.0,-1000,269,-79%,-38004.0,,,,,DRNA
10,D,2021-06-24 21:25:57,2021-06-22,DRNA,Paglia Regina M.,CHRO,S - Sale+OE,3699.0,-18435,269,-99%,-681981.0,,,,,DRNA
11,D,2021-06-22 16:14:27,2021-06-17,DRNA,Paglia Regina M.,CHRO,S - Sale+OE,3579.0,-8664,269,-97%,-310068.0,,,,,DRNA
12,D,2021-06-17 21:18:54,2021-06-16,DRNA,Paglia Regina M.,CHRO,S - Sale+OE,3563.0,-31564,269,-99%,-1124627.0,,,,,DRNA
13,D,2021-06-15 19:19:50,2021-06-11,DRNA,Brown Bob D,"Chief Scientific Ofr., EVP R,",S - Sale+OE,3400.0,-10000,21517,-32%,-340000.0,,,,,DRNA
14,DM,2021-06-15 19:19:11,2021-06-11,DRNA,Ciappenelli Robert D.,Chief Commercial Officer,S - Sale+OE,3700.0,-30000,3773,-89%,-1110000.0,,,,,DRNA
15,D,2021-06-08 19:05:43,2021-06-07,DRNA,Brown Bob D,"Chief Scientific Ofr., EVP R,",S - Sale+OE,3300.0,-10000,21517,-32%,-330000.0,,,,,DRNA
16,D,2021-06-03 21:35:04,2021-06-01,DRNA,Paglia Regina M.,CHRO,S - Sale+OE,3094.0,-4431,0,-100%,-137078.0,,,,,DRNA
17,D,2021-06-03 21:28:08,2021-06-01,DRNA,Brown Bob D,"Chief Scientific Ofr., EVP R,",S - Sale+OE,3093.0,-8312,21517,-28%,-257078.0,,,,,DRNA
18,D,2021-05-05 16:19:37,2021-05-03,DRNA,Paglia Regina M.,CHRO,S - Sale+OE,3028.0,-4431,0,-100%,-134192.0,,,,,DRNA
19,D,2021-05-05 16:17:19,2021-05-03,DRNA,Brown Bob D,"Chief Scientific Ofr., EVP R,",S - Sale+OE,3028.0,-8312,21517,-28%,-251672.0,,,,,DRNA
20,DM,2021-05-03 17:40:26,2021-04-29,DRNA,Brown Bob D,"Chief Scientific Ofr., EVP R,",S - Sale+OE,3150.0,-20000,21517,-48%,-630000.0,,,,,DRNA
21,,2021-04-20 19:17:28,2021-04-16,DRNA,Weissman James B,"COO, EVP",S - Sale,2999.0,-4904,16000,-23%,-147071.0,,,,,DRNA
22,D,2021-04-05 21:42:26,2021-04-01,DRNA,Brown Bob D,"Chief Scientific Ofr., EVP R,",S - Sale+OE,2587.0,-8312,21517,-28%,-215025.0,,,,,DRNA
23,D,2021-04-05 21:00:39,2021-04-01,DRNA,Paglia Regina M.,CHRO,S - Sale+OE,2586.0,-4431,0,-100%,-114564.0,,,,,DRNA
24,D,2021-03-02 19:00:31,2021-03-01,DRNA,Brown Bob D,"Chief Scientific Ofr., EVP R,",S - Sale+OE,2896.0,-8312,21517,-28%,-240701.0,,,,,DRNA
25,D,2021-03-02 19:00:04,2021-03-01,DRNA,Paglia Regina M.,CHRO,S - Sale+OE,2896.0,-4431,0,-100%,-128339.0,,,,,DRNA
26,,2021-02-08 19:58:35,2021-02-05,DRNA,Weissman James B,"COO, EVP",S - Sale,2699.0,-7156,20904,-26%,-193140.0,,,,,DRNA
27,D,2021-02-04 17:11:56,2021-02-02,DRNA,Paglia Regina M.,CHRO,S - Sale+OE,2400.0,-4431,0,-100%,-106344.0,,,,,DRNA
28,D,2021-02-04 17:11:30,2021-02-03,DRNA,Brown Bob D,"Chief Scientific Ofr., EVP R,",S - Sale+OE,2500.0,-8312,21517,-28%,-207800.0,,,,,DRNA
29,D,2021-01-27 18:41:08,2021-01-25,DRNA,Brown Bob D,"Chief Scientific Ofr., EVP R,",S - Sale+OE,2500.0,-21630,21517,-50%,-540750.0,,,,,DRNA
30,D,2021-01-27 18:40:51,2021-01-25,DRNA,Paglia Regina M.,CHRO,S - Sale+OE,2500.0,-6326,0,-100%,-158150.0,,,,,DRNA
31,,2021-01-13 20:20:26,2021-01-12,DRNA,Weissman James B,"COO, EVP",S - Sale,2408.0,-5808,28060,-17%,-139868.0,,,,,DRNA
32,,2021-01-13 20:20:08,2021-01-12,DRNA,Brown Bob D,See Remarks,S - Sale,2407.0,-5808,26517,-18%,-139817.0,,,,,DRNA
33,D,2021-01-12 21:40:30,2021-01-11,DRNA,Weissman James B,"COO, EVP",S - Sale+OE,2399.0,-3800,33868,-10%,-91162.0,,,,,DRNA
34,,2020-12-14 17:35:47,2020-12-10,DRNA,Koppel Adam,Dir,S - Sale,2340.0,-1000000,3080237,-25%,-23400000.0,,,,,DRNA
35,D,2020-12-03 20:26:44,2020-12-01,DRNA,Brown Bob D,See Remarks,S - Sale+OE,2519.0,-8185,26517,-24%,-206206.0,,,,,DRNA
36,D,2020-12-03 20:24:09,2020-12-01,DRNA,Weissman James B,"COO, EVP",S - Sale+OE,2521.0,-4360,31860,-12%,-109903.0,,,,,DRNA
37,D,2020-11-06 17:58:44,2020-11-04,DRNA,Paglia Regina M.,CHRO,S - Sale+OE,2275.0,-30000,0,-100%,-682500.0,,,,,DRNA
38,D,2020-11-03 20:23:34,2020-11-02,DRNA,Brown Bob D,See Remarks,S - Sale+OE,2103.0,-8185,26517,-24%,-172131.0,,,,,DRNA
39,D,2020-11-03 20:19:18,2020-11-02,DRNA,Weissman James B,"COO, EVP",S - Sale+OE,2095.0,-4360,31860,-12%,-91333.0,,,,,DRNA
40,D,2020-10-20 19:32:30,2020-10-16,DRNA,Brown Bob D,See Remarks,S - Sale+OE,2100.0,-16370,26517,-38%,-343770.0,,,,,DRNA
