,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,,2022-03-15 10:52:27,2022-03-11,DUOL,Durable Capital Partners LP,10%,P - Purchase,7984.0,17379,2833065,+1%,1387539.0,,,,,DUOL
1,M,2022-03-11 11:32:36,2022-03-09,DUOL,Durable Capital Partners LP,10%,P - Purchase,7988.0,61332,2815686,+2%,4899379.0,,,,,DUOL
2,M,2022-03-09 14:05:25,2022-03-07,DUOL,Durable Capital Partners LP,10%,P - Purchase,7801.0,154011,2754354,+6%,12013726.0,,,,,DUOL
3,AM,2022-03-09 14:01:13,2022-02-18,DUOL,Durable Capital Partners LP,10%,P - Purchase,8757.0,112069,2600343,+5%,9814136.0,,,,,DUOL
4,A,2022-02-24 17:43:58,2022-02-15,DUOL,Skaruppa Matthew,CFO,S - Sale,9801.0,-459,21416,-2%,-44988.0,,,,,DUOL
5,A,2022-02-24 17:42:36,2022-02-15,DUOL,Meese Robert,Chief Business Officer,S - Sale,9801.0,-237,178081,0%,-23228.0,,,,,DUOL
6,A,2022-02-24 17:41:09,2022-02-15,DUOL,Glance Natalie,"SVP, Engineering",S - Sale,9802.0,-543,97575,-1%,-53223.0,,,,,DUOL
7,A,2022-02-24 17:39:41,2022-02-15,DUOL,Chen Stephen C.,GC,S - Sale,9803.0,-97,4394,-2%,-9509.0,,,,,DUOL
8,M,2022-02-23 12:04:40,2022-02-18,DUOL,Durable Capital Partners LP,10%,P - Purchase,8757.0,112069,3015324,+4%,9814136.0,,,,,DUOL
9,,2022-02-17 19:24:05,2022-02-15,DUOL,Chen Stephen C.,GC,S - Sale,9801.0,-97,4394,-2%,-9507.0,,,,,DUOL
10,,2022-02-17 19:21:57,2022-02-15,DUOL,Glance Natalie,"SVP, Engineering",S - Sale,9801.0,-543,97705,-1%,-53221.0,,,,,DUOL
