,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,,2022-03-14 17:09:36,2022-03-11,DYN,Scalzo Richard William,See Remarks,S - Sale,873.0,-308,26994,-1%,-2689.0,,,,,DYN
1,,2022-03-14 17:09:11,2022-03-11,DYN,McNeill Jonathan,See Remarks,S - Sale,873.0,-481,60466,-1%,-4199.0,,,,,DYN
2,,2022-03-14 17:08:46,2022-03-11,DYN,High Susanna Gatti,COO,S - Sale,873.0,-765,73003,-1%,-6678.0,,,,,DYN
3,,2022-03-14 17:08:18,2022-03-11,DYN,Farwell Wildon,Chief Medical Officer,S - Sale,873.0,-640,66050,-1%,-5587.0,,,,,DYN
4,,2022-03-14 17:07:57,2022-03-11,DYN,Brumm Joshua T,See Remarks,S - Sale,873.0,-3384,210324,-2%,-29542.0,,,,,DYN
5,,2022-03-14 17:06:23,2022-03-11,DYN,Beskrovnaya Oxana,Chief Scientific Officer,S - Sale,873.0,-693,53676,-1%,-6050.0,,,,,DYN
6,,2022-03-03 19:22:39,2022-03-02,DYN,Farwell Wildon,Chief Medical Officer,S - Sale,856.0,-5617,66690,-8%,-48082.0,,,,,DYN
7,,2021-09-24 10:50:48,2021-09-23,DYN,High Susanna Gatti,COO,S - Sale,1722.0,-2451,33453,-7%,-42206.0,,,,,DYN
8,M,2021-09-22 20:03:25,2021-09-20,DYN,Scalzo Richard William,See Remarks,S - Sale,1590.0,-859,10606,-7%,-13655.0,,,,,DYN
9,M,2021-09-22 20:02:57,2021-09-20,DYN,McNeill Jonathan,See Remarks,S - Sale,1590.0,-1274,35636,-3%,-20252.0,,,,,DYN
10,M,2021-09-22 20:02:33,2021-09-20,DYN,Brumm Joshua T,See Remarks,S - Sale,1590.0,-8009,99018,-7%,-127312.0,,,,,DYN
11,M,2021-09-22 20:01:58,2021-09-20,DYN,Beskrovnaya Oxana,Chief Scientific Officer,S - Sale,1590.0,-1444,17845,-7%,-22954.0,,,,,DYN
12,D,2020-09-23 19:11:31,2020-09-21,DYN,"Vv Manager Ii, LLC",10%,P - Purchase,1900.0,815000,2960046,+38%,15485000.0,,,,,DYN
13,D,2020-09-23 19:09:07,2020-09-21,DYN,Logos Global Management LP,10%,P - Purchase,1900.0,700000,1504392,+87%,13300000.0,,,,,DYN
14,D,2020-09-23 18:55:55,2020-09-21,DYN,"Ra Capital Management, L.P.",10%,P - Purchase,1900.0,660000,2805045,+31%,12540000.0,,,,,DYN
