,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,,2021-12-21 16:05:34,2021-12-20,ELDN,Gros David-Alexandre C,CEO,P - Purchase,448.0,2000,9000,+29%,8960.0,,,,,ELDN
1,,2021-08-19 16:05:24,2021-08-17,ELDN,Gros David-Alexandre C,CEO,P - Purchase,621.0,4000,7000,+133%,24840.0,,,,,ELDN
2,,2021-06-14 17:24:30,2021-06-11,ELDN,Little Paul Sean,CFO,P - Purchase,887.0,10000,10000,New,88700.0,,,,,ELDN
3,,2021-06-10 17:25:51,2021-06-09,ELDN,Gros David-Alexandre C,CEO,P - Purchase,801.0,3000,3000,New,24030.0,,,,,ELDN
4,,2020-12-04 17:17:51,2020-12-02,NVUS,Orbimed Israel Gp Ltd.,10%,S - Sale,2160.0,-103200,73650,-58%,-2229120.0,,,,,ELDN
5,,2020-11-06 18:46:07,2020-10-30,NVUS,Logos Global Management LP,10%,P - Purchase,2544.0,92040,224071,+70%,2341714.0,,,,,ELDN
6,,2020-11-06 18:46:07,2020-10-30,NVUS,Logos Global Management LP,10%,S - Sale,2665.0,-12969,224071,-5%,-345559.0,,,,,ELDN
7,M,2019-05-22 16:12:04,2019-05-20,NVUS,Turkel Catherine C.,Pres,S - Sale,195.0,-9537,88662,-10%,-18612.0,,,,,ELDN
8,M,2019-05-22 16:02:02,2019-05-20,NVUS,Kuwahara Jon,See Remarks,S - Sale,195.0,-5276,5974,-47%,-10296.0,,,,,ELDN
9,M,2019-05-22 16:01:58,2019-05-20,NVUS,Flesher Gregory J.,CEO,S - Sale,195.0,-14638,156918,-9%,-28566.0,,,,,ELDN
10,D,2019-05-06 17:30:22,2019-05-02,NVUS,Orbimed Israel Gp Ltd.,"Dir, 10%",P - Purchase,310.0,646204,3183314,+25%,2003232.0,,,,,ELDN
11,D,2019-05-06 17:28:18,2019-05-02,NVUS,Chimovits Erez,Dir,P - Purchase,310.0,646204,3183314,+25%,2003232.0,,,,,ELDN
12,,2019-05-02 16:47:18,2019-04-30,NVUS,Lifesci Index Partners LLC,10%,S - Sale,270.0,-200,1065867,0%,-540.0,,,,,ELDN
13,M,2018-09-13 20:00:25,2018-09-11,NVUS,Turkel Catherine C.,Pres,P - Purchase,478.0,33680,79004,+74%,161147.0,,,,,ELDN
14,,2018-09-07 20:00:24,2018-09-05,NVUS,Turkel Catherine C.,Pres,P - Purchase,397.0,805,45324,+2%,3193.0,,,,,ELDN
