,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,D,2021-11-29 18:24:49,2021-11-24,ERII,Foda Sherif,Dir,S - Sale+OE,2246.0,-20000,4812,-81%,-449260.0,,,,,ERII
1,,2021-11-24 16:28:10,2021-11-22,ERII,Hanstveit Arve,Dir,S - Sale,2461.0,-25000,879545,-3%,-615350.0,,,,,ERII
2,,2021-09-17 16:41:50,2021-09-15,ERII,Lorentzen Ole Peter,10%,S - Sale,2081.0,-1500000,5155239,-23%,-31215000.0,,,,,ERII
3,D,2021-09-15 18:39:26,2021-09-13,ERII,Foda Sherif,Dir,S - Sale+OE,2159.0,-5595,4812,-54%,-120822.0,,,,,ERII
4,M,2021-07-06 17:16:56,2021-07-01,ERII,Lorentzen Ole Peter,10%,S - Sale,2255.0,-185095,6655239,-3%,-4173602.0,,,,,ERII
5,A,2021-06-08 17:39:43,2019-04-09,ERII,Clemente Rodney,"SVP, Water",S - Sale,919.0,-229,45505,-1%,-2104.0,,,,,ERII
6,A,2021-05-11 17:15:39,2021-04-29,ERII,Hanstveit Arve,Dir,S - Sale,2216.0,-14374,899733,-2%,-318472.0,,,,,ERII
7,AM,2021-05-11 17:15:15,2021-04-26,ERII,Hanstveit Arve,Dir,S - Sale,2200.0,-10626,914107,-1%,-233777.0,,,,,ERII
8,A,2021-05-11 17:14:40,2021-03-12,ERII,Hanstveit Arve,Dir,S - Sale,1700.0,-25000,924733,-3%,-425045.0,,,,,ERII
9,,2021-05-06 16:21:53,2021-05-06,ERII,Arvarius As,10%,S - Sale,1950.0,-1000000,6532490,-13%,-19500000.0,,,,,ERII
10,D,2021-05-05 16:55:20,2021-05-03,ERII,Clemente Rodney,"SVP, Water",S - Sale+OE,2111.0,-4814,42234,-10%,-101642.0,,,,,ERII
11,,2021-05-03 18:54:00,2021-04-29,ERII,Hanstveit Arve,Dir,S - Sale,2216.0,-14374,924733,-2%,-318472.0,,,,,ERII
12,M,2021-04-28 18:22:22,2021-04-26,ERII,Hanstveit Arve,Dir,S - Sale,2200.0,-10626,939107,-1%,-233777.0,,,,,ERII
