,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,,2022-03-17 13:25:27,2022-03-15,FFIV,Pelzer Francis J.,"EVP, CFO",S - Sale,19040.0,-500,17089,-3%,-95200.0,,,,,FFIV
1,M,2022-03-15 13:12:38,2022-03-11,FFIV,Lin Geng,"EVP, CTO",S - Sale,19724.0,-4963,5824,-46%,-978918.0,,,,,FFIV
2,,2022-03-07 12:49:53,2022-03-03,FFIV,Locoh-Donou Francois,"Pres, CEO, Dir",S - Sale,20383.0,-1042,94477,-1%,-212391.0,,,,,FFIV
3,,2022-03-03 12:23:23,2022-03-01,FFIV,White Ana Maria,"EVP, CHRO",S - Sale,19895.0,-169,29313,-1%,-33623.0,,,,,FFIV
4,,2022-02-25 12:02:10,2022-02-23,FFIV,Whalen Chad Michael,"EVP, Worldwide Sales",S - Sale,19846.0,-251,7773,-3%,-49813.0,,,,,FFIV
5,,2022-02-17 12:37:41,2022-02-16,FFIV,Whalen Chad Michael,"EVP, Worldwide Sales",S - Sale,20027.0,-252,8024,-3%,-50468.0,,,,,FFIV
6,,2022-02-17 12:34:53,2022-02-15,FFIV,Pelzer Francis J.,"EVP, CFO",S - Sale,19593.0,-500,17589,-3%,-97965.0,,,,,FFIV
7,,2022-02-11 12:02:23,2022-02-09,FFIV,Whalen Chad Michael,"EVP, Worldwide Sales",S - Sale,20477.0,-247,8276,-3%,-50578.0,,,,,FFIV
8,,2022-02-07 12:35:40,2022-02-03,FFIV,Rogers Scot Frazier,"EVP, GC",S - Sale,19995.0,-852,9635,-8%,-170357.0,,,,,FFIV
9,,2022-02-07 12:33:55,2022-02-03,FFIV,Locoh-Donou Francois,"Pres, CEO, Dir",S - Sale,19998.0,-1042,95519,-1%,-208379.0,,,,,FFIV
