,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,,2021-05-12 20:42:43,2021-05-10,FLIR,Galindo Sonia,"SVP, GC, Sec",S - Sale,5898.0,-8903,29170,-23%,-525099.0,,,,,FLIR
1,D,2021-05-12 20:42:23,2021-05-10,FLIR,Wynne Steven E,Dir,S - Sale+OE,5909.0,-67376,31956,-68%,-3981470.0,,,,,FLIR
2,D,2021-05-12 20:42:01,2021-05-10,FLIR,Cannon James J,"Pres, CEO",S - Sale+OE,5915.0,-176139,160048,-52%,-10418270.0,,,,,FLIR
3,,2021-05-12 20:41:34,2021-05-10,FLIR,Lowe Carol P,"EVP, CFO",S - Sale,5910.0,-40000,72733,-35%,-2364160.0,,,,,FLIR
4,D,2021-05-12 20:41:08,2021-05-10,FLIR,Crouch William Wright,Dir,S - Sale+OE,5909.0,-34470,22529,-60%,-2036936.0,,,,,FLIR
5,,2021-05-12 20:40:44,2021-05-10,FLIR,Cooney Paula M.,"SVP, CHRO",S - Sale,5906.0,-6401,20925,-23%,-378043.0,,,,,FLIR
6,,2021-05-12 20:40:18,2021-05-10,FLIR,Johnson Travis Barton,"VP, Controller, CAO",S - Sale,5925.0,-1000,9785,-9%,-59250.0,,,,,FLIR
7,D,2021-05-12 20:39:52,2021-05-11,FLIR,Carter John D,Dir,S - Sale+OE,5822.0,-88676,48967,-64%,-5162717.0,,,,,FLIR
8,,2021-03-19 16:46:41,2021-03-17,FLIR,Galindo Sonia,"SVP, GC, Sec",S - Sale,0.0,-5071,39207,-11%,-0.0,,,,,FLIR
9,D,2021-03-19 16:21:59,2021-03-18,FLIR,Macdonald Angus L,Dir,S - Sale+OE,5553.0,-49306,32835,-60%,-2738109.0,,,,,FLIR
10,D,2021-03-15 11:40:21,2021-03-12,FLIR,Carter John D,Dir,S - Sale+OE,5473.0,-10200,47097,-18%,-558246.0,,,,,FLIR
11,D,2021-03-11 16:04:08,2021-03-10,FLIR,Wynne Steven E,Dir,S - Sale+OE,5444.0,-10200,30086,-25%,-555288.0,,,,,FLIR
12,,2020-11-05 17:30:46,2020-11-04,FLIR,Lewis Earl R,Dir,S - Sale,3593.0,-30000,729003,-4%,-1077900.0,,,,,FLIR
13,,2020-06-09 17:08:35,2020-06-05,FLIR,Frank Jeffrey,"SVP, Global Product Strategy",S - Sale,4694.0,-24456,27131,-47%,-1147965.0,,,,,FLIR
14,D,2020-05-11 18:29:57,2020-05-08,FLIR,Wynne Steven E,Dir,S - Sale+OE,4888.0,-21300,29961,-42%,-1041144.0,,,,,FLIR
15,,2019-12-20 06:00:48,2019-12-17,FLIR,Frank Jeffrey,"SVP, Global Product Strategy",S - Sale,5266.0,-548,33748,-2%,-28858.0,,,,,FLIR
16,D,2019-11-13 14:29:21,2019-11-12,FLIR,Wynne Steven E,Dir,S - Sale+OE,5358.0,-10300,26246,-28%,-551874.0,,,,,FLIR
17,D,2019-11-13 14:25:39,2019-11-11,FLIR,Smith Michael T,Dir,S - Sale+OE,5331.0,-9000,109445,-8%,-479790.0,,,,,FLIR
18,,2019-11-06 20:38:28,2019-11-05,FLIR,Lewis Earl R,Dir,S - Sale,5357.0,-23585,707452,-3%,-1263448.0,,,,,FLIR
19,,2019-11-05 18:38:25,2019-11-04,FLIR,Halligan Catherine Ann,Dir,S - Sale,5306.0,-4500,10646,-30%,-238770.0,,,,,FLIR
20,D,2019-11-05 18:38:06,2019-11-04,FLIR,Macdonald Angus L,Dir,S - Sale+OE,5327.0,-28370,23900,-54%,-1511270.0,,,,,FLIR
21,,2019-10-22 17:38:12,2019-10-21,FLIR,Buffum Anthony D,"SVP, CHRO",S - Sale,5341.0,-2785,14137,-16%,-148747.0,,,,,FLIR
22,,2019-09-18 18:11:17,2019-09-17,FLIR,Harding Brian E,"VP, Corporate Controller, PAO",S - Sale,5248.0,-3625,8876,-29%,-190240.0,,,,,FLIR
23,,2019-08-22 21:23:07,2019-08-21,FLIR,Buffum Anthony D,"SVP, CHRO",S - Sale,4788.0,-300,17983,-2%,-14364.0,,,,,FLIR
24,D,2019-05-13 16:00:16,2019-05-10,FLIR,Carter John D,Dir,S - Sale+OE,5110.0,-10300,43237,-19%,-526330.0,,,,,FLIR
