,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,D,2022-03-08 20:55:48,2022-03-08,FNKO,Daw Tracy D,GC,S - Sale+OE,1777.0,-546,8714,-6%,-9702.0,,,,,FNKO
1,D,2022-03-08 20:44:57,2022-03-08,FNKO,Perlmutter Andrew Mark,CEO,S - Sale+OE,1777.0,-1170,121796,-1%,-20791.0,,,,,FNKO
2,D,2022-03-08 20:42:19,2022-03-04,FNKO,Mariotti Brian Richard,CHIEF CREATIVE OFFICER,S - Sale+OE,2020.0,-106720,1548130,-6%,-2156267.0,,,,,FNKO
3,DM,2022-03-08 20:24:17,2022-03-04,FNKO,"Acon Equity Genpar, L.L.C.","Dir, 10%",S - Sale+OE,2009.0,-773377,16621325,-4%,-15540319.0,,,,,FNKO
4,DM,2022-03-08 20:23:57,2022-03-04,FNKO,Brotman Kenneth R.,Dir,S - Sale+OE,2009.0,-773377,16621325,-4%,-15540319.0,,,,,FNKO
5,DM,2022-03-08 20:23:36,2022-03-04,FNKO,Kriger Adam M.,Dir,S - Sale+OE,2009.0,-773377,16621325,-4%,-15540319.0,,,,,FNKO
6,D,2022-02-18 17:23:24,2022-02-16,FNKO,"Acon Equity Genpar, L.L.C.","Dir, 10%",S - Sale+OE,1805.0,-25702,17394702,0%,-463921.0,,,,,FNKO
7,D,2022-02-18 17:23:14,2022-02-16,FNKO,Brotman Kenneth R.,Dir,S - Sale+OE,1805.0,-25702,17394702,0%,-463921.0,,,,,FNKO
8,D,2022-02-18 17:22:58,2022-02-16,FNKO,Kriger Adam M.,Dir,S - Sale+OE,1805.0,-25702,17394702,0%,-463921.0,,,,,FNKO
9,DM,2022-02-11 19:31:23,2022-02-09,FNKO,Kriger Adam M.,Dir,S - Sale+OE,1832.0,-263950,17420404,-1%,-4835282.0,,,,,FNKO
10,DM,2022-02-11 19:30:35,2022-02-09,FNKO,"Acon Equity Genpar, L.L.C.","Dir, 10%",S - Sale+OE,1832.0,-263950,17420404,-1%,-4835282.0,,,,,FNKO
11,DM,2022-02-11 19:29:23,2022-02-09,FNKO,Brotman Kenneth R.,Dir,S - Sale+OE,1832.0,-263950,17420404,-1%,-4835282.0,,,,,FNKO
