,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,D,2022-03-16 07:49:47,2022-03-15,GOEV,Dd Global Holdings Ltd,10%,S - Sale+OE,653.0,-10500000,31315011,-25%,-68565000.0,,,,,GOEV
1,,2022-03-08 16:01:15,2022-03-04,GOEV,Dattilo Thomas A,Dir,P - Purchase,520.0,50000,128163,+64%,260000.0,,,,,GOEV
2,,2022-02-17 19:30:49,2022-02-16,GOEV,Murthy Ramesh,"SVP, ICFO, CAO",S - Sale,617.0,-2459,104160,-2%,-15172.0,,,,,GOEV
3,,2021-11-22 16:33:13,2021-11-22,GOEV,Aquila Tony,"Exec COB, CEO, 10%",P - Purchase,653.0,35273268,49171483,+254%,230334440.0,,,,,GOEV
4,,2021-11-22 16:29:55,2021-11-18,GOEV,Dattilo Thomas A,Dir,P - Purchase,1026.0,40000,78163,+105%,410400.0,,,,,GOEV
5,,2021-11-22 16:25:41,2021-11-22,GOEV,Dd Global Holdings Ltd,10%,S - Sale,653.0,-35273268,44215011,-44%,-230334440.0,,,,,GOEV
6,D,2020-12-23 21:00:25,2020-12-21,GOEV,Hennessy Capital Partners IV LLC,10%,P - Purchase,1000.0,500000,500000,New,5000000.0,,,,,GOEV
7,,2020-07-27 16:04:13,2020-07-23,HCAC,"Glazer Capital, LLC",10%,S - Sale,1223.0,-125111,2984865,-4%,-1530108.0,,,,,GOEV
8,M,2020-07-22 17:37:31,2020-07-20,HCAC,"Glazer Capital, LLC",10%,S - Sale,1107.0,-134432,6248307,-2%,-1488335.0,,,,,GOEV
9,M,2020-07-13 15:45:40,2020-07-09,HCAC,"Glazer Capital, LLC",10%,S - Sale,1095.0,-61380,3244408,-2%,-672106.0,,,,,GOEV
10,,2020-07-08 18:08:44,2020-07-06,HCAC,"Glazer Capital, LLC",10%,S - Sale,1080.0,-22797,3305788,-1%,-246208.0,,,,,GOEV
11,,2020-07-02 16:29:10,2020-07-01,HCAC,"Glazer Capital, LLC",10%,S - Sale,1090.0,-5050,3328585,0%,-55045.0,,,,,GOEV
