,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,,2022-03-14 15:41:58,2022-03-11,HDSN,Mandracchia Stephen P,Dir,S - Sale,577.0,-200000,674756,-23%,-1153000.0,,,,,HDSN
1,,2022-01-18 09:12:42,2021-12-10,HDSN,Abbatecola Vincent P,Dir,S - Sale,404.0,-35320,163297,-18%,-142799.0,,,,,HDSN
2,M,2022-01-18 09:10:57,2021-12-15,HDSN,Abbatecola Vincent P,Dir,S - Sale,382.0,-33000,130297,-20%,-125956.0,,,,,HDSN
3,M,2021-11-19 16:03:08,2021-11-18,HDSN,Mandracchia Stephen P,Dir,S - Sale,471.0,-200000,892336,-18%,-941629.0,,,,,HDSN
4,D,2021-11-17 17:28:32,2021-11-17,HDSN,Krishnamurti Nat,CFO,S - Sale+OE,476.0,-200000,25207,-89%,-952000.0,,,,,HDSN
5,,2021-08-18 15:34:09,2021-08-17,HDSN,Coleman Brian F,"Pres, CEO",P - Purchase,289.0,25000,520019,+5%,72250.0,,,,,HDSN
6,,2021-08-09 15:48:52,2021-08-09,HDSN,Morch Otto C,Dir,S - Sale,320.0,-57211,37085,-61%,-182904.0,,,,,HDSN
7,,2021-06-11 09:14:19,2021-06-09,HDSN,Houghton Kathleen,"VP - Sales, Marketing",S - Sale,290.0,-13315,40107,-25%,-38601.0,,,,,HDSN
8,,2021-06-03 15:25:36,2021-06-02,HDSN,Morch Otto C,Dir,S - Sale,295.0,-13262,37085,-26%,-39183.0,,,,,HDSN
9,,2021-06-02 15:06:27,2021-06-01,HDSN,Abbatecola Vincent P,Dir,S - Sale,295.0,-16298,116928,-12%,-48079.0,,,,,HDSN
10,D,2021-06-02 14:39:19,2021-06-02,HDSN,Houghton Kathleen,"VP - Sales, Marketing",S - Sale+OE,300.0,-3582,0,-100%,-10740.0,,,,,HDSN
11,DM,2021-05-27 13:38:42,2021-05-25,HDSN,Mandracchia Stephen P,Dir,S - Sale+OE,240.0,-200000,1088807,-16%,-479264.0,,,,,HDSN
12,,2021-03-15 10:46:08,2021-03-12,HDSN,Mandracchia Stephen P,Dir,S - Sale,157.0,-100000,1184296,-8%,-157011.0,,,,,HDSN
13,D,2020-12-17 12:50:32,2020-12-15,HDSN,Abbatecola Vincent P,Dir,S - Sale+OE,121.0,-75000,116928,-39%,-91103.0,,,,,HDSN
14,,2020-11-18 10:15:24,2020-11-16,HDSN,Monetta Dominic J,Dir,S - Sale,115.0,-15000,80316,-16%,-17280.0,,,,,HDSN
15,,2020-08-11 13:06:03,2020-08-10,HDSN,Monetta Dominic J,Dir,S - Sale,122.0,-15000,95316,-14%,-18300.0,,,,,HDSN
16,,2019-05-28 17:29:59,2019-05-22,HDSN,Monetta Dominic J,Dir,S - Sale,206.0,-10000,100112,-9%,-20587.0,,,,,HDSN
17,,2019-05-15 16:19:37,2019-05-14,HDSN,Monetta Dominic J,Dir,S - Sale,196.0,-5801,110112,-5%,-11370.0,,,,,HDSN
18,,2019-05-13 16:12:35,2019-05-09,HDSN,Monetta Dominic J,Dir,S - Sale,190.0,-5000,115913,-4%,-9500.0,,,,,HDSN
19,,2019-05-09 16:53:37,2019-05-08,HDSN,Prouty Eric A,Dir,P - Purchase,189.0,5000,80690,+7%,9450.0,,,,,HDSN
20,,2018-12-12 17:50:00,2018-12-12,HDSN,Prouty Eric A,Dir,P - Purchase,164.0,5000,75690,+7%,8200.0,,,,,HDSN
21,,2018-08-16 17:31:34,2018-08-15,HDSN,Prouty Eric A,Dir,P - Purchase,181.0,5000,70690,+8%,9050.0,,,,,HDSN
22,,2018-05-31 13:44:52,2018-05-30,HDSN,Parrillo Richard,Dir,P - Purchase,227.0,25000,101384,+33%,56860.0,,,,,HDSN
23,,2018-05-24 13:47:55,2018-05-24,HDSN,Prouty Eric A,Dir,P - Purchase,233.0,5000,54326,+10%,11650.0,,,,,HDSN
24,,2018-05-24 08:51:23,2018-05-23,HDSN,Zugibe Kevin J,"COB, CEO",P - Purchase,211.0,20000,3604923,+1%,42263.0,,,,,HDSN
25,,2018-05-18 17:29:50,2018-05-18,HDSN,Morch Otto C,Dir,S - Sale,252.0,-12224,31403,-28%,-30754.0,,,,,HDSN
