,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,D,2022-03-11 17:42:05,2022-03-10,IMMR,Jose Francis,"CEO, GC",S - Sale+OE,530.0,-1470,19905,-7%,-7791.0,,,,,IMMR
1,D,2022-03-02 21:21:45,2022-03-02,IMMR,Jose Francis,"CEO, GC",S - Sale+OE,530.0,-2138,17892,-11%,-11331.0,,,,,IMMR
2,D,2022-02-14 18:21:31,2022-02-11,IMMR,Akerman Aaron,CFO,S - Sale+OE,500.0,-1007,24463,-4%,-5035.0,,,,,IMMR
3,D,2022-01-18 18:55:37,2022-01-14,IMMR,Akerman Aaron,CFO,S - Sale+OE,515.0,-12693,21595,-37%,-65373.0,,,,,IMMR
4,,2022-01-03 18:18:48,2021-12-29,IMMR,Martin William C,Dir,S - Sale,575.0,-1000,32030,-3%,-5750.0,,,,,IMMR
5,M,2021-12-15 09:30:12,2021-12-13,IMMR,Singer Eric,Dir,P - Purchase,521.0,143000,165763,+628%,744346.0,,,,,IMMR
6,,2021-11-15 19:12:22,2021-11-11,IMMR,Martin William C,Dir,S - Sale,688.0,-353374,33030,-91%,-2429729.0,,,,,IMMR
7,D,2021-11-15 18:28:59,2021-11-12,IMMR,Akerman Aaron,CFO,S - Sale+OE,676.0,-4014,10955,-27%,-27135.0,,,,,IMMR
8,M,2021-11-10 19:37:55,2021-11-08,IMMR,Martin William C,Dir,S - Sale,720.0,-1867715,386404,-83%,-13451423.0,,,,,IMMR
9,DM,2021-03-17 19:01:57,2021-03-15,IMMR,Smith Jared,"Interim CEO, VP Worldwide Sale",S - Sale+OE,1077.0,-36250,26034,-58%,-390405.0,,,,,IMMR
10,,2021-03-12 19:57:06,2021-03-12,IMMR,Singer Eric,Dir,S - Sale,1069.0,-100000,521642,-16%,-1069140.0,,,,,IMMR
11,D,2021-03-11 17:43:53,2021-03-09,IMMR,Okada Michael Rudolf,GC,S - Sale+OE,1050.0,-2000,21817,-8%,-21000.0,,,,,IMMR
12,M,2021-03-10 21:30:53,2021-03-08,IMMR,Singer Eric,Dir,S - Sale,999.0,-287370,621642,-32%,-2871111.0,,,,,IMMR
13,,2021-03-09 16:00:14,2021-03-05,IMMR,Akerman Aaron,CFO,S - Sale,962.0,-8166,5722,-59%,-78576.0,,,,,IMMR
14,D,2021-02-24 17:00:27,2021-02-22,IMMR,Holt Sharon E,Dir,S - Sale+OE,1202.0,-40000,51390,-44%,-480604.0,,,,,IMMR
15,,2021-02-22 17:00:53,2021-02-18,IMMR,Akerman Aaron,CFO,S - Sale,1315.0,-3725,13888,-21%,-48977.0,,,,,IMMR
16,M,2021-02-19 21:52:24,2021-02-18,IMMR,Martin William C,Dir,S - Sale,1289.0,-408399,2254119,-15%,-5264043.0,,,,,IMMR
