,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,M,2022-01-14 18:45:17,2022-01-13,KIRK,Lewis John Hartnett,10%,P - Purchase,1678.0,135000,1674481,+9%,2265650.0,,,,,KIRK
1,,2021-12-06 12:40:17,2021-12-06,KIRK,Pleas Charles III,Dir,P - Purchase,1441.0,10000,153528,+7%,144097.0,,,,,KIRK
2,,2021-09-14 12:53:53,2021-09-13,KIRK,Strain Nicole Allyson,CFO,S - Sale,2050.0,-6000,143442,-4%,-123000.0,,,,,KIRK
3,,2021-06-22 10:50:18,2021-06-21,KIRK,Kirkland Miles,Dir,S - Sale,2245.0,-19900,85817,-19%,-446795.0,,,,,KIRK
4,M,2021-06-14 12:35:58,2021-06-10,KIRK,Kirkland Miles,Dir,S - Sale,2369.0,-20100,105717,-16%,-476243.0,,,,,KIRK
5,,2021-04-02 11:12:42,2021-04-01,KIRK,Strain Nicole Allyson,CFO,S - Sale,2860.0,-6000,149991,-4%,-171600.0,,,,,KIRK
6,,2021-04-01 15:40:22,2021-03-31,KIRK,Orr Wilson R III,Dir,S - Sale,2900.0,-8047,69434,-10%,-233363.0,,,,,KIRK
7,DM,2021-01-11 15:24:38,2021-01-07,KIRK,Martin Jeffrey T.,SVP of Omni-Channel Retail,S - Sale+OE,1809.0,-40140,99126,-29%,-726016.0,,,,,KIRK
8,M,2020-09-24 12:51:37,2020-09-22,KIRK,Orr Wilson R III,Dir,P - Purchase,807.0,3000,81481,+4%,24214.0,,,,,KIRK
9,,2020-09-22 10:35:15,2020-09-21,KIRK,Orr Wilson R III,Dir,P - Purchase,795.0,2000,78481,+3%,15900.0,,,,,KIRK
10,M,2020-07-13 11:47:50,2020-07-09,KIRK,Collins Steven J,Dir,P - Purchase,293.0,36000,113224,+47%,105600.0,,,,,KIRK
11,,2020-06-29 19:35:33,2020-06-26,KIRK,Strain Nicole Allyson,CFO,P - Purchase,230.0,20000,145069,+16%,46000.0,,,,,KIRK
12,,2020-06-29 19:29:09,2020-06-26,KIRK,Woodward Steven C,"Pres, CEO",P - Purchase,237.0,46808,532181,+10%,110935.0,,,,,KIRK
13,,2020-06-12 15:25:21,2020-06-11,KIRK,Lanigan Susan S,Dir,P - Purchase,140.0,14000,56434,+33%,19617.0,,,,,KIRK
14,,2020-06-12 15:21:21,2020-06-10,KIRK,Orr Wilson R III,Dir,P - Purchase,152.0,10000,66481,+18%,15197.0,,,,,KIRK
15,,2020-06-11 13:47:15,2020-06-10,KIRK,Shimojima Chris,Dir,P - Purchase,150.0,4000,38434,+12%,6000.0,,,,,KIRK
16,,2019-09-27 10:53:00,2019-09-26,KIRK,Cairnes Mike,"Pres, COO",P - Purchase,137.0,6700,139334,+5%,9184.0,,,,,KIRK
17,M,2019-09-25 15:51:45,2019-09-23,KIRK,Cairnes Mike,"Pres, COO",P - Purchase,137.0,12110,132634,+10%,16585.0,,,,,KIRK
18,,2019-06-13 13:29:19,2019-06-12,KIRK,Pleas Charles III,Dir,P - Purchase,239.0,100000,112000,+833%,239000.0,,,,,KIRK
19,,2019-06-11 17:45:38,2019-06-10,KIRK,Woodward Steven C,CEO,P - Purchase,236.0,42918,167954,+34%,101218.0,,,,,KIRK
20,M,2018-03-22 10:00:14,2018-03-20,KIRK,Madden W Michael,"Pres, CEO",S - Sale,1005.0,-15000,119245,-11%,-150768.0,,,,,KIRK
