,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,,2022-03-01 16:32:24,2022-03-01,LPTH,Rubin Shmuel,CEO,P - Purchase,211.0,300,42986,+1%,633.0,,,,,LPTH
1,,2022-02-23 17:08:34,2022-02-23,LPTH,Miranda Albert,CFO,P - Purchase,200.0,5000,9000,+125%,10000.0,,,,,LPTH
2,,2022-02-23 17:04:47,2022-02-23,LPTH,Rubin Shmuel,CEO,P - Purchase,210.0,500,42686,+1%,1050.0,,,,,LPTH
3,,2021-12-03 16:12:49,2021-12-03,LPTH,Rubin Shmuel,CEO,P - Purchase,177.0,666,42186,+2%,1179.0,,,,,LPTH
4,,2021-11-30 16:30:18,2021-11-30,LPTH,Leeburg Louis,Dir,P - Purchase,197.0,2500,107191,+2%,4919.0,,,,,LPTH
5,,2021-11-22 09:21:11,2021-11-18,LPTH,Creviston Steven E,Dir,P - Purchase,189.0,10000,13934,+254%,18900.0,,,,,LPTH
6,,2021-10-01 16:18:46,2021-09-29,LPTH,Peck Darcie,Dir,S - Sale,222.0,-5407,0,-100%,-12004.0,,,,,LPTH
7,,2021-09-28 16:07:42,2021-09-27,LPTH,Peck Darcie,Dir,S - Sale,235.0,-10593,5407,-66%,-24894.0,,,,,LPTH
8,,2021-09-17 21:40:24,2021-09-17,LPTH,Miranda Albert,CFO,P - Purchase,220.0,4000,4000,New,8800.0,,,,,LPTH
9,,2021-09-17 14:29:34,2021-09-17,LPTH,Leeburg Louis,Dir,P - Purchase,222.0,2000,104691,+2%,4440.0,,,,,LPTH
10,,2021-09-17 14:04:48,2021-09-17,LPTH,Rubin Shmuel,CEO,P - Purchase,228.0,18500,41520,+80%,42147.0,,,,,LPTH
11,,2021-05-13 11:31:49,2021-05-12,LPTH,Rubin Shmuel,CEO,P - Purchase,230.0,2200,23020,+11%,5060.0,,,,,LPTH
12,,2021-03-22 09:55:39,2021-03-19,LPTH,Retreage Donald O'Connor Jr,CFO,P - Purchase,325.0,500,6886,+8%,1625.0,,,,,LPTH
13,,2020-12-07 19:24:13,2020-12-04,LPTH,Rubin Shmuel,CEO,P - Purchase,295.0,1500,20820,+8%,4425.0,,,,,LPTH
14,,2020-11-20 19:42:30,2020-11-20,LPTH,Rubin Shmuel,CEO,P - Purchase,287.0,4000,23320,+21%,11478.0,,,,,LPTH
15,,2020-11-17 09:50:48,2020-11-16,LPTH,Rubin Shmuel,CEO,P - Purchase,271.0,5000,19320,+35%,13550.0,,,,,LPTH
16,,2020-09-15 08:52:48,2020-09-14,LPTH,Rubin Shmuel,CEO,P - Purchase,234.0,3000,14320,+27%,7020.0,,,,,LPTH
17,,2020-06-19 10:47:04,2020-06-18,LPTH,Rubin Shmuel,CEO,P - Purchase,289.0,500,11320,+5%,1443.0,,,,,LPTH
18,,2020-03-23 16:58:58,2020-03-19,LPTH,Retreage Donald O'Connor Jr,CFO,P - Purchase,98.0,500,2500,+25%,488.0,,,,,LPTH
19,,2020-03-11 17:08:48,2020-03-11,LPTH,Retreage Donald O'Connor Jr,CFO,P - Purchase,117.0,500,2000,+33%,584.0,,,,,LPTH
20,,2020-02-27 16:25:29,2020-02-25,LPTH,Retreage Donald O'Connor Jr,CFO,P - Purchase,129.0,500,1500,+50%,643.0,,,,,LPTH
21,DM,2020-01-31 10:30:21,2019-10-31,LPTH,Retreage Donald O'Connor Jr,CFO,P - Purchase,69.0,1000,1000,New,685.0,,,,,LPTH
22,,2019-06-13 13:44:07,2019-06-13,LPTH,Brueck Steven R J,Dir,P - Purchase,93.0,5000,79870,+7%,4626.0,,,,,LPTH
23,,2019-06-10 14:24:46,2019-06-10,LPTH,Brueck Steven R J,Dir,P - Purchase,95.0,4000,74870,+6%,3800.0,,,,,LPTH
24,M,2019-06-10 12:23:29,2019-06-05,LPTH,Ripp Robert,Dir,P - Purchase,100.0,51249,775000,+7%,51161.0,,,,,LPTH
25,,2019-06-04 09:59:02,2019-06-03,LPTH,Leeburg Louis,Dir,P - Purchase,100.0,10000,102691,+11%,10000.0,,,,,LPTH
26,,2019-05-15 16:12:01,2019-05-15,LPTH,Gaynor Joseph J Jr,"Pres, CEO",P - Purchase,115.0,3000,185540,+2%,3450.0,,,,,LPTH
