,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,,2021-11-12 16:16:03,2021-11-10,LQDA,Kirsch Arthur S,Dir,P - Purchase,424.0,30000,32000,>999%,127200.0,,,,,LQDA
1,,2021-11-10 18:01:10,2021-11-10,LQDA,Schundler Russell,GC,P - Purchase,421.0,117908,235088,+101%,496834.0,,,,,LQDA
2,,2021-05-19 16:31:10,2021-05-18,LQDA,Schundler Russell,GC,P - Purchase,277.0,97755,117180,+503%,270818.0,,,,,LQDA
3,,2021-04-15 09:24:04,2021-04-13,LQDA,Manning Paul B,"Dir, 10%",P - Purchase,252.0,198413,5137954,+4%,500001.0,,,,,LQDA
4,,2021-04-15 09:22:34,2021-04-13,LQDA,Jeffs Roger,Dir,P - Purchase,252.0,99206,1505301,+7%,249999.0,,,,,LQDA
5,,2021-01-27 16:32:15,2021-01-26,LQDA,"Eshelman Ventures, LLC",10%,S - Sale,312.0,-1762162,2776783,-39%,-5502527.0,,,,,LQDA
6,M,2021-01-26 17:27:48,2021-01-22,LQDA,"Eshelman Ventures, LLC",10%,S - Sale,296.0,-1219287,4538945,-21%,-3612316.0,,,,,LQDA
7,,2021-01-22 16:20:10,2021-01-21,LQDA,"Eshelman Ventures, LLC",10%,S - Sale,296.0,-328250,5758232,-5%,-972080.0,,,,,LQDA
8,M,2021-01-21 17:04:31,2021-01-19,LQDA,"Eshelman Ventures, LLC",10%,S - Sale,297.0,-147240,6086482,-2%,-436797.0,,,,,LQDA
9,,2021-01-19 17:20:26,2021-01-15,LQDA,"Eshelman Ventures, LLC",10%,S - Sale,301.0,-27000,6233722,0%,-81251.0,,,,,LQDA
10,M,2021-01-15 17:44:50,2021-01-13,LQDA,"Eshelman Ventures, LLC",10%,S - Sale,302.0,-37859,6260722,-1%,-114335.0,,,,,LQDA
11,M,2021-01-13 18:00:52,2021-01-11,LQDA,"Eshelman Ventures, LLC",10%,S - Sale,306.0,-112859,6298581,-2%,-345652.0,,,,,LQDA
12,M,2021-01-11 17:50:11,2021-01-07,LQDA,"Eshelman Ventures, LLC",10%,S - Sale,311.0,-214721,6411440,-3%,-667147.0,,,,,LQDA
13,,2020-12-28 17:20:42,2020-12-22,LQDA,"Eshelman Ventures, LLC",10%,S - Sale,314.0,-7949,6626161,0%,-24960.0,,,,,LQDA
14,M,2020-12-22 19:08:04,2020-12-18,LQDA,"Eshelman Ventures, LLC",10%,S - Sale,314.0,-105215,6634110,-2%,-329936.0,,,,,LQDA
15,,2020-12-16 17:11:12,2020-12-14,LQDA,"Eshelman Ventures, LLC",10%,S - Sale,313.0,-6417,6739325,0%,-20085.0,,,,,LQDA
16,M,2020-12-01 20:56:11,2020-11-27,LQDA,"Eshelman Ventures, LLC",10%,S - Sale,313.0,-400,6745742,0%,-1252.0,,,,,LQDA
17,M,2020-12-01 20:34:54,2020-11-19,LQDA,"Eshelman Ventures, LLC",10%,S - Sale,317.0,-464175,6746142,-6%,-1470443.0,,,,,LQDA
