,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,,2021-03-12 20:00:21,2021-03-10,MESA,Gillman Brian S,"EVP, GC, Secretary",S - Sale,1628.0,-5000,30000,-14%,-81400.0,,,,,MESA
1,M,2021-03-12 20:00:12,2021-03-11,MESA,Ornstein Jonathan G,CEO,S - Sale,1688.0,-25000,500000,-5%,-422000.0,,,,,MESA
2,,2021-03-11 20:00:15,2021-03-09,MESA,Schiller Harvey W,Dir,S - Sale,1538.0,-5000,34086,-13%,-76900.0,,,,,MESA
3,,2021-03-11 20:00:13,2021-03-09,MESA,Skiados Spyridon,Dir,S - Sale,1464.0,-10300,32832,-24%,-150792.0,,,,,MESA
4,M,2021-03-10 20:00:32,2021-03-08,MESA,Gordon Mitchell I,Dir,S - Sale,1468.0,-15500,51932,-23%,-227515.0,,,,,MESA
5,,2021-03-04 20:00:13,2021-03-02,MESA,Lotz Michael,"Pres, Chief Officer",S - Sale,1413.0,-50000,175358,-22%,-706500.0,,,,,MESA
6,M,2021-03-03 20:15:11,2021-03-01,MESA,Ornstein Jonathan G,CEO,S - Sale,1435.0,-109828,525000,-17%,-1575775.0,,,,,MESA
7,M,2021-03-03 18:55:12,2021-03-01,MESA,Gillman Brian S,"EVP, GC, Secretary",S - Sale,1456.0,-25000,35000,-42%,-363900.0,,,,,MESA
8,,2021-02-25 18:46:32,2021-02-24,MESA,Schiller Harvey W,Dir,S - Sale,1366.0,-24046,39086,-38%,-328468.0,,,,,MESA
9,,2021-02-25 18:43:51,2021-02-24,MESA,Artist Ellen N.,Dir,S - Sale,1323.0,-25000,48132,-34%,-330750.0,,,,,MESA
10,M,2021-02-24 20:00:10,2021-02-22,MESA,Gillman Brian S,"EVP, GC, Secretary",S - Sale,1284.0,-8185,60000,-12%,-105055.0,,,,,MESA
11,,2021-02-24 16:58:06,2021-02-22,MESA,Skiados Spyridon,Dir,S - Sale,1275.0,-30000,43132,-41%,-382500.0,,,,,MESA
12,M,2021-02-19 18:26:28,2021-02-17,MESA,Ornstein Jonathan G,CEO,S - Sale,1220.0,-75000,634828,-11%,-914650.0,,,,,MESA
13,M,2021-02-19 18:23:12,2021-02-18,MESA,Lotz Michael,"Pres, Chief Officer",S - Sale,1198.0,-150000,225358,-40%,-1797500.0,,,,,MESA
14,M,2021-02-18 20:00:25,2021-02-16,MESA,Gillman Brian S,"EVP, GC, Secretary",S - Sale,1108.0,-17500,68185,-20%,-193975.0,,,,,MESA
15,,2021-02-18 17:20:42,2021-02-16,MESA,Lockhart Dana J,Dir,S - Sale,1034.0,-12500,60632,-17%,-129250.0,,,,,MESA
16,,2020-12-17 18:57:03,2020-12-16,MESA,Gillman Brian S,"EVP, GC, Secretary",S - Sale,692.0,-5000,85685,-6%,-34600.0,,,,,MESA
17,,2020-12-17 18:28:16,2020-12-16,MESA,Gordon Mitchell I,Dir,S - Sale,691.0,-5700,51730,-10%,-39387.0,,,,,MESA
18,M,2020-12-17 16:23:06,2020-12-15,MESA,Ornstein Jonathan G,CEO,S - Sale,695.0,-84858,709828,-11%,-590104.0,,,,,MESA
19,,2020-12-16 18:34:31,2020-12-14,MESA,Gillman Brian S,"EVP, GC, Secretary",S - Sale,687.0,-20000,90685,-18%,-137400.0,,,,,MESA
20,,2020-12-16 17:24:22,2020-12-14,MESA,Schiller Harvey W,Dir,S - Sale,668.0,-10000,47430,-17%,-66800.0,,,,,MESA
21,,2020-03-11 20:41:00,2020-03-10,MESA,Ornstein Jonathan G,CEO,P - Purchase,490.0,5000,677602,+1%,24500.0,,,,,MESA
22,AD,2019-01-23 20:08:24,2018-09-11,MESA,Gillman Brian S,"EVP, GC, Secretary",S - Sale+OE,1116.0,-39398,69878,-36%,-439682.0,,,,,MESA
23,,2018-09-13 15:24:15,2018-09-11,MESA,Ornstein Jonathan G,"COB, CEO",S - Sale,1116.0,-277388,526619,-35%,-3095650.0,,,,,MESA
24,,2018-09-13 15:24:14,2018-09-11,MESA,Lotz Michael,"Pres, CFO",S - Sale,1116.0,-140807,185742,-43%,-1571406.0,,,,,MESA
25,,2018-09-13 15:24:03,2018-09-11,MESA,Gordon Mitchell I,Dir,S - Sale,1116.0,-12635,17744,-42%,-141007.0,,,,,MESA
26,,2018-09-13 15:21:26,2018-09-11,MESA,Lockhart Dana J,Dir,S - Sale,1116.0,-12635,17744,-42%,-141007.0,,,,,MESA
27,,2018-09-13 15:21:23,2018-09-11,MESA,Ferverda Michael L,COO,S - Sale,1116.0,-9473,11524,-45%,-105719.0,,,,,MESA
28,,2018-09-13 15:20:26,2018-09-11,MESA,Skiados Spyridon,Dir,S - Sale,1116.0,-12635,17744,-42%,-141007.0,,,,,MESA
29,,2018-09-13 15:17:26,2018-09-11,MESA,Schiller Harvey W,Dir,S - Sale,1116.0,-12635,17744,-42%,-141007.0,,,,,MESA
30,,2018-09-13 15:16:23,2018-09-11,MESA,Altobello Daniel Joseph,Dir,S - Sale,1116.0,-12635,17744,-42%,-141007.0,,,,,MESA
31,,2018-09-13 15:16:02,2018-09-11,MESA,Lyon G Grant,Dir,S - Sale,1116.0,-12635,17744,-42%,-141007.0,,,,,MESA
32,,2018-09-13 15:15:47,2018-09-11,MESA,Artist Ellen N.,Dir,S - Sale,1116.0,-12635,17744,-42%,-141007.0,,,,,MESA
33,D,2018-09-13 15:14:54,2018-09-11,MESA,Gillman Brian S,"EVP, GC, Secretary",S - Sale+OE,1116.0,-39398,58969,-40%,-439682.0,,,,,MESA
