,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,,2022-02-15 17:18:30,2022-02-14,MTRX,Durkin Kevin A,"VP Chief Bus Dev, Strat Office",P - Purchase,636.0,7800,65458,+14%,49635.0,,,,,MTRX
1,M,2021-12-23 15:47:43,2021-12-22,MTRX,Hewitt John R,"Pres, CEO",P - Purchase,699.0,15000,391979,+4%,104840.0,,,,,MTRX
2,,2021-12-21 14:25:06,2021-12-21,MTRX,Chandler John D,Dir,P - Purchase,679.0,7000,47901,+17%,47542.0,,,,,MTRX
3,,2021-09-23 14:56:20,2021-09-23,MTRX,Chandler John D,Dir,P - Purchase,992.0,5000,31784,+19%,49594.0,,,,,MTRX
4,D,2021-05-18 12:33:10,2021-05-14,MTRX,Sheets Justin D,"VP, GC",S - Sale+OE,1246.0,-2000,43177,-4%,-24915.0,,,,,MTRX
5,D,2021-05-18 12:32:39,2021-05-14,MTRX,Cavanah Kevin S,"VP Finance, CFO",S - Sale+OE,1237.0,-16850,107237,-14%,-208458.0,,,,,MTRX
6,,2020-11-12 11:29:05,2020-11-11,MTRX,Miller James Harry,Dir,P - Purchase,898.0,3000,41629,+8%,26940.0,,,,,MTRX
7,,2019-12-05 15:10:55,2019-12-04,MTRX,Austin Nancy E,"VP, Chief Admin Officer",S - Sale,2066.0,-3540,40350,-8%,-73123.0,,,,,MTRX
8,,2019-09-05 17:19:23,2019-09-05,MTRX,Montalbano Joseph F,COO,S - Sale,2000.0,-6036,36235,-14%,-120720.0,,,,,MTRX
9,,2019-08-30 17:40:14,2019-08-30,MTRX,Montalbano Joseph F,COO,S - Sale,2036.0,-10275,42271,-20%,-209232.0,,,,,MTRX
10,,2019-05-14 17:22:21,2019-05-14,MTRX,Cavanah Kevin S,"VP Finance, CFO",S - Sale,2115.0,-14505,76940,-16%,-306805.0,,,,,MTRX
11,,2019-05-13 16:43:19,2019-05-10,MTRX,Miller James Harry,Dir,S - Sale,2225.0,-1825,25128,-7%,-40606.0,,,,,MTRX
12,,2019-03-25 16:19:53,2019-03-21,MTRX,Updyke Alan R,"Pres, Matrix Service",S - Sale,2146.0,-3000,41911,-7%,-64374.0,,,,,MTRX
13,,2019-02-27 17:10:04,2019-02-27,MTRX,Bennett Rick J,"VP, CIO",S - Sale,2100.0,-1920,12805,-13%,-40320.0,,,,,MTRX
14,M,2019-02-20 16:51:00,2019-02-19,MTRX,Bennett Rick J,"VP, CIO",S - Sale,2100.0,-2300,14725,-14%,-48301.0,,,,,MTRX
15,,2019-02-15 17:17:37,2019-02-15,MTRX,Bennett Rick J,"VP, CIO",S - Sale,2102.0,-2884,17025,-14%,-60631.0,,,,,MTRX
16,,2018-10-01 19:05:02,2018-09-28,MTRX,Rinehart Bradley J,"Pres, Matrix PDM Eng",S - Sale,2406.0,-12647,52071,-20%,-304278.0,,,,,MTRX
17,M,2018-09-27 17:02:18,2018-09-25,MTRX,Rinehart Bradley J,"Pres, Matrix PDM Eng",S - Sale,2465.0,-1116,64718,-2%,-27509.0,,,,,MTRX
18,M,2018-09-18 18:53:57,2018-09-17,MTRX,Maxwell Tom E,Dir,S - Sale,2506.0,-17400,40126,-30%,-435990.0,,,,,MTRX
19,,2018-09-18 17:29:21,2018-09-17,MTRX,Austin Nancy E,"VP, Strategic Services, Admin",S - Sale,2474.0,-10868,37716,-22%,-268905.0,,,,,MTRX
20,,2018-09-17 12:54:30,2018-09-14,MTRX,Cavanah Kevin S,"VP Finance, CFO",S - Sale,2540.0,-21450,91445,-19%,-544920.0,,,,,MTRX
21,,2018-09-13 17:45:22,2018-09-12,MTRX,Montalbano Joseph F,COO,S - Sale,2266.0,-34785,40273,-46%,-788186.0,,,,,MTRX
22,M,2018-06-15 18:10:48,2018-06-13,MTRX,Ryan James P,Pres Emeritus Matrix Serv,S - Sale,1915.0,-11118,61946,-15%,-212908.0,,,,,MTRX
23,M,2018-06-15 16:49:57,2018-06-13,MTRX,Hewitt John R,"Pres, CEO",S - Sale,1928.0,-62500,216529,-22%,-1205183.0,,,,,MTRX
24,D,2018-06-06 18:23:14,2018-06-05,MTRX,Turner Jason W,"Pres, MNAC",S - Sale+OE,1935.0,-15637,39249,-28%,-302576.0,,,,,MTRX
25,D,2018-06-04 19:01:51,2018-06-01,MTRX,Turner Jason W,"Pres, MNAC",S - Sale+OE,1950.0,-3291,48498,-6%,-64175.0,,,,,MTRX
26,D,2018-06-01 12:18:16,2018-05-30,MTRX,Montalbano Joseph F,COO,S - Sale+OE,1952.0,-21050,65602,-24%,-410793.0,,,,,MTRX
