,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,M,2020-12-29 16:45:57,2020-12-24,NHLD,Asher Daniel,10%,P - Purchase,269.0,18458,3027841,+1%,49599.0,,,,,NHLD
1,,2020-12-18 16:44:28,2020-12-16,NHLD,Asher Daniel,10%,P - Purchase,270.0,1621,3009383,0%,4376.0,,,,,NHLD
2,M,2020-12-10 16:23:56,2020-12-08,NHLD,Asher Daniel,10%,P - Purchase,263.0,136854,3007762,+5%,360406.0,,,,,NHLD
3,,2020-11-19 16:38:45,2020-11-17,NHLD,Asher Daniel,10%,P - Purchase,269.0,20769,2871270,+1%,55879.0,,,,,NHLD
4,M,2020-11-17 16:36:49,2020-11-13,NHLD,Asher Daniel,10%,P - Purchase,255.0,194051,2850501,+7%,494147.0,,,,,NHLD
5,,2020-09-09 11:13:28,2020-09-04,NHLD,Asher Daniel,10%,P - Purchase,220.0,1830,2656450,0%,4026.0,,,,,NHLD
6,M,2020-09-03 16:49:36,2020-09-01,NHLD,Asher Daniel,10%,P - Purchase,219.0,3312,2654620,0%,7268.0,,,,,NHLD
7,M,2020-08-31 16:47:04,2020-08-27,NHLD,Asher Daniel,10%,P - Purchase,229.0,58219,2651308,+2%,133206.0,,,,,NHLD
8,M,2020-07-02 17:14:27,2020-06-29,NHLD,Asher Daniel,10%,P - Purchase,200.0,365,2593089,0%,730.0,,,,,NHLD
9,M,2020-06-23 15:41:33,2020-06-19,NHLD,Asher Daniel,10%,P - Purchase,204.0,8307,2592724,0%,16917.0,,,,,NHLD
10,M,2020-05-06 16:41:11,2020-05-05,NHLD,Asher Daniel,10%,P - Purchase,180.0,77911,3847402,+2%,140598.0,,,,,NHLD
11,,2020-05-05 15:08:02,2020-05-04,NHLD,Asher Daniel,10%,P - Purchase,175.0,21600,2486406,+1%,37800.0,,,,,NHLD
12,,2020-03-12 16:02:24,2020-03-11,NHLD,Mullen Michael A,"CEO, COB",P - Purchase,214.0,35000,298593,+13%,74855.0,,,,,NHLD
13,M,2019-02-14 18:25:50,2019-02-01,NHLD,Asher Daniel,10%,P - Purchase,325.0,878932,5987954,+17%,2856509.0,,,,,NHLD
14,M,2019-02-06 16:19:11,2019-01-30,NHLD,Asher Daniel,10%,P - Purchase,316.0,2180,1586874,0%,6880.0,,,,,NHLD
15,,2019-01-30 16:41:03,2019-01-29,NHLD,Asher Daniel,10%,P - Purchase,311.0,200,1584694,0%,622.0,,,,,NHLD
16,,2019-01-29 17:04:12,2019-01-28,NHLD,Asher Daniel,10%,P - Purchase,311.0,1412,1584494,0%,4387.0,,,,,NHLD
17,,2019-01-25 16:49:37,2019-01-24,NHLD,Asher Daniel,10%,P - Purchase,310.0,1800,1583261,0%,5574.0,,,,,NHLD
18,,2019-01-22 16:23:50,2019-01-18,NHLD,Asher Daniel,10%,P - Purchase,325.0,3421,1581282,0%,11118.0,,,,,NHLD
19,M,2019-01-17 16:25:08,2019-01-14,NHLD,Asher Daniel,10%,P - Purchase,323.0,15039,1577861,+1%,48621.0,,,,,NHLD
20,,2019-01-17 16:25:08,2019-01-15,NHLD,Asher Daniel,10%,S - Sale,327.0,-200,1577861,0%,-654.0,,,,,NHLD
