,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,D,2021-09-24 16:46:43,2021-09-22,PATI,Sandlin Robert E,"Pres, CEO",S - Sale+OE,1186.0,-6780,10094,-40%,-80411.0,,,,,PATI
1,D,2021-08-25 09:55:42,2021-08-23,PATI,Milton John D Jr,"EVP, GC",S - Sale+OE,1200.0,-4798,0,-100%,-57576.0,,,,,PATI
2,D,2021-08-20 11:47:56,2021-08-18,PATI,Klopfenstein John D,"Controller, CAO",S - Sale+OE,1175.0,-1919,3702,-34%,-22548.0,,,,,PATI
3,,2020-04-07 16:50:25,2020-04-06,PATI,Baker John D II,10%,P - Purchase,987.0,403,494051,0%,3978.0,,,,,PATI
4,,2020-04-06 15:41:29,2020-04-03,PATI,Baker John D II,10%,P - Purchase,1045.0,774,493648,0%,8085.0,,,,,PATI
5,,2020-04-02 12:41:00,2020-04-01,PATI,Baker John D II,10%,P - Purchase,975.0,35,492874,0%,341.0,,,,,PATI
6,,2020-03-31 14:06:24,2020-03-30,PATI,Baker John D II,10%,P - Purchase,951.0,298,492839,0%,2834.0,,,,,PATI
7,,2020-03-30 15:57:20,2020-03-26,PATI,Baker John D II,10%,P - Purchase,985.0,665,492541,0%,6550.0,,,,,PATI
8,,2020-03-26 14:15:06,2020-03-25,PATI,Baker John D II,10%,P - Purchase,1044.0,1180,491876,0%,12319.0,,,,,PATI
9,,2020-03-25 16:10:31,2020-03-24,PATI,Baker John D II,10%,P - Purchase,1048.0,1200,490696,0%,12576.0,,,,,PATI
10,,2020-03-24 12:30:17,2020-03-23,PATI,Baker John D II,10%,P - Purchase,979.0,1400,489496,0%,13706.0,,,,,PATI
11,,2020-03-23 13:00:38,2020-03-20,PATI,Baker John D II,10%,P - Purchase,967.0,1400,488096,0%,13538.0,,,,,PATI
12,M,2020-03-20 14:03:22,2020-03-18,PATI,Baker John D II,10%,P - Purchase,962.0,2645,486696,+1%,25454.0,,,,,PATI
13,,2020-03-17 11:26:03,2020-03-13,PATI,Baker John D II,10%,P - Purchase,1199.0,900,484051,0%,10791.0,,,,,PATI
14,M,2020-03-13 14:42:17,2020-03-11,PARI,Baker John D II,10%,P - Purchase,1173.0,611,483151,0%,7166.0,,,,,PATI
15,M,2020-03-11 13:27:26,2020-03-09,PATI,Baker John D II,10%,P - Purchase,1170.0,1800,482540,0%,21060.0,,,,,PATI
16,,2020-03-09 11:43:20,2020-03-06,PATI,Baker John D II,10%,P - Purchase,1189.0,690,480740,0%,8204.0,,,,,PATI
17,M,2020-03-05 15:03:46,2020-03-03,PATI,Baker John D II,10%,P - Purchase,1211.0,1200,480050,0%,14535.0,,,,,PATI
18,M,2020-03-02 11:01:00,2020-02-27,PATI,Baker John D II,10%,P - Purchase,1221.0,1098,478850,0%,13401.0,,,,,PATI
19,,2020-02-26 11:15:02,2020-02-24,PATI,Baker John D II,10%,P - Purchase,1225.0,100,477752,0%,1225.0,,,,,PATI
20,,2020-02-24 11:50:05,2020-02-20,PATI,Baker John D II,10%,P - Purchase,1225.0,1300,476752,0%,15920.0,,,,,PATI
21,M,2020-02-18 16:54:41,2020-02-14,PATI,Baker John D II,10%,P - Purchase,1225.0,67,475722,0%,821.0,,,,,PATI
22,,2020-02-05 12:03:11,2020-02-03,PATI,Baker John D II,10%,P - Purchase,1208.0,1553,475655,0%,18765.0,,,,,PATI
23,,2020-02-03 16:44:02,2020-01-31,PATI,Sandlin Robert E,"Pres, CEO",P - Purchase,1198.0,1150,10094,+13%,13772.0,,,,,PATI
24,,2020-02-03 16:28:42,2020-01-31,PATI,Baker John D II,10%,P - Purchase,1200.0,2100,474102,0%,25190.0,,,,,PATI
25,,2019-09-16 15:20:06,2019-09-12,PATI,Baker John D II,10%,P - Purchase,1780.0,100,472002,0%,1780.0,,,,,PATI
26,,2019-08-15 11:08:26,2019-08-13,PATI,Sandlin Robert E,"Pres, CEO",P - Purchase,1750.0,114,4944,+2%,1995.0,,,,,PATI
27,,2019-08-12 12:00:28,2019-08-09,PATI,Sandlin Robert E,"Pres, CEO",P - Purchase,1750.0,100,4830,+2%,1750.0,,,,,PATI
28,,2019-08-07 12:17:37,2019-08-06,PATI,Sandlin Robert E,"Pres, CEO",P - Purchase,1750.0,5,4730,0%,88.0,,,,,PATI
29,,2019-08-07 12:12:38,2019-08-05,PATI,Sandlin Robert E,"Pres, CEO",P - Purchase,1750.0,200,4725,+4%,3500.0,,,,,PATI
30,,2019-08-05 14:34:28,2019-08-02,PATI,Sandlin Robert E,"Pres, CEO",P - Purchase,1725.0,300,4525,+7%,5175.0,,,,,PATI
31,,2019-03-12 11:17:45,2019-03-08,PATI,Baker John D II,10%,P - Purchase,1890.0,200,471902,0%,3780.0,,,,,PATI
32,,2019-03-08 14:31:22,2019-03-07,PATI,Baker John D II,10%,P - Purchase,1899.0,607,471702,0%,11527.0,,,,,PATI
33,,2019-03-07 14:21:15,2019-03-05,PATI,Baker John D II,10%,P - Purchase,1895.0,587,471095,0%,11123.0,,,,,PATI
34,,2019-02-21 15:48:26,2019-02-19,PATI,Baker John D II,10%,P - Purchase,1883.0,101,470508,0%,1902.0,,,,,PATI
35,,2019-02-19 12:06:51,2019-02-15,PATI,Baker John D II,10%,P - Purchase,1884.0,200,470407,0%,3768.0,,,,,PATI
36,M,2019-02-13 11:05:53,2019-02-11,PATI,Baker John D II,10%,P - Purchase,1879.0,300,470207,0%,5637.0,,,,,PATI
37,,2019-02-06 16:09:01,2019-02-04,PATI,Baker John D II,10%,P - Purchase,1875.0,200,469907,0%,3750.0,,,,,PATI
38,,2018-12-19 13:59:17,2018-12-13,PATI,Baker John D II,10%,P - Purchase,1960.0,100,469707,0%,1960.0,,,,,PATI
39,,2018-12-19 13:50:34,2018-12-11,PATI,Baker John D II,10%,P - Purchase,1925.0,101,469607,0%,1944.0,,,,,PATI
40,,2018-12-17 15:41:50,2018-12-14,PATI,Baker John D II,10%,P - Purchase,1941.0,100,469506,0%,1941.0,,,,,PATI
41,,2018-12-14 12:46:25,2018-12-12,PATI,Baker John D II,10%,P - Purchase,1997.0,250,469406,0%,4993.0,,,,,PATI
42,,2018-12-11 14:29:29,2018-12-07,PATI,Baker John D II,10%,P - Purchase,1994.0,100,469156,0%,1994.0,,,,,PATI
43,,2018-12-04 16:22:40,2018-12-03,PATI,Baker John D II,10%,P - Purchase,1965.0,100,469056,0%,1965.0,,,,,PATI
44,,2018-12-03 15:12:06,2018-11-29,PATI,Baker John D II,10%,P - Purchase,1997.0,180,468956,0%,3595.0,,,,,PATI
45,D,2018-06-19 13:43:21,2018-06-15,PATI,Milton John D Jr,"EVP, GC",S - Sale+OE,2250.0,-200,0,-100%,-4500.0,,,,,PATI
46,DM,2018-06-15 11:40:26,2018-06-13,PATI,Milton John D Jr,"EVP, GC",S - Sale+OE,2251.0,-5601,0,-100%,-126079.0,,,,,PATI
47,,2018-05-23 10:58:21,2018-05-22,PATI,Baker John D II,10%,P - Purchase,1825.0,100,478776,0%,1825.0,,,,,PATI
48,,2018-05-21 16:28:43,2018-05-17,PATI,Baker John D II,10%,P - Purchase,1825.0,100,478676,0%,1825.0,,,,,PATI
49,,2018-05-08 12:05:03,2018-05-07,PATI,Baker John D II,10%,P - Purchase,1825.0,327,478576,0%,5968.0,,,,,PATI
