,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,,2022-03-18 18:01:44,2022-03-18,PBBK,Carroll Joseph W,Dir,P - Purchase,1395.0,1000,40000,+3%,13951.0,,,,,PBBK
1,,2022-03-18 11:37:28,2022-03-16,PBBK,Woolard R Cheston,Dir,P - Purchase,1394.0,2000,12000,+20%,27887.0,,,,,PBBK
2,,2022-03-09 11:32:00,2022-03-07,PBBK,Amin Janak M,"Pres, CEO",P - Purchase,1384.0,2364,49617,+5%,32715.0,,,,,PBBK
3,M,2022-03-07 11:36:13,2022-03-04,PBBK,Witt Larry,"Chief Info., Oper. Officer",P - Purchase,1390.0,355,1107,+47%,4934.0,,,,,PBBK
4,,2022-03-03 10:47:12,2022-03-01,PBBK,Amin Janak M,"Pres, CEO",P - Purchase,1385.0,2500,47253,+6%,34625.0,,,,,PBBK
5,,2022-02-25 13:45:30,2022-02-25,PBBK,Byers Douglas L,Chief Banking Officer,P - Purchase,1415.0,500,8600,+6%,7075.0,,,,,PBBK
6,M,2021-12-08 09:30:31,2021-12-06,PBBK,Carroll Joseph W,Dir,P - Purchase,1377.0,1000,39000,+3%,13768.0,,,,,PBBK
7,,2021-12-03 11:20:30,2021-12-01,PBBK,Amin Janak M,"Pres, CEO",P - Purchase,1358.0,3950,44753,+10%,53633.0,,,,,PBBK
8,M,2021-12-01 14:15:38,2021-11-29,PBBK,Amin Janak M,"Pres, CEO",P - Purchase,1369.0,3227,40803,+9%,44178.0,,,,,PBBK
9,,2021-11-29 14:51:29,2021-11-26,PBBK,Amin Janak M,"Pres, CEO",P - Purchase,1373.0,5318,37576,+16%,73008.0,,,,,PBBK
10,M,2021-11-19 15:08:41,2021-11-18,PBBK,Tompkins Jane B,Dir,P - Purchase,1410.0,3000,3000,New,42296.0,,,,,PBBK
11,,2021-11-18 12:23:51,2021-11-17,PBBK,Carroll Joseph W,Dir,P - Purchase,1402.0,1000,38000,+3%,14020.0,,,,,PBBK
12,,2021-11-12 12:44:23,2021-11-10,PBBK,Amin Janak M,"Pres, CEO",P - Purchase,1377.0,13233,31874,+71%,182242.0,,,,,PBBK
13,,2021-09-21 10:41:01,2021-09-17,PBBK,Amin Janak M,"Pres, CEO",P - Purchase,1318.0,1516,18641,+9%,19981.0,,,,,PBBK
14,,2021-08-31 13:33:28,2021-08-30,PBBK,Carroll Joseph W,Dir,P - Purchase,1365.0,1060,37000,+3%,14469.0,,,,,PBBK
15,M,2021-08-18 15:39:07,2021-08-16,PBBK,Amin Janak M,"Pres, CEO",P - Purchase,1299.0,17025,17125,>999%,221142.0,,,,,PBBK
16,M,2021-08-18 15:36:38,2021-08-16,PBBK,Byers Douglas L,Chief Banking Officer,P - Purchase,1307.0,8000,8100,>999%,104547.0,,,,,PBBK
17,,2021-07-16 15:33:51,2021-07-15,PBBK,Carroll Joseph W,Dir,P - Purchase,1255.0,15940,35940,+80%,200000.0,,,,,PBBK
