,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,D,2021-06-14 17:17:36,2021-06-14,PROG,"Athyrium Capital Management, LP",10%,P - Purchase,247.0,8097166,36396907,+29%,20000000.0,,,,,PROG
1,D,2021-06-14 17:14:12,2021-06-14,PROG,Athyrium Opportunities Fund (A) LP,10%,P - Purchase,247.0,8097166,36396907,+29%,20000000.0,,,,,PROG
2,,2021-06-03 16:46:46,2021-06-01,PROG,Athyrium Opportunities Fund (A) LP,10%,P - Purchase,286.0,1268115,28299741,+5%,3626809.0,,,,,PROG
3,,2021-06-03 16:41:27,2021-06-01,PROG,"Athyrium Capital Management, LP",10%,P - Purchase,286.0,1268115,28299741,+5%,3626809.0,,,,,PROG
4,,2020-12-17 16:30:11,2020-12-16,PROG,Silvestry Damon,COO,P - Purchase,458.0,58081,221230,+36%,265857.0,,,,,PROG
5,,2020-12-16 16:26:58,2020-12-15,PROG,Silvestry Damon,COO,P - Purchase,407.0,63870,163149,+64%,259951.0,,,,,PROG
6,,2020-12-15 19:27:32,2020-12-14,PROG,Alter Jeffrey D.,Dir,P - Purchase,485.0,20000,38335,+109%,97000.0,,,,,PROG
7,D,2020-12-09 17:35:11,2020-12-07,PROG,"Athyrium Capital Management, LP",10%,P - Purchase,327.0,4128440,26991626,+18%,13499999.0,,,,,PROG
8,D,2020-12-09 17:35:10,2020-12-07,PROG,Athyrium Opportunities Fund (A) LP,10%,P - Purchase,327.0,4128440,26991626,+18%,13499999.0,,,,,PROG
9,,2020-12-04 16:30:08,2020-12-02,PROG,Stylli Harry,"COB, CEO, 10%",P - Purchase,327.0,152905,14616874,+1%,499999.0,,,,,PROG
10,M,2020-09-04 15:50:20,2020-09-02,PROG,Cooper Matthew T,Chief Scientific Officer,P - Purchase,855.0,9250,53428,+21%,79088.0,,,,,PROG
11,D,2020-08-21 16:15:47,2020-08-19,PROG,Stylli Harry,"COB, CEO, 10%",P - Purchase,894.0,10000,14463969,0%,89400.0,,,,,PROG
12,D,2020-06-25 16:25:56,2020-06-23,PROG,"Athyrium Capital Management, LP",10%,P - Purchase,1500.0,3333333,23303346,+17%,49999995.0,,,,,PROG
13,D,2020-06-25 16:18:44,2020-06-23,PROG,Athyrium Opportunities Fund (A) LP,10%,P - Purchase,1500.0,3333333,23303346,+17%,49999995.0,,,,,PROG
14,D,2020-06-23 19:54:42,2020-06-19,PROG,Stylli Harry,"COB, CEO, 10%",P - Purchase,1500.0,33333,14453969,0%,499995.0,,,,,PROG
