,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,D,2020-12-02 20:35:21,2020-11-30,RAIL,Meyer James R,"Pres, CEO",P - Purchase,261.0,17500,231555,+8%,45603.0,,,,,RAIL
1,DM,2020-11-30 20:53:49,2020-11-25,RAIL,Meyer James R,"Pres, CEO",P - Purchase,213.0,27500,214055,+15%,58567.0,,,,,RAIL
2,,2020-11-30 20:51:22,2020-11-25,RAIL,Gil Benavides Jesus Salvador,Dir,P - Purchase,181.0,5500,968346,+1%,9955.0,,,,,RAIL
3,D,2019-05-31 13:06:29,2019-05-29,RAIL,Eppel Christopher J,"VP Finance, CFO, Treasurer",P - Purchase,602.0,8468,51468,+20%,50936.0,,,,,RAIL
4,,2019-05-21 15:04:51,2019-05-17,RAIL,Madden Thomas A,Dir,P - Purchase,621.0,2000,40933,+5%,12417.0,,,,,RAIL
5,,2019-05-17 15:36:17,2019-05-16,RAIL,Moore Malcolm F,Dir,P - Purchase,635.0,4000,25913,+18%,25385.0,,,,,RAIL
6,M,2019-05-14 15:35:32,2019-05-10,RAIL,Cirar James D,Dir,P - Purchase,632.0,8000,44817,+22%,50553.0,,,,,RAIL
7,D,2019-05-08 21:57:26,2019-05-08,RAIL,Meyer James R,"Pres, CEO",P - Purchase,612.0,10000,78767,+15%,61200.0,,,,,RAIL
8,,2019-05-08 16:11:25,2019-05-07,RAIL,Gehl William D,Dir,P - Purchase,645.0,10000,40252,+33%,64486.0,,,,,RAIL
9,,2018-11-28 18:14:19,2018-11-26,RAIL,Madden Thomas A,Dir,P - Purchase,940.0,2500,30230,+9%,23500.0,,,,,RAIL
10,D,2018-11-09 15:15:22,2018-11-07,RAIL,Meyer James R,"Pres, CEO",P - Purchase,986.0,5000,35006,+17%,49284.0,,,,,RAIL
11,D,2018-11-07 18:29:05,2018-11-05,RAIL,Kohnke Matthew S,"VP, Finance, CFO, Treasurer",P - Purchase,1008.0,1000,20231,+5%,10080.0,,,,,RAIL
12,D,2018-11-07 18:27:50,2018-11-05,RAIL,Maliekel Joseph J,"VP, Corp Controller, PAO",P - Purchase,1013.0,1000,13643,+8%,10130.0,,,,,RAIL
13,,2018-05-22 17:24:58,2018-05-22,RAIL,Madden Thomas A,Dir,P - Purchase,1696.0,9347,27730,+51%,158489.0,,,,,RAIL
14,M,2018-05-22 12:43:59,2018-05-18,RAIL,Madden Thomas A,Dir,S - Sale,1595.0,-9347,18383,-34%,-149066.0,,,,,RAIL
