,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,D,2020-09-01 14:28:41,2020-09-01,RAVN,Lebaron Marc E,Dir,P - Purchase,2518.0,4368,30813,+17%,109981.0,,,,,RAVN
1,D,2020-07-08 16:07:12,2020-07-08,RAVN,Andringa Jason M,Dir,P - Purchase,2017.0,3000,15000,+25%,60517.0,,,,,RAVN
2,D,2020-03-30 13:01:00,2020-03-27,RAVN,Andringa Jason M,Dir,P - Purchase,2091.0,2830,12000,+31%,59175.0,,,,,RAVN
3,D,2019-12-03 16:24:26,2019-12-03,RAVN,Lebaron Marc E,Dir,P - Purchase,3382.0,516,26445,+2%,17449.0,,,,,RAVN
4,D,2019-09-03 15:06:07,2019-08-30,RAVN,Lebaron Marc E,Dir,P - Purchase,2944.0,594,25929,+2%,17489.0,,,,,RAVN
5,D,2019-05-23 10:16:09,2019-05-22,RAVN,Lebaron Marc E,Dir,P - Purchase,3486.0,500,25335,+2%,17430.0,,,,,RAVN
6,D,2019-04-09 16:16:42,2019-04-08,RAVN,Rykhus Daniel A,"Pres, CEO",S - Sale+OE,3932.0,-9000,220752,-4%,-353898.0,,,,,RAVN
7,D,2019-04-09 16:11:14,2019-04-09,RAVN,Johnson Schmidt Anthony D,"Division VP, GM",S - Sale+OE,3851.0,-2365,49646,-5%,-91064.0,,,,,RAVN
8,D,2019-04-02 11:00:51,2019-04-01,RAVN,Parod Rick,Dir,P - Purchase,3905.0,2600,5800,+81%,101530.0,,,,,RAVN
9,D,2019-03-28 16:45:52,2019-03-28,RAVN,Lebaron Marc E,Dir,P - Purchase,3777.0,462,24835,+2%,17448.0,,,,,RAVN
10,D,2018-12-04 15:07:00,2018-12-04,RAVN,Lebaron Marc E,Dir,P - Purchase,4017.0,447,24373,+2%,17956.0,,,,,RAVN
11,D,2018-08-29 14:56:51,2018-08-28,RAVN,Lebaron Marc E,Dir,P - Purchase,4736.0,369,23926,+2%,17476.0,,,,,RAVN
12,D,2018-05-23 15:23:02,2018-05-22,RAVN,Lebaron Marc E,Dir,P - Purchase,3989.0,438,23557,+2%,17472.0,,,,,RAVN
13,,2018-03-22 11:06:22,2018-03-21,RAVN,Parod Rick,Dir,P - Purchase,3592.0,3200,3200,New,114943.0,,,,,RAVN
