,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,,2022-03-11 10:19:30,2022-03-10,RRBI,Crowell Michael D.,Dir,P - Purchase,4874.0,1000,27680,+4%,48740.0,,,,,RRBI
1,,2022-02-16 15:53:38,2022-02-16,RRBI,Cutrer Andrew Blake,SVP,S - Sale,5250.0,-500,7800,-6%,-26250.0,,,,,RRBI
2,,2022-02-07 10:49:12,2022-02-04,RRBI,Price Teddy Ray,Dir,P - Purchase,5400.0,6082,431238,+1%,328428.0,,,,,RRBI
3,,2022-02-07 10:33:05,2022-02-04,RRBI,Barnett Amanda Wood,See Remarks,S - Sale,5400.0,-350,2400,-13%,-18900.0,,,,,RRBI
4,,2021-11-05 10:51:16,2021-11-04,RRBI,Hines Barry Dale,Dir,S - Sale,5256.0,-5000,8261,-38%,-262815.0,,,,,RRBI
5,,2021-11-05 10:28:42,2021-11-04,RRBI,Price Teddy Ray,Dir,P - Purchase,5300.0,577,424881,0%,30581.0,,,,,RRBI
6,A,2021-10-07 13:07:13,2020-03-12,RRBI,Thompson Don Louis,Dir,P - Purchase,4063.0,4250,8367,+103%,172678.0,,,,,RRBI
7,,2021-08-05 12:28:53,2021-08-04,RRBI,Price Teddy Ray,Dir,P - Purchase,5250.0,587,424304,0%,30818.0,,,,,RRBI
8,,2021-06-04 12:44:35,2021-06-03,RRBI,Turner Harold W.,See Remarks,S - Sale,5492.0,-500,40500,-1%,-27460.0,,,,,RRBI
9,,2021-05-05 16:12:53,2021-05-05,RRBI,Price Teddy Ray,Dir,P - Purchase,5615.0,505,407217,0%,28355.0,,,,,RRBI
10,,2021-03-15 12:14:40,2021-03-12,RRBI,Salazar Bryon C.,See Remarks,S - Sale,6177.0,-1000,68725,-1%,-61770.0,,,,,RRBI
11,,2021-03-15 12:09:17,2021-03-12,RRBI,Salazar Tammi R.,See Remarks,S - Sale,6177.0,-1000,68725,-1%,-61770.0,,,,,RRBI
12,,2021-03-09 16:57:53,2021-03-09,RRBI,Cutrer Andrew Blake,SVP,S - Sale,5967.0,-350,8000,-4%,-20885.0,,,,,RRBI
13,,2021-03-03 10:53:21,2021-03-02,RRBI,Barnett Amanda Wood,See Remarks,S - Sale,5307.0,-300,2450,-11%,-15921.0,,,,,RRBI
14,,2021-02-10 10:32:08,2021-02-09,RRBI,Hines Barry Dale,Dir,S - Sale,5000.0,-7500,12986,-37%,-375000.0,,,,,RRBI
15,,2021-02-05 11:34:32,2021-02-04,RRBI,Price Teddy Ray,Dir,P - Purchase,4800.0,708,406437,0%,33984.0,,,,,RRBI
16,,2020-11-25 10:01:59,2020-11-24,RRBI,Salazar Tammi R.,See Remarks,S - Sale,4954.0,-3500,70000,-5%,-173390.0,,,,,RRBI
17,,2020-11-25 09:55:33,2020-11-24,RRBI,Salazar Bryon C.,See Remarks,S - Sale,4954.0,-3500,70000,-5%,-173390.0,,,,,RRBI
18,M,2020-11-24 08:52:42,2020-11-20,RRBI,Triche Debbie B.,See Remarks,S - Sale,5000.0,-1000,19550,-5%,-50000.0,,,,,RRBI
19,M,2020-11-17 12:22:10,2020-11-13,RRBI,Hackmeyer Ferdinand William Jr.,Dir,S - Sale,5068.0,-4194,163064,-3%,-212556.0,,,,,RRBI
20,,2020-11-12 16:40:11,2020-11-11,RRBI,Hackmeyer Ferdinand William Jr.,Dir,S - Sale,4993.0,-107,167258,0%,-5343.0,,,,,RRBI
21,,2020-11-04 14:35:45,2020-11-04,RRBI,Price Teddy Ray,Dir,P - Purchase,4725.0,499,405729,0%,23578.0,,,,,RRBI
22,,2020-09-28 16:14:27,2020-09-09,RRBI,Hackmeyer Ferdinand William Jr.,Dir,S - Sale,4915.0,-3000,167365,-2%,-147440.0,,,,,RRBI
23,,2020-08-11 08:48:47,2020-08-10,RRBI,Price Teddy Ray,Dir,P - Purchase,4175.0,4790,341323,+1%,199981.0,,,,,RRBI
24,,2020-08-06 12:24:38,2020-08-05,RRBI,Price Teddy Ray,Dir,P - Purchase,4121.0,577,400054,0%,23777.0,,,,,RRBI
25,,2020-06-12 16:44:19,2020-06-10,RRBI,Triche Debbie B.,See Remarks,S - Sale,4069.0,-1000,20200,-5%,-40690.0,,,,,RRBI
26,,2020-06-09 16:56:34,2020-06-08,RRBI,Chatelain Ronald Blake,See Remarks,P - Purchase,4000.0,300,158746,0%,12000.0,,,,,RRBI
27,,2020-05-11 10:02:37,2020-05-07,RRBI,Carriere Isabel V.,See Remarks,P - Purchase,3800.0,260,38940,+1%,9880.0,,,,,RRBI
28,,2020-05-11 09:55:55,2020-05-07,RRBI,Chatelain Ronald Blake,See Remarks,P - Purchase,3846.0,300,158446,0%,11538.0,,,,,RRBI
29,M,2020-05-07 14:37:49,2020-05-05,RRBI,Price Teddy Ray,Dir,P - Purchase,3867.0,5753,399863,+1%,222486.0,,,,,RRBI
30,,2020-03-16 11:58:25,2020-03-13,RRBI,Barnett Amanda Wood,See Remarks,S - Sale,3853.0,-300,2400,-11%,-11559.0,,,,,RRBI
31,M,2020-03-13 14:02:10,2020-03-11,RRBI,Thompson Don Louis,Dir,P - Purchase,4068.0,4500,61017,+8%,183078.0,,,,,RRBI
32,,2020-02-07 16:46:19,2020-02-07,RRBI,Price Teddy Ray,Dir,P - Purchase,5450.0,500,393824,0%,27250.0,,,,,RRBI
33,,2019-11-27 15:46:38,2019-11-27,RRBI,Barnett Amanda Wood,See Remarks,S - Sale,4773.0,-500,2700,-16%,-23865.0,,,,,RRBI
34,,2019-11-27 15:46:16,2019-11-27,RRBI,Cutrer Andrew Blake,SVP,S - Sale,4852.0,-1000,8000,-11%,-48520.0,,,,,RRBI
35,,2019-05-07 17:46:09,2019-05-07,RRBI,Hackmeyer Ferdinand William Jr.,Dir,S - Sale,4230.0,-10000,170128,-6%,-423000.0,,,,,RRBI
36,,2019-05-07 17:45:39,2019-05-07,RRBI,Hines Barry Dale,Dir,S - Sale,4230.0,-9680,20272,-32%,-409464.0,,,,,RRBI
37,,2019-05-07 17:43:48,2019-05-07,RRBI,Torbett Harrie Lindsey,Dir,S - Sale,4230.0,-7000,76180,-8%,-296100.0,,,,,RRBI
