,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,,2021-12-15 20:17:19,2021-12-13,RVNC,Russell Angus C.,Dir,P - Purchase,1574.0,6400,26913,+31%,100741.0,,,,,RVNC
1,,2021-12-06 20:34:29,2021-12-03,RVNC,Rankin Aubrey,"Pres, Innovation, Tech",P - Purchase,1443.0,30000,571376,+6%,432876.0,,,,,RVNC
2,,2021-11-29 21:24:09,2021-11-29,RVNC,Foley Mark J,CEO,P - Purchase,1290.0,40000,879978,+5%,515924.0,,,,,RVNC
3,,2021-09-28 21:23:41,2021-09-27,RVNC,Moxie Dwight,"SVP, GC, Secretary",S - Sale,3000.0,-1675,47804,-3%,-50250.0,,,,,RVNC
4,,2021-08-17 18:20:10,2021-08-16,RVNC,Rankin Aubrey,"Pres, Innovation, Tech",S - Sale,2634.0,-9364,541376,-2%,-246659.0,,,,,RVNC
5,,2021-07-30 20:57:46,2021-07-28,RVNC,Rankin Aubrey,"Pres, Innovation, Tech",S - Sale,3006.0,-54332,555689,-9%,-1632960.0,,,,,RVNC
6,,2021-07-28 21:48:47,2021-07-26,RVNC,Rankin Aubrey,"Pres, Innovation, Tech",S - Sale,2972.0,-55382,610021,-8%,-1645953.0,,,,,RVNC
7,,2021-04-06 19:41:39,2021-04-05,RVNC,Rankin Aubrey,"Pres, Innovation, Tech",S - Sale,2828.0,-2,665403,0%,-57.0,,,,,RVNC
8,,2021-03-05 20:10:41,2021-03-04,RVNC,Rankin Aubrey,"Pres, Innovation, Tech",S - Sale,2543.0,-33119,665405,-5%,-842216.0,,,,,RVNC
9,,2021-02-03 20:13:45,2021-02-01,RVNC,Rankin Aubrey,"Pres, Innovation, Tech",S - Sale,2595.0,-33119,686619,-5%,-859438.0,,,,,RVNC
10,,2021-01-04 20:01:23,2020-12-30,RVNC,Rankin Aubrey,"Pres, Innovation, Tech",S - Sale,2782.0,-33119,719738,-4%,-921212.0,,,,,RVNC
11,,2020-12-02 20:55:29,2020-11-30,RVNC,Rankin Aubrey,"Pres, Innovation, Tech",S - Sale,2385.0,-33119,752857,-4%,-789888.0,,,,,RVNC
12,,2020-10-30 20:24:48,2020-10-29,RVNC,Rankin Aubrey,"Pres, Innovation, Tech",S - Sale,2615.0,-33119,785976,-4%,-865949.0,,,,,RVNC
13,,2020-09-30 21:21:55,2020-09-28,RVNC,Rankin Aubrey,"Pres, Innovation, Tech",S - Sale,2618.0,-33119,819095,-4%,-867055.0,,,,,RVNC
14,,2019-03-19 21:01:29,2019-03-18,RVNC,Browne L Daniel,"CEO, Pres",S - Sale,1551.0,-11613,151602,-7%,-180068.0,,,,,RVNC
15,,2019-03-19 20:58:46,2019-03-18,RVNC,Allouche Cyril,Principal Accounting Officer,S - Sale,1548.0,-498,6400,-7%,-7709.0,,,,,RVNC
16,,2019-02-20 21:31:33,2019-02-19,RVNC,Browne L Daniel,"CEO, Pres",S - Sale,1768.0,-5446,169352,-3%,-96285.0,,,,,RVNC
17,D,2019-01-23 21:38:09,2019-01-22,RVNC,Allouche Cyril,Principal Accounting Officer,S - Sale+OE,1777.0,-625,4000,-14%,-11106.0,,,,,RVNC
18,,2019-01-04 21:33:39,2019-01-03,RVNC,Allouche Cyril,Principal Accounting Officer,S - Sale,1948.0,-375,4000,-9%,-7305.0,,,,,RVNC
19,,2018-11-21 18:30:16,2018-11-20,RVNC,Allouche Cyril,Principal Accounting Officer,S - Sale,2066.0,-491,4000,-11%,-10144.0,,,,,RVNC
20,D,2018-11-09 20:59:25,2018-11-09,RVNC,Allouche Cyril,Principal Accounting Officer,S - Sale+OE,2372.0,-2188,4750,-32%,-51899.0,,,,,RVNC
21,,2018-07-06 21:17:15,2018-07-06,RVNC,Allouche Cyril,Principal Financial Officer,S - Sale,2835.0,-393,4750,-8%,-11142.0,,,,,RVNC
22,,2018-05-24 19:24:06,2018-05-22,RVNC,Silvernail Lauren P,"CFO, CBO",S - Sale,3025.0,-2874,65497,-4%,-86924.0,,,,,RVNC
23,,2018-03-23 21:12:25,2018-03-22,RVNC,Silvernail Lauren P,"CFO, CBO, Secretary",S - Sale,3085.0,-3431,68371,-5%,-105839.0,,,,,RVNC
