,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,,2022-03-02 13:42:37,2022-03-02,SNSE,Cambrian Biopharma Inc,10%,P - Purchase,320.0,1203,5231989,0%,3850.0,,,,,SNSE
1,,2022-03-02 13:40:28,2022-03-02,SNSE,Peyer James,"Dir, 10%",P - Purchase,320.0,1203,5231989,0%,3850.0,,,,,SNSE
2,M,2022-03-01 18:55:44,2022-02-28,SNSE,Peyer James,"Dir, 10%",P - Purchase,360.0,2500,5230786,0%,9000.0,,,,,SNSE
3,M,2022-03-01 18:53:31,2022-02-28,SNSE,Cambrian Biopharma Inc,10%,P - Purchase,360.0,2500,5230786,0%,9000.0,,,,,SNSE
4,,2022-02-28 16:53:24,2022-02-25,SNSE,Peyer James,"Dir, 10%",P - Purchase,365.0,2500,5228286,0%,9125.0,,,,,SNSE
5,M,2022-02-24 19:15:06,2022-02-23,SNSE,Cambrian Biopharma Inc,10%,P - Purchase,365.0,17500,5225786,0%,63950.0,,,,,SNSE
6,M,2022-02-24 19:12:12,2022-02-23,SNSE,Peyer James,"Dir, 10%",P - Purchase,365.0,17500,5225786,0%,63950.0,,,,,SNSE
7,M,2022-02-22 11:36:16,2022-02-17,SNSE,Peyer James,"Dir, 10%",P - Purchase,402.0,19949,5208286,0%,80187.0,,,,,SNSE
8,M,2022-02-22 11:35:16,2022-02-17,SNSE,Cambrian Biopharma Inc,10%,P - Purchase,402.0,19949,5208286,0%,80187.0,,,,,SNSE
9,M,2022-02-16 18:59:51,2022-02-14,SNSE,Cambrian Biopharma Inc,10%,P - Purchase,419.0,12551,5188337,0%,52642.0,,,,,SNSE
10,M,2022-02-16 18:54:00,2022-02-14,SNSE,Peyer James,"Dir, 10%",P - Purchase,419.0,12551,10374123,0%,52642.0,,,,,SNSE
11,M,2022-02-14 19:19:52,2022-02-10,SNSE,Peyer James,"Dir, 10%",P - Purchase,445.0,17500,5175786,0%,77900.0,,,,,SNSE
12,M,2022-02-14 19:18:48,2022-02-10,SNSE,Cambrian Biopharma Inc,10%,P - Purchase,445.0,17500,5175786,0%,77900.0,,,,,SNSE
13,M,2022-02-08 18:42:05,2022-02-03,SNSE,Cambrian Biopharma Inc,10%,P - Purchase,453.0,30000,5158286,+1%,135800.0,,,,,SNSE
14,M,2022-02-08 18:40:24,2022-02-03,SNSE,Peyer James,"Dir, 10%",P - Purchase,453.0,30000,5158286,+1%,135800.0,,,,,SNSE
15,M,2022-01-31 11:30:08,2022-01-27,SNSE,Cambrian Biopharma Inc,10%,P - Purchase,426.0,15000,5128286,0%,63849.0,,,,,SNSE
16,M,2022-01-31 11:26:15,2022-01-27,SNSE,Peyer James,"Dir, 10%",P - Purchase,426.0,15000,5128286,0%,63849.0,,,,,SNSE
17,M,2022-01-27 10:31:03,2022-01-25,SNSE,Peyer James,"Dir, 10%",P - Purchase,472.0,50000,5113286,+1%,235824.0,,,,,SNSE
18,M,2022-01-27 10:26:38,2022-01-25,SNSE,Cambrian Biopharma Inc,10%,P - Purchase,472.0,50000,5113286,+1%,235824.0,,,,,SNSE
19,M,2022-01-25 09:14:59,2022-01-21,SNSE,Peyer James,"Dir, 10%",P - Purchase,482.0,47410,5063286,+1%,228529.0,,,,,SNSE
20,M,2022-01-25 09:12:31,2022-01-21,SNSE,Cambrian Biopharma Inc,10%,P - Purchase,482.0,47410,5063286,+1%,228529.0,,,,,SNSE
21,M,2022-01-21 18:20:00,2022-01-19,SNSE,Peyer James,"Dir, 10%",P - Purchase,510.0,30244,5015876,+1%,154313.0,,,,,SNSE
22,M,2022-01-21 18:16:53,2022-01-19,SNSE,Cambrian Biopharma Inc,10%,P - Purchase,510.0,30244,5015876,+1%,154313.0,,,,,SNSE
23,,2022-01-20 09:07:17,2022-01-18,SNSE,Peyer James,"Dir, 10%",P - Purchase,508.0,10000,4985632,0%,50800.0,,,,,SNSE
24,,2022-01-20 09:05:02,2022-01-18,SNSE,Cambrian Biopharma Inc,10%,P - Purchase,508.0,10000,4985632,0%,50800.0,,,,,SNSE
25,M,2022-01-18 10:20:16,2022-01-13,SNSE,Peyer James,"Dir, 10%",P - Purchase,510.0,26172,4975632,+1%,133392.0,,,,,SNSE
26,M,2022-01-18 10:17:47,2022-01-13,SNSE,Cambrian Biopharma Inc,10%,P - Purchase,510.0,26172,4975632,+1%,133392.0,,,,,SNSE
27,M,2022-01-13 16:14:46,2022-01-11,SNSE,Peyer James,"Dir, 10%",P - Purchase,520.0,20047,4949460,0%,104212.0,,,,,SNSE
28,M,2022-01-13 16:13:08,2022-01-11,SNSE,Cambrian Biopharma Inc,10%,P - Purchase,520.0,20047,4949460,0%,104212.0,,,,,SNSE
29,,2022-01-11 15:29:46,2022-01-10,SNSE,Peyer James,"Dir, 10%",P - Purchase,528.0,10000,4929413,0%,52800.0,,,,,SNSE
30,,2022-01-11 15:22:03,2022-01-10,SNSE,Cambrian Biopharma Inc,10%,P - Purchase,528.0,10000,4929413,0%,52800.0,,,,,SNSE
31,,2022-01-03 09:40:00,2021-12-30,SNSE,Peyer James,"Dir, 10%",P - Purchase,485.0,1127,4919413,0%,5466.0,,,,,SNSE
32,,2022-01-03 09:38:24,2021-12-30,SNSE,Cambrian Biopharma Inc,10%,P - Purchase,485.0,1127,4919413,0%,5466.0,,,,,SNSE
33,,2021-12-30 12:25:40,2021-12-29,SNSE,Peyer James,"Dir, 10%",P - Purchase,498.0,69000,4918286,+1%,343620.0,,,,,SNSE
34,,2021-12-30 12:24:35,2021-12-29,SNSE,Cambrian Biopharma Inc,10%,P - Purchase,498.0,69000,4918286,+1%,343620.0,,,,,SNSE
35,,2021-12-29 12:04:09,2021-12-28,SNSE,Peyer James,"Dir, 10%",P - Purchase,528.0,11288,4849286,0%,59601.0,,,,,SNSE
36,,2021-12-29 11:37:41,2021-12-28,SNSE,Cambrian Biopharma Inc,10%,P - Purchase,528.0,11288,4849286,0%,59601.0,,,,,SNSE
37,,2021-12-27 18:08:04,2021-12-27,SNSE,Peyer James,"Dir, 10%",P - Purchase,530.0,3712,4837998,0%,19674.0,,,,,SNSE
38,,2021-12-27 18:04:20,2021-12-27,SNSE,Cambrian Biopharma Inc,10%,P - Purchase,530.0,3712,4837998,0%,19674.0,,,,,SNSE
39,,2021-12-23 18:55:39,2021-12-23,SNSE,Peyer James,"Dir, 10%",P - Purchase,527.0,11000,4834286,0%,57970.0,,,,,SNSE
40,,2021-12-23 18:53:17,2021-12-23,SNSE,Cambrian Biopharma Inc,10%,P - Purchase,527.0,11000,4834286,0%,57970.0,,,,,SNSE
41,,2021-12-21 15:54:27,2021-12-17,SNSE,Peyer James,"Dir, 10%",P - Purchase,529.0,117,4823286,0%,619.0,,,,,SNSE
42,,2021-12-21 15:48:54,2021-12-17,SNSE,Cambrian Biopharma Inc,10%,P - Purchase,529.0,117,4823286,0%,619.0,,,,,SNSE
43,,2021-12-20 17:23:30,2021-12-16,SNSE,Cambrian Biopharma Inc,10%,P - Purchase,525.0,10925,4823169,0%,57356.0,,,,,SNSE
44,,2021-12-20 17:18:12,2021-12-16,SNSE,Peyer James,"Dir, 10%",P - Purchase,525.0,10925,4823169,0%,57356.0,,,,,SNSE
45,M,2021-12-13 16:15:20,2021-12-09,SNSE,Ricks Thomas G,Dir,P - Purchase,624.0,40000,341769,+13%,249600.0,,,,,SNSE
46,,2021-08-12 17:07:30,2021-08-11,SNSE,Pierce Robert Hamilton,Chief Scientific Officer,S - Sale,734.0,-16030,0,-100%,-117718.0,,,,,SNSE
47,M,2021-08-10 17:40:54,2021-08-06,SNSE,Pierce Robert Hamilton,Chief Scientific Officer,S - Sale,712.0,-79792,16030,-83%,-568246.0,,,,,SNSE
48,,2021-05-06 16:47:34,2021-05-05,SNSE,Cambrian Biopharma Inc,10%,P - Purchase,1200.0,350,4812244,0%,4200.0,,,,,SNSE
49,,2021-05-06 16:34:30,2021-05-05,SNSE,Peyer James,"Dir, 10%",P - Purchase,1200.0,350,4812244,0%,4200.0,,,,,SNSE
50,,2021-04-21 15:52:39,2021-04-20,SNSE,Cambrian Biopharma Inc,10%,P - Purchase,1277.0,385,4811894,0%,4916.0,,,,,SNSE
51,,2021-04-21 15:50:32,2021-04-20,SNSE,Peyer James,"Dir, 10%",P - Purchase,1277.0,385,4811894,0%,4916.0,,,,,SNSE
52,,2021-04-20 15:37:06,2021-04-19,SNSE,Peyer James,"Dir, 10%",P - Purchase,1338.0,1965,4811509,0%,26292.0,,,,,SNSE
53,,2021-04-20 15:31:44,2021-04-19,SNSE,Cambrian Biopharma Inc,10%,P - Purchase,1338.0,1965,4811509,0%,26292.0,,,,,SNSE
54,,2021-04-14 17:00:22,2021-04-13,SNSE,Cambrian Biopharma Inc,10%,P - Purchase,1400.0,2000,4809544,0%,28000.0,,,,,SNSE
55,,2021-04-14 16:41:42,2021-04-13,SNSE,Peyer James,"Dir, 10%",P - Purchase,1400.0,2000,4809544,0%,28000.0,,,,,SNSE
56,,2021-04-08 18:13:34,2021-04-07,SNSE,Peyer James,"Dir, 10%",P - Purchase,1400.0,2000,4807544,0%,28000.0,,,,,SNSE
57,,2021-04-08 18:12:52,2021-04-07,SNSE,Cambrian Biopharma Inc,10%,P - Purchase,1400.0,2000,4807544,0%,28000.0,,,,,SNSE
58,,2021-04-02 14:58:13,2021-04-01,SNSE,Cambrian Biopharma Inc,10%,P - Purchase,1400.0,1000,4805544,0%,14000.0,,,,,SNSE
59,,2021-04-02 14:56:27,2021-04-01,SNSE,Peyer James,"Dir, 10%",P - Purchase,1400.0,1000,4805544,0%,14000.0,,,,,SNSE
60,,2021-03-31 15:43:18,2021-03-30,SNSE,Cambrian Biopharma Inc,10%,P - Purchase,1200.0,2000,4804544,0%,24000.0,,,,,SNSE
61,,2021-03-31 15:41:40,2021-03-30,SNSE,Peyer James,"Dir, 10%",P - Purchase,1200.0,2000,4804544,0%,24000.0,,,,,SNSE
62,,2021-03-25 12:40:43,2021-03-24,SNSE,Peyer James,"Dir, 10%",P - Purchase,1412.0,3750,4802544,0%,52950.0,,,,,SNSE
63,,2021-03-25 12:37:41,2021-03-24,SNSE,Cambrian Biopharma Inc,10%,P - Purchase,1412.0,3750,4802544,0%,52950.0,,,,,SNSE
64,,2021-03-24 16:21:36,2021-03-23,SNSE,Peyer James,"Dir, 10%",P - Purchase,1434.0,10000,4798794,0%,143400.0,,,,,SNSE
65,,2021-03-24 16:19:28,2021-03-23,SNSE,Cambrian Biopharma Inc,10%,P - Purchase,1434.0,10000,4798794,0%,143400.0,,,,,SNSE
66,,2021-03-23 12:34:59,2021-03-22,SNSE,Cambrian Biopharma Inc,10%,P - Purchase,1502.0,2183,4788794,0%,32789.0,,,,,SNSE
67,,2021-03-23 12:32:34,2021-03-22,SNSE,Peyer James,"Dir, 10%",P - Purchase,1502.0,2183,4788794,0%,32789.0,,,,,SNSE
68,,2021-03-19 15:51:29,2021-03-18,SNSE,Cambrian Biopharma Inc,10%,P - Purchase,1525.0,817,4786611,0%,12459.0,,,,,SNSE
69,,2021-03-19 15:44:02,2021-03-18,SNSE,Peyer James,"Dir, 10%",P - Purchase,1525.0,817,4786611,0%,12459.0,,,,,SNSE
70,,2021-03-10 17:37:16,2021-03-08,SNSE,Peyer James,"Dir, 10%",P - Purchase,1525.0,1000,4785794,0%,15249.0,,,,,SNSE
71,,2021-03-10 17:35:54,2021-03-08,SNSE,Cambrian Biopharma Inc,10%,P - Purchase,1525.0,1000,4785794,0%,15249.0,,,,,SNSE
72,,2021-03-08 16:55:34,2021-03-05,SNSE,Cambrian Biopharma Inc,10%,P - Purchase,1375.0,8000,4784794,0%,110000.0,,,,,SNSE
73,,2021-03-08 16:48:07,2021-03-05,SNSE,Peyer James,"Dir, 10%",P - Purchase,1375.0,8000,4784794,0%,110000.0,,,,,SNSE
