,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,,2022-02-16 09:07:02,2022-02-14,SRCE,Fitzpatrick Daniel B,Dir,P - Purchase,4869.0,1000,44092,+2%,48690.0,,,,,SRCE
1,,2021-12-14 13:14:56,2021-12-13,SRCE,Fitzpatrick Daniel B,Dir,P - Purchase,4714.0,2000,43092,+5%,94280.0,,,,,SRCE
2,,2021-07-28 14:08:07,2021-07-27,SRCE,Fitzpatrick Daniel B,Dir,P - Purchase,4334.0,2500,41092,+6%,108350.0,,,,,SRCE
3,,2021-06-11 14:07:09,2021-06-09,SRCE,Short Andrea G,"Treasurer, CFO",S - Sale,4997.0,-2200,65365,-3%,-109934.0,,,,,SRCE
4,,2021-03-23 16:19:00,2021-03-15,SRCE,Phair John T,Dir,S - Sale,4776.0,-3085,19654,-14%,-147340.0,,,,,SRCE
5,,2021-02-05 16:21:02,2021-02-03,SRCE,Birmingham Melody,Dir,S - Sale,3987.0,-6285,4508,-58%,-250583.0,,,,,SRCE
6,,2021-02-05 16:21:02,2021-02-03,SRCE,Birmingham Melody,Dir,P - Purchase,3980.0,4300,4508,>999%,171140.0,,,,,SRCE
7,,2020-05-04 08:39:42,2020-05-01,SRCE,Schwabero Mark D,Dir,P - Purchase,3316.0,1000,12546,+9%,33160.0,,,,,SRCE
8,,2020-03-16 15:34:56,2020-03-13,SRCE,Murphy Carmen C,10%,P - Purchase,3228.0,2500,4768073,0%,80700.0,,,,,SRCE
9,,2020-03-16 15:34:34,2020-03-13,SRCE,Murphy Christopher J III,"COB, CEO, 10%",P - Purchase,3228.0,2500,4768073,0%,80700.0,,,,,SRCE
10,,2020-03-13 08:53:36,2020-03-12,SRCE,Murphy Christopher J III,"COB, CEO, 10%",P - Purchase,2876.0,2500,4765573,0%,71900.0,,,,,SRCE
11,,2020-03-13 08:53:14,2020-03-12,SRCE,Murphy Carmen C,10%,P - Purchase,2876.0,2500,4765573,0%,71900.0,,,,,SRCE
12,,2020-03-10 16:54:36,2020-03-09,SRCE,Fitzpatrick Daniel B,Dir,P - Purchase,3533.0,500,35994,+1%,17665.0,,,,,SRCE
13,,2020-03-09 10:37:38,2020-03-06,SRCE,Fitzpatrick Daniel B,Dir,P - Purchase,4090.0,500,35494,+1%,20450.0,,,,,SRCE
14,,2020-03-05 13:08:56,2020-03-03,SRCE,Fitzpatrick Daniel B,Dir,P - Purchase,4221.0,500,34994,+1%,21105.0,,,,,SRCE
15,,2019-11-12 13:40:07,2019-11-08,SRCE,Griffith John B,"EVP , Secy 1st Source Bank",S - Sale,5178.0,-2896,54090,-5%,-149955.0,,,,,SRCE
16,,2019-08-27 12:18:10,2019-08-23,SRCE,Afleck-Graves John,Dir,P - Purchase,4434.0,2000,2000,New,88679.0,,,,,SRCE
17,,2018-08-06 10:05:40,2018-08-03,SRCE,Buhr Jeffrey L,EVP,S - Sale,5698.0,-1450,55247,-3%,-82621.0,,,,,SRCE
18,,2018-08-03 12:25:23,2018-08-01,SRCE,Buhr Jeffrey L,EVP,S - Sale,5692.0,-550,56697,-1%,-31306.0,,,,,SRCE
19,,2018-04-24 17:15:19,2018-04-24,SRCE,Birmingham-Byrd Melody,Dir,P - Purchase,5356.0,50,244,+26%,2678.0,,,,,SRCE
