,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,,2021-12-20 20:32:02,2021-12-17,STKS,Bullis Eugene M,Dir,P - Purchase,1192.0,7500,127097,+6%,89400.0,,,,,STKS
1,M,2021-11-18 20:39:20,2021-11-16,STKS,Bullis Eugene M,Dir,P - Purchase,1463.0,7500,119597,+7%,109750.0,,,,,STKS
2,,2021-11-16 19:48:49,2021-11-12,STKS,Hilario Emanuel N,"Pres, CEO",S - Sale,1625.0,-25985,1439426,-2%,-422256.0,,,,,STKS
3,,2021-11-12 16:47:25,2021-11-09,STKS,Hing Christi,CHIEF ACCOUNTING OFFICER,S - Sale,1528.0,-2208,41580,-5%,-33738.0,,,,,STKS
4,,2021-09-29 21:21:35,2021-09-14,STKS,Angelis Dimitrios,Dir,S - Sale,1044.0,-492,105668,0%,-5136.0,,,,,STKS
5,M,2021-08-17 18:45:35,2021-08-13,STKS,Segal Jonathan,"Dir, BUSINESS DEVELOPMENT, 10%",S - Sale,1110.0,-49529,4113612,-1%,-549835.0,,,,,STKS
6,D,2021-06-16 21:39:00,2021-06-16,STKS,Segal Jonathan,"Dir, Business Development, 10%",S - Sale+OE,1142.0,-9303,4163141,0%,-106197.0,,,,,STKS
7,M,2021-06-16 21:38:25,2021-06-14,STKS,Bullis Eugene M,Dir,S - Sale,1256.0,-20434,109007,-16%,-256573.0,,,,,STKS
8,,2021-06-14 21:36:42,2021-06-10,STKS,Serruya Michael,Dir,S - Sale,1240.0,-50000,353225,-12%,-620000.0,,,,,STKS
9,DM,2021-06-14 21:36:19,2021-06-11,STKS,Segal Jonathan,"Dir, Business Development, 10%",S - Sale+OE,1271.0,-52218,4167989,-1%,-663643.0,,,,,STKS
10,,2021-06-14 21:36:00,2021-06-10,STKS,Loy Tyler,CFO,S - Sale,1252.0,-20000,127494,-14%,-250400.0,,,,,STKS
11,M,2021-06-14 21:35:13,2021-06-10,STKS,Bullis Eugene M,Dir,S - Sale,1255.0,-60873,129441,-32%,-764078.0,,,,,STKS
12,DM,2021-06-10 21:10:10,2021-06-09,STKS,Segal Jonathan,"Dir, Business Development, 10%",S - Sale+OE,1246.0,-173812,4176104,-4%,-2166454.0,,,,,STKS
13,,2021-06-10 21:09:49,2021-06-09,STKS,Angelis Dimitrios,Dir,S - Sale,1150.0,-1000,103070,-1%,-11500.0,,,,,STKS
14,M,2021-06-10 21:09:19,2021-06-09,STKS,Hilario Emanuel N,"Pres, CEO",S - Sale,1198.0,-235374,1065411,-18%,-2820176.0,,,,,STKS
15,,2021-06-09 20:43:54,2021-06-07,STKS,Hilario Emanuel N,"Pres, CEO",S - Sale,1159.0,-18736,1300785,-1%,-217150.0,,,,,STKS
16,DM,2021-06-09 20:43:41,2021-06-07,STKS,Segal Jonathan,"Dir, Business Development, 10%",S - Sale+OE,1135.0,-85418,4263989,-2%,-969494.0,,,,,STKS
17,DM,2021-06-07 19:50:40,2021-06-03,STKS,Segal Jonathan,"Dir, Business Development, 10%",S - Sale+OE,1085.0,-30300,4263989,-1%,-328839.0,,,,,STKS
18,D,2021-06-03 21:40:59,2021-06-01,STKS,Segal Jonathan,"Dir, Business Development, 10%",S - Sale+OE,1084.0,-11378,4263989,0%,-123338.0,,,,,STKS
19,DM,2021-06-01 21:17:59,2021-05-27,STKS,Segal Jonathan,"Dir, Business Development, 10%",S - Sale+OE,1059.0,-36499,4263989,-1%,-386495.0,,,,,STKS
20,,2021-05-28 20:03:56,2021-05-26,STKS,Angelis Dimitrios,Dir,S - Sale,1019.0,-15823,104070,-13%,-161236.0,,,,,STKS
21,M,2021-05-24 21:50:00,2021-05-20,STKS,Segal Jonathan,"Dir, Business Development, 10%",S - Sale,1035.0,-59333,4288989,-1%,-614272.0,,,,,STKS
22,M,2021-05-20 21:25:17,2021-05-18,STKS,Loy Tyler,CFO,S - Sale,1113.0,-3404,147494,-2%,-37874.0,,,,,STKS
23,DM,2021-05-20 21:24:54,2021-05-18,STKS,Segal Jonathan,"Dir, Business Development, 10%",S - Sale+OE,1100.0,-14306,4348322,0%,-157396.0,,,,,STKS
24,,2021-05-20 21:24:34,2021-05-18,STKS,Hilario Emanuel N,"Pres, CEO",S - Sale,1151.0,-21345,1319521,-2%,-245681.0,,,,,STKS
25,M,2021-05-18 21:28:02,2021-05-14,STKS,Loy Tyler,CFO,S - Sale,1105.0,-10566,150898,-7%,-116706.0,,,,,STKS
26,DM,2021-05-18 21:27:45,2021-05-14,STKS,Segal Jonathan,"Dir, Business Development, 10%",S - Sale+OE,1114.0,-29822,4360505,-1%,-332226.0,,,,,STKS
27,M,2021-05-18 21:25:02,2021-05-14,STKS,Hilario Emanuel N,"Pres, CEO",S - Sale,1174.0,-24545,1340866,-2%,-288189.0,,,,,STKS
28,M,2020-11-13 11:23:20,2020-11-11,STKS,Bullis Eugene M,Dir,P - Purchase,299.0,15000,180363,+9%,44813.0,,,,,STKS
29,,2020-06-26 17:01:23,2020-06-24,STKS,Kanen David,10%,S - Sale,171.0,-36313,4720064,-1%,-61951.0,,,,,STKS
30,M,2018-08-23 17:29:28,2018-08-21,STKS,Kanen David,10%,P - Purchase,293.0,39861,5140720,+1%,116867.0,,,,,STKS
31,M,2018-08-20 16:27:33,2018-08-16,STKS,Kanen David,10%,P - Purchase,293.0,31095,5100859,+1%,91099.0,,,,,STKS
32,M,2018-08-14 19:01:33,2018-08-10,STKS,Kanen David,10%,P - Purchase,285.0,20311,5069764,0%,57794.0,,,,,STKS
33,M,2018-08-09 18:22:34,2018-08-07,STKS,Kanen David,10%,P - Purchase,285.0,9676,5049453,0%,27577.0,,,,,STKS
34,M,2018-08-06 17:04:41,2018-08-02,STKS,Kanen David,10%,P - Purchase,284.0,74963,5039777,+2%,213167.0,,,,,STKS
35,M,2018-08-01 18:45:58,2018-07-30,STKS,Kanen David,10%,P - Purchase,280.0,22535,4964814,0%,63088.0,,,,,STKS
36,M,2018-07-27 18:44:20,2018-07-25,STKS,Kanen David,10%,P - Purchase,268.0,23731,4942279,0%,63596.0,,,,,STKS
37,M,2018-07-24 19:52:51,2018-07-20,STKS,Kanen David,10%,P - Purchase,255.0,3631,4918548,0%,9276.0,,,,,STKS
38,M,2018-07-19 19:42:06,2018-07-16,STKS,Kanen David,10%,P - Purchase,257.0,39985,4917250,+1%,102745.0,,,,,STKS
39,M,2018-07-13 18:03:32,2018-07-11,STKS,Kanen David,10%,P - Purchase,232.0,181909,4877265,+4%,422110.0,,,,,STKS
40,,2018-06-12 18:46:09,2018-06-08,STKS,Angelis Dimitrios,Dir,P - Purchase,256.0,2065,18458,+13%,5286.0,,,,,STKS
