,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,D,2022-03-16 10:26:38,2022-03-15,TSBK,Fischer Jonathan Arthur,"EVP, COO",S - Sale+OE,2801.0,-2500,14029,-15%,-70025.0,,,,,TSBK
1,,2021-06-21 13:31:53,2021-06-21,TSBK,Foster Edward Colman,EVP,S - Sale,2818.0,-1200,10197,-11%,-33816.0,,,,,TSBK
2,D,2021-03-19 10:39:37,2021-03-18,TSBK,Clinton Andrea M,Dir,S - Sale+OE,3000.0,-1000,6965,-13%,-30000.0,,,,,TSBK
3,D,2021-03-15 10:31:15,2021-03-12,TSBK,Goldberg Larry David,Dir,S - Sale+OE,3007.0,-4000,7375,-35%,-120280.0,,,,,TSBK
4,D,2021-03-11 11:20:02,2021-03-10,TSBK,Basich Marci A,"Treasurer, SVP",S - Sale+OE,2977.0,-2069,12378,-14%,-61594.0,,,,,TSBK
5,D,2021-03-10 11:02:13,2021-03-09,TSBK,Stoney Michael John,Dir,S - Sale+OE,2964.0,-4000,7250,-36%,-118560.0,,,,,TSBK
6,D,2021-03-05 10:21:57,2021-03-04,TSBK,Brydon Dean J,"EVP, CFO",S - Sale+OE,2854.0,-5000,51349,-9%,-142700.0,,,,,TSBK
7,D,2021-03-04 10:49:39,2021-03-03,TSBK,Fischer Jonathan Arthur,"EVP, COO",S - Sale+OE,2840.0,-898,14028,-6%,-25503.0,,,,,TSBK
8,D,2021-03-02 11:09:25,2021-03-01,TSBK,Fischer Jonathan Arthur,"EVP, COO",S - Sale+OE,2843.0,-3102,14028,-18%,-88190.0,,,,,TSBK
9,D,2021-02-24 11:27:15,2021-02-23,TSBK,Sand Michael R,"Pres, CEO",S - Sale+OE,2775.0,-3834,166941,-2%,-106394.0,,,,,TSBK
10,D,2021-02-12 10:08:07,2021-02-11,TSBK,Sand Michael R,"Pres , CEO",S - Sale+OE,2775.0,-102,166941,0%,-2831.0,,,,,TSBK
11,D,2021-02-11 10:17:19,2021-02-10,TSBK,Sand Michael R,"Pres , CEO",S - Sale+OE,2775.0,-1715,166941,-1%,-47591.0,,,,,TSBK
12,D,2021-02-10 10:41:15,2021-02-09,TSBK,Sand Michael R,"Pres , CEO",S - Sale+OE,2775.0,-4349,166941,-3%,-120685.0,,,,,TSBK
13,M,2020-12-29 11:35:35,2020-12-22,TSBK,Yerrington Daniel D,Retired Director,S - Sale,2511.0,-6737,107893,-6%,-169152.0,,,,,TSBK
14,,2020-12-11 11:27:20,2020-12-10,TSBK,Suter Kelly,Dir,P - Purchase,2342.0,500,500,New,11710.0,,,,,TSBK
15,,2020-06-15 10:56:16,2020-06-12,TSBK,Foster Edward Colman,EVP,S - Sale,1712.0,-2700,8965,-23%,-46224.0,,,,,TSBK
16,,2020-03-12 09:55:04,2020-03-11,TSBK,Smith David Alan,Dir,P - Purchase,1967.0,150,16523,+1%,2951.0,,,,,TSBK
17,D,2020-01-31 09:37:39,2020-01-30,TSBK,Sand Michael R,"Pres, CEO",S - Sale+OE,2800.0,-15000,166925,-8%,-420000.0,,,,,TSBK
18,,2019-12-13 11:15:29,2019-12-12,TSBK,Yerrington Daniel D,Dir,S - Sale,2886.0,-4000,114630,-3%,-115440.0,,,,,TSBK
19,,2019-12-12 10:10:25,2019-12-11,TSBK,Yerrington Daniel D,Dir,S - Sale,2956.0,-5066,118630,-4%,-149751.0,,,,,TSBK
20,,2019-12-11 11:07:25,2019-12-10,TSBK,Yerrington Daniel D,Dir,S - Sale,2946.0,-2000,123696,-2%,-58920.0,,,,,TSBK
21,,2019-11-19 10:28:07,2019-11-18,TSBK,Parker Jon C,Dir,S - Sale,2855.0,-10000,38952,-20%,-285500.0,,,,,TSBK
22,,2019-06-14 13:48:36,2019-06-07,TSBK,Foster Edward Colman,EVP,S - Sale,2564.0,-1900,9985,-16%,-48716.0,,,,,TSBK
23,D,2019-03-18 09:50:58,2019-03-15,TBSK,Basich Marci A,"Treasurer, SVP",S - Sale+OE,3015.0,-1031,0,-100%,-31085.0,,,,,TSBK
24,D,2019-02-26 09:14:49,2019-02-25,TSBK,Sand Michael R,"Pres, CEO",S - Sale+OE,3010.0,-2400,104660,-2%,-72240.0,,,,,TSBK
25,D,2019-02-25 09:34:39,2019-02-22,TSBK,Sand Michael R,"Pres, CEO",S - Sale+OE,3022.0,-600,104660,-1%,-18132.0,,,,,TSBK
26,D,2019-02-22 09:59:08,2019-02-21,TSBK,Sand Michael R,"Pres, CEO",S - Sale+OE,3000.0,-2280,104660,-2%,-68400.0,,,,,TSBK
27,D,2019-02-21 09:43:59,2019-02-20,TSBK,Sand Michael R,"Pres, CEO",S - Sale+OE,3027.0,-7720,104660,-7%,-233684.0,,,,,TSBK
