,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,,2021-11-15 16:35:56,2021-11-15,TTMI,Sanchez Tony,"VP, Corporate Controller",S - Sale,1435.0,-323,22890,-1%,-4635.0,,,,,TTMI
1,,2021-08-03 14:48:58,2021-08-02,TTMI,Chung Tai Keung,See Remarks,S - Sale,1409.0,-17862,26392,-40%,-251760.0,,,,,TTMI
2,,2021-06-24 14:22:12,2021-06-23,TTMI,Titterton Philip,"EVP, COO",S - Sale,1437.0,-6809,69786,-9%,-97815.0,,,,,TTMI
3,,2021-06-24 14:07:52,2021-06-23,TTMI,Sanchez Tony,"VP, Corporate Controller",S - Sale,1436.0,-2654,23383,-10%,-38122.0,,,,,TTMI
4,,2021-06-22 21:03:58,2021-06-21,TTMI,Titterton Philip,"EVP, COO",S - Sale,1446.0,-7226,51797,-12%,-104476.0,,,,,TTMI
5,,2021-06-22 21:02:31,2021-06-21,TTMI,Titterton Philip,"EVP, COO",S - Sale,1446.0,-7226,51797,-12%,-104476.0,,,,,TTMI
6,,2021-06-22 20:55:07,2021-06-21,TTMI,Sanchez Tony,"VP, Corporate Controller",S - Sale,1446.0,-2895,17122,-14%,-41849.0,,,,,TTMI
7,,2021-06-01 21:17:48,2021-06-01,TTMI,Hardwick William Kent,"SVP Global Sales, EMS",S - Sale,1519.0,-1500,77041,-2%,-22785.0,,,,,TTMI
8,,2021-05-21 21:38:21,2021-05-21,TTMI,Chung Tai Keung,See Remarks,S - Sale,1510.0,-6493,44254,-13%,-98044.0,,,,,TTMI
9,,2021-04-06 13:48:40,2021-04-05,TTMI,Soder Douglas L,See Remarks,S - Sale,1500.0,-55807,166263,-25%,-837105.0,,,,,TTMI
10,,2021-04-06 13:45:50,2021-04-05,TTMI,Schull Todd B,"EVP, CFO",S - Sale,1500.0,-35000,205756,-15%,-525000.0,,,,,TTMI
11,,2021-04-01 14:26:31,2021-03-30,TTMI,Titterton Philip,"EVP, COO",S - Sale,1445.0,-3189,62315,-5%,-46072.0,,,,,TTMI
12,,2021-04-01 14:25:22,2021-03-30,TTMI,Titterton Philip,"EVP, COO",S - Sale,1445.0,-3189,62315,-5%,-46072.0,,,,,TTMI
13,,2021-04-01 14:15:49,2021-03-30,TTMI,Sanchez Tony,"VP, Corporate Controller",S - Sale,1445.0,-2288,21566,-10%,-33051.0,,,,,TTMI
14,,2021-04-01 14:15:06,2021-03-30,TTMI,Sanchez Tony,"VP, Corporate Controller",S - Sale,1445.0,-2288,21566,-10%,-33051.0,,,,,TTMI
15,,2021-03-02 16:22:54,2021-03-01,TTMI,Hardwick William Kent,"SVP Global Sales, EMS",S - Sale,1433.0,-1500,80102,-2%,-21495.0,,,,,TTMI
16,,2020-12-02 15:49:41,2020-12-01,TTMI,Hardwick William Kent,"SVP Global Sales, EMS",S - Sale,1331.0,-1500,78154,-2%,-19965.0,,,,,TTMI
17,,2020-11-19 13:51:36,2020-11-18,TTMI,Hardwick William Kent,"SVP Global Sales, EMS",S - Sale,1295.0,-4000,79654,-5%,-51812.0,,,,,TTMI
18,,2020-11-17 10:45:32,2020-11-16,TTMI,Sanchez Tony,"VP, Controller",S - Sale,1291.0,-325,25070,-1%,-4196.0,,,,,TTMI
19,,2020-08-28 13:36:50,2020-08-26,TTMI,Chung Tai Keung,See Remarks,S - Sale,1194.0,-41146,50747,-45%,-491398.0,,,,,TTMI
20,,2020-08-27 14:55:17,2020-08-26,TTMI,Princiotta Anthony J,"SVP, E-MS BU",S - Sale,1189.0,-6564,14865,-31%,-78017.0,,,,,TTMI
21,D,2020-07-02 12:10:15,2020-06-30,TTMI,Zakheim Dov S.,Dir,S - Sale+OE,1150.0,-20000,99700,-17%,-230000.0,,,,,TTMI
22,,2020-06-24 14:47:38,2020-06-22,TTMI,Sanchez Tony,"VP, Corporate Controller",S - Sale,1098.0,-2839,25564,-10%,-31172.0,,,,,TTMI
23,,2020-06-24 14:45:47,2020-06-22,TTMI,Pereira Jon,"SVP, Pres",S - Sale,1098.0,-2455,18367,-12%,-26967.0,,,,,TTMI
24,,2020-06-24 14:43:12,2020-06-22,TTMI,Titterton Philip,"EVP, COO",S - Sale,1098.0,-7107,61202,-10%,-78036.0,,,,,TTMI
25,,2020-03-31 19:20:26,2020-03-30,TTMI,Weber Daniel J,"SVP, GC, Sec.",S - Sale,987.0,-2653,33196,-7%,-26191.0,,,,,TTMI
26,,2020-03-31 19:19:14,2020-03-30,TTMI,Titterton Philip,"EVP, COO",S - Sale,988.0,-3198,42071,-7%,-31603.0,,,,,TTMI
27,,2020-03-31 19:14:33,2020-03-30,TTMI,Sanchez Tony,"VP, Controller",S - Sale,987.0,-2290,17824,-11%,-22595.0,,,,,TTMI
28,,2020-03-31 19:11:45,2020-03-30,TTMI,Pereira Jon,See Remarks,S - Sale,988.0,-2132,23997,-8%,-21059.0,,,,,TTMI
29,,2020-03-03 16:33:23,2020-03-02,TTMI,Weber Daniel J,"SVP, GC, Sec.",S - Sale,1292.0,-2680,37834,-7%,-34622.0,,,,,TTMI
30,,2020-03-03 16:32:36,2020-03-02,TTMI,Titterton Philip,"EVP, COO",S - Sale,1292.0,-3233,46709,-6%,-41769.0,,,,,TTMI
31,,2020-03-03 16:30:39,2020-03-02,TTMI,Sanchez Tony,"VP, Controller",S - Sale,1292.0,-2273,21328,-10%,-29365.0,,,,,TTMI
32,,2020-03-03 16:29:06,2020-03-02,TTMI,Pereira Jon,See Remarks,S - Sale,1292.0,-2148,28635,-7%,-27750.0,,,,,TTMI
33,,2020-03-02 16:02:11,2020-02-27,TTMI,Princiotta Anthony J,See Remarks,S - Sale,1301.0,-26000,28664,-48%,-338354.0,,,,,TTMI
34,,2020-02-24 17:23:25,2020-02-20,TTMI,Weber Daniel J,"SVP, GC, Sec.",S - Sale,1357.0,-20000,42535,-32%,-271358.0,,,,,TTMI
35,,2020-02-24 17:20:22,2020-02-21,TTMI,Pereira Jon,See Remarks,S - Sale,1331.0,-4045,33336,-11%,-53827.0,,,,,TTMI
36,M,2019-12-18 17:19:29,2019-12-16,TTMI,Schull Todd B,"EVP, CFO",S - Sale,1500.0,-50000,220894,-18%,-750000.0,,,,,TTMI
37,,2019-11-15 11:08:42,2019-11-14,TTMI,Sanchez Tony,"VP, Controller",S - Sale,1270.0,-494,24792,-2%,-6274.0,,,,,TTMI
38,,2019-09-03 12:59:39,2019-08-30,TTMI,Weber Daniel J,"SVP, GC, Sec.",S - Sale,1070.0,-20000,57734,-26%,-214000.0,,,,,TTMI
39,,2019-08-29 10:14:02,2019-08-28,TTMI,Princiotta Anthony J,See Remarks,S - Sale,1009.0,-23222,51408,-31%,-234345.0,,,,,TTMI
40,,2019-08-21 10:10:54,2019-08-19,TTMI,Chung Tai Keung,"EVP, Asia Pacific Bus Develop.",S - Sale,1058.0,-29839,48518,-38%,-315738.0,,,,,TTMI
41,,2019-08-14 14:19:51,2019-08-13,TTMI,Hardwick William Kent,SVP - Sales,S - Sale,1065.0,-1878,71506,-3%,-20001.0,,,,,TTMI
42,,2019-04-02 16:50:49,2019-04-01,TTMI,Titterton Philip,See Remarks,S - Sale,1203.0,-3233,13977,-19%,-38894.0,,,,,TTMI
