,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,,2021-11-17 17:02:26,2021-11-16,URBN,Hayne Azeez,"CAO, GC",S - Sale,3800.0,-1100,8827,-11%,-41800.0,,,,,URBN
1,,2021-11-04 17:01:31,2021-11-03,URBN,Hayne Azeez,"CAO, GC",S - Sale,3500.0,-1100,9927,-10%,-38500.0,,,,,URBN
2,,2021-06-10 17:08:05,2021-06-09,URBN,Hayne Margaret,"Co-Pres, CCO",S - Sale,3789.0,-53390,22764100,0%,-2022984.0,,,,,URBN
3,D,2021-06-02 17:37:28,2021-05-28,URBN,Singh Cassidy Sukhinder,Dir,S - Sale+OE,3903.0,-30000,0,-100%,-1170965.0,,,,,URBN
4,D,2021-06-02 17:34:56,2021-05-28,URBN,Morgenfeld Todd R,Dir,S - Sale+OE,3935.0,-5000,0,-100%,-196756.0,,,,,URBN
5,D,2021-06-02 17:26:39,2021-06-01,URBN,McDonald Wesley S,Dir,S - Sale+OE,3967.0,-10000,0,-100%,-396700.0,,,,,URBN
6,,2021-05-28 18:25:27,2021-05-26,URBN,Marein-Efron Melanie,CFO,S - Sale,4000.0,-2593,0,-100%,-103720.0,,,,,URBN
7,,2021-05-12 18:24:14,2021-05-10,URBN,Hayne Azeez,"CAO, GC",S - Sale,4000.0,-2261,11027,-17%,-90440.0,,,,,URBN
8,,2021-05-03 17:12:21,2021-04-29,URBN,Hayne Azeez,"CAO, GC",S - Sale,3816.0,-4000,13288,-23%,-152640.0,,,,,URBN
9,D,2021-04-19 17:26:45,2021-04-15,URBN,Antoian Edward N,Dir,S - Sale+OE,3708.0,-19340,2654,-88%,-717127.0,,,,,URBN
10,,2021-04-19 17:23:50,2021-04-16,URBN,Marein-Efron Melanie,CFO,S - Sale,3799.0,-2500,2593,-49%,-94987.0,,,,,URBN
11,,2021-04-16 17:01:38,2021-04-14,URBN,Marein-Efron Melanie,CFO,S - Sale,3743.0,-3962,5093,-44%,-148304.0,,,,,URBN
12,,2021-04-15 17:31:15,2021-04-13,URBN,Conforti Frank,"Co-Pres, COO",S - Sale,3800.0,-18000,9364,-66%,-684000.0,,,,,URBN
13,D,2021-03-03 18:21:10,2021-03-03,URBN,Hayne Azeez,"GC, Secretary",S - Sale+OE,3252.0,-11413,17288,-40%,-371151.0,,,,,URBN
14,,2020-11-24 17:48:33,2020-11-20,URBN,Hayne Azeez,"GC, Secretary",S - Sale,3000.0,-6262,17288,-27%,-187860.0,,,,,URBN
15,,2020-11-20 17:02:12,2020-11-18,URBN,Donnelly Trish,"CEO, Urban Outfitters Group",S - Sale,2900.0,-15000,13589,-52%,-435000.0,,,,,URBN
16,,2020-09-01 17:18:34,2020-08-28,URBN,Conforti Frank,CFO,S - Sale,2400.0,-10000,8979,-53%,-240000.0,,,,,URBN
17,,2020-08-27 17:14:08,2020-08-26,URBN,Hayne Azeez,"GC, Secretary",S - Sale,2500.0,-11403,23550,-33%,-285075.0,,,,,URBN
18,,2020-08-12 17:12:55,2020-08-11,URBN,Hayne Azeez,"GC, Secretary",S - Sale,2000.0,-11501,34953,-25%,-230020.0,,,,,URBN
19,D,2019-04-11 17:16:46,2019-04-10,URBN,Antoian Edward N,Dir,S - Sale+OE,3323.0,-18006,1994,-90%,-598339.0,,,,,URBN
20,,2019-04-09 17:15:30,2019-04-08,URBN,Hayne Azeez,"GC, Secretary",S - Sale,3363.0,-10300,23550,-30%,-346389.0,,,,,URBN
21,,2019-04-08 17:13:03,2019-04-05,URBN,Donnelly Trish,"CEO, Urban Outfitters Group",S - Sale,3400.0,-9144,10295,-47%,-310896.0,,,,,URBN
22,D,2019-04-08 17:09:38,2019-04-04,URBN,Lawson Joel S III,Dir,S - Sale+OE,3234.0,-10000,7000,-59%,-323400.0,,,,,URBN
23,D,2019-04-01 17:13:45,2019-03-28,URBN,Lawson Joel S III,Dir,S - Sale+OE,2931.0,-10000,7000,-59%,-293100.0,,,,,URBN
24,,2019-03-12 17:18:31,2019-03-08,URBN,Hollinger Calvin,COO,S - Sale,2913.0,-23813,0,-100%,-693673.0,,,,,URBN
25,,2019-03-12 17:15:45,2019-03-08,URBN,Conforti Frank,CFO,S - Sale,2930.0,-22937,593,-97%,-672054.0,,,,,URBN
26,,2018-08-27 17:33:07,2018-08-24,URBN,Donnelly Trish,"CEO, Urban Outfitters Group",S - Sale,4610.0,-19332,0,-100%,-891205.0,,,,,URBN
27,D,2018-07-10 17:03:12,2018-07-09,URBN,Lawson Joel S III,Dir,S - Sale+OE,4566.0,-10000,7000,-59%,-456640.0,,,,,URBN
28,,2018-07-06 17:04:14,2018-07-03,URBN,Hayne Azeez,"GC, Secretary",S - Sale,4628.0,-7777,11027,-41%,-359917.0,,,,,URBN
29,D,2018-06-07 17:30:11,2018-06-06,URBN,Lawson Joel S III,Dir,S - Sale+OE,4600.0,-10000,7000,-59%,-460000.0,,,,,URBN
30,D,2018-05-31 17:15:09,2018-05-29,URBN,Lawson Joel S III,Dir,S - Sale+OE,4182.0,-10000,7000,-59%,-418200.0,,,,,URBN
31,D,2018-05-30 17:44:44,2018-05-25,URBN,Strouse Robert H,Dir,S - Sale+OE,4221.0,-80000,100000,-44%,-3376960.0,,,,,URBN
32,,2018-04-23 17:17:07,2018-04-13,URBN,McCreight David W.,"Pres, URBN",S - Sale,3888.0,-51019,57881,-47%,-1983721.0,,,,,URBN
33,D,2018-04-16 17:36:41,2018-04-13,URBN,Lawson Joel S III,Dir,S - Sale+OE,3869.0,-20000,7000,-74%,-773868.0,,,,,URBN
34,D,2018-04-16 17:34:49,2018-04-11,URBN,Cherken Harry S Jr,Dir,S - Sale+OE,3910.0,-20000,572800,-3%,-781900.0,,,,,URBN
35,,2018-04-16 17:32:40,2018-04-12,URBN,McCreight David W.,"Pres, URBN",S - Sale,3854.0,-147319,108900,-57%,-5677674.0,,,,,URBN
36,D,2018-04-12 17:14:09,2018-04-11,URBN,Antoian Edward N,Dir,S - Sale+OE,3815.0,-20000,0,-100%,-762902.0,,,,,URBN
37,D,2018-04-12 17:11:56,2018-04-10,URBN,Strouse Robert H,Dir,S - Sale+OE,3840.0,-60000,100000,-38%,-2303898.0,,,,,URBN
38,,2018-04-12 17:09:30,2018-04-10,URBN,Donnelly Trish,"CEO, Urban Outfitters Group",S - Sale,3862.0,-10311,0,-100%,-398182.0,,,,,URBN
39,,2018-04-11 17:34:23,2018-04-09,URBN,Hayne Azeez,"GC, Secretary",S - Sale,3901.0,-800,18804,-4%,-31209.0,,,,,URBN
40,,2018-03-30 17:01:42,2018-03-28,URBN,Belair Scott A,Dir,S - Sale,3656.0,-30000,2470000,-1%,-1096920.0,,,,,URBN
41,D,2018-03-28 17:14:54,2018-03-26,URBN,Lawson Joel S III,Dir,S - Sale+OE,3690.0,-20000,7000,-74%,-738060.0,,,,,URBN
42,,2018-03-23 17:23:23,2018-03-21,URBN,Hayne Margaret,"CEO, Free People",S - Sale,3665.0,-41100,23004680,0%,-1506405.0,,,,,URBN
