,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,ticker
0,,2022-03-10 12:20:01,2022-03-08,JAKK,Rosen Lawrence I,10%,P - Purchase,$15.17,5799,1832632,0%,"+$87,950",,,,,JAKK
1,,2022-03-04 15:31:35,2022-03-02,JAKK,Rosen Lawrence I,10%,P - Purchase,$15.89,25000,1826833,+1%,"+$397,250",,,,,JAKK
2,M,2022-03-01 15:15:40,2022-02-25,JAKK,Rosen Lawrence I,10%,P - Purchase,$15.29,56891,1801833,+3%,"+$869,719",,,,,JAKK
3,M,2022-02-16 16:00:53,2021-12-21,JAKK,Rosen Lawrence I,10%,P - Purchase,$10.18,432295,1744942,+33%,"+$4,402,673",,,,,JAKK
4,M,2022-02-16 15:43:55,2021-10-25,JAKK,Rosen Lawrence I,10%,P - Purchase,$10.73,306728,1312647,+30%,"+$3,290,493",,,,,JAKK
5,M,2022-01-18 18:28:17,2022-01-13,JAKK,Berman Stephen G,"CEO, Pres, Secretary",S - Sale,$9.12,-30824,63655,-33%,"-$281,136",,,,,JAKK
6,M,2022-01-12 20:12:31,2022-01-10,JAKK,Berman Stephen G,"CEO, Pres, Secretary",S - Sale,$9.31,-22933,94479,-20%,"-$213,508",,,,,JAKK
7,DM,2022-01-07 17:33:53,2022-01-05,JAKK,Berman Stephen G,"CEO, Pres, Secretary",S - Sale+OE,$9.83,-34406,117412,-23%,"-$338,060",,,,,JAKK
8,DM,2022-01-04 21:37:19,2022-01-03,JAKK,Berman Stephen G,"CEO, Pres, Secretary",S - Sale+OE,$10.36,-21837,151818,-13%,"-$226,123",,,,,JAKK
9,A,2021-12-30 13:57:18,2021-12-15,JAKK,Benefit Street Partners LLC,10%,P - Purchase,$30.38,160849,1622311,+11%,"+$4,886,958",,,,,JAKK
10,,2021-12-20 16:30:45,2021-12-15,JAKK,Benefit Street Partners LLC,10%,P - Purchase,$30.38,160849,1622311,+11%,"+$4,886,962",,,,,JAKK
11,DM,2021-07-26 18:01:27,2021-07-22,JAKK,Benefit Street Partners LLC,10%,P - Purchase,$10.32,583500,1356639,+75%,"+$6,022,659",,,,,JAKK
