,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,ticker
0,DM,2021-11-29 10:39:49,2021-11-24,OESX,Altschaefl Michael W,"CEO, Board Chair",P - Purchase,$3.61,15000,835093,+2%,"+$54,104",,,,,OESX
1,M,2021-11-19 16:34:19,2021-11-18,OESX,Green Scott A.,Pres-Orion Services Group,S - Sale,$3.97,-50956,376756,-12%,"-$202,358",,,,,OESX
2,A,2021-03-26 10:52:14,2020-11-16,OESX,Potts Michael J,Dir,S - Sale,$8.10,-6934,465627,-1%,"-$56,165",,,,,OESX
3,AM,2021-03-26 10:49:27,2020-11-12,OESX,Potts Michael J,Dir,S - Sale,$8.04,-68066,472561,-13%,"-$547,435",,,,,OESX
4,,2020-11-16 15:18:43,2020-11-16,OESX,Potts Michael J,Dir,S - Sale,$8.10,-6934,607422,-1%,"-$56,165",,,,,OESX
5,M,2020-11-13 17:59:20,2020-11-12,OESX,Potts Michael J,Dir,S - Sale,$8.04,-68066,614356,-10%,"-$547,435",,,,,OESX
6,AM,2020-03-25 12:07:31,2019-11-14,OESX,Green Scott A.,COO,S - Sale,$3.28,-182898,351049,-34%,"-$600,007",,,,,OESX
7,M,2019-11-19 14:51:22,2019-11-14,OESX,Potts Michael J,Dir,S - Sale,$3.40,-141795,540627,-21%,"-$482,103",,,,,OESX
8,M,2019-11-18 17:37:47,2019-11-14,OESX,Green Scott A.,COO,S - Sale,$3.28,-182888,601967,-23%,"-$599,976",,,,,OESX
9,,2019-11-18 13:55:43,2019-11-15,OESX,Potts Michael J,Dir,S - Sale,$3.30,-29546,682422,-4%,"-$97,422",,,,,OESX
10,,2019-11-15 11:20:27,2019-11-13,OESX,Potts Michael J,"Pres, COO",S - Sale,$2.96,-28659,711968,-4%,"-$84,702",,,,,OESX
11,M,2019-11-14 16:46:40,2019-11-11,OESX,Green Scott A.,COO,S - Sale,$2.99,-256493,609217,-30%,"-$768,166",,,,,OESX
12,D,2019-06-17 15:10:24,2019-06-14,OESX,Altschaefl Michael W,CEO,P - Purchase,$2.87,5000,571076,+1%,"+$14,360",,,,,OESX
13,,2019-06-12 10:50:27,2019-06-11,OESX,Otten Anthony L.,Dir,P - Purchase,$2.78,3500,99663,+4%,"+$9,734",,,,,OESX
14,D,2019-06-10 12:50:39,2019-06-07,OESX,Altschaefl Michael W,CEO,P - Purchase,$2.87,10000,566076,+2%,"+$28,659",,,,,OESX
15,,2018-06-20 18:55:09,2018-06-20,OESX,Green Scott A.,COO,P - Purchase,$1.14,7843,811620,+1%,"+$8,903",,,,,OESX
16,,2018-06-20 11:17:00,2018-06-19,OESX,Young Kenneth M,Dir,P - Purchase,$1.07,6800,54550,+14%,"+$7,276",,,,,OESX
17,M,2018-06-19 17:43:25,2018-06-15,OESX,Green Scott A.,COO,P - Purchase,$1.05,29607,803777,+4%,"+$31,098",,,,,OESX
18,,2018-06-14 10:39:07,2018-06-13,OESX,Otten Anthony L.,Dir,P - Purchase,$0.94,7500,96163,+8%,"+$7,050",,,,,OESX
19,,2018-06-13 16:56:11,2018-06-12,OESX,Richstone Ellen B,Dir,P - Purchase,$0.97,10000,83098,+14%,"+$9,650",,,,,OESX
20,,2018-06-13 16:54:00,2018-06-11,OESX,Hull William T,CFO,P - Purchase,$0.90,39278,900000,+5%,"+$35,264",,,,,OESX
21,D,2018-06-13 16:53:00,2018-06-11,OESX,Altschaefl Michael W,CEO,P - Purchase,$0.90,30000,556076,+6%,"+$26,850",,,,,OESX
22,D,2018-06-11 17:48:22,2018-06-08,OESX,Williamson Mark C,Dir,P - Purchase,$0.88,9000,113805,+9%,"+$7,946",,,,,OESX
23,,2018-06-11 17:42:16,2018-06-08,OESX,Hull William T,CFO,P - Purchase,$0.86,22322,860722,+3%,"+$19,143",,,,,OESX
24,D,2018-06-11 17:40:03,2018-06-08,OESX,Altschaefl Michael W,CEO,P - Purchase,$0.86,25000,526076,+5%,"+$21,500",,,,,OESX
