,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,ticker
0,,2021-04-16 19:17:05,2021-04-15,PFPT,Lee Robert Darren,"EVP, GM Compliance, Digital Ri",S - Sale,$136.58,-2317,2317,-50%,"-$316,456",,,,,PFPT
1,,2021-04-07 18:24:15,2021-04-06,PFPT,Knight David,"EVP, GM, Security Products",S - Sale,$129.67,-2500,15520,-14%,"-$324,168",,,,,PFPT
2,,2021-04-07 18:22:37,2021-04-06,PFPT,Steele Gary,"COB, CEO",S - Sale,$129.88,-5000,65040,-7%,"-$649,389",,,,,PFPT
3,,2021-03-16 17:41:24,2021-03-15,PFPT,Lee Robert Darren,"EVP, GM Compliance, Digital Ri",S - Sale,$123.54,-2317,4634,-33%,"-$286,242",,,,,PFPT
4,,2021-03-12 16:04:04,2021-03-11,PFPT,Steele Gary,"COB, CEO",S - Sale,$128.86,-5000,70040,-7%,"-$644,316",,,,,PFPT
5,,2021-02-22 16:05:09,2021-02-18,PFPT,Knight David,"EVP, GM, Security Products",S - Sale,$136.47,-2500,18020,-12%,"-$341,186",,,,,PFPT
6,D,2021-02-03 16:53:04,2021-02-02,PFPT,Willy Ashan,"EVP, GM-Sec Prd, Svc Grp",S - Sale+OE,$136.38,-1226,3440,-26%,"-$167,202",,,,,PFPT
7,D,2021-01-20 16:10:41,2021-01-16,PFPT,Willy Ashan,"EVP, GM-Sec Prd, Svc Grp",S - Sale+OE,$137.83,-595,1966,-23%,"-$82,009",,,,,PFPT
8,M,2020-12-22 21:43:31,2020-12-18,PFPT,Auvil Paul R. III,CFO,S - Sale,$132.62,-49480,365067,-12%,"-$6,562,204",,,,,PFPT
9,,2020-12-09 19:29:15,2020-12-08,PFPT,Knight David,"EVP, GM, Security Products",S - Sale,$114.60,-2500,11721,-18%,"-$286,493",,,,,PFPT
10,,2020-12-03 18:14:41,2020-12-03,PFPT,Willy Ashan,"EVP, GM-Sec Prd, Svc Grp",S - Sale,$107.66,-2500,1966,-56%,"-$269,159",,,,,PFPT
11,,2020-10-28 16:23:26,2020-10-27,PFPT,Willy Ashan,"EVP, GM-Sec Prd, Svc Grp",S - Sale,$106.33,-1635,211,-89%,"-$173,850",,,,,PFPT
12,,2020-10-07 16:18:08,2020-10-06,PFPT,Steele Gary,"COB, CEO",S - Sale,$105.40,-10000,28848,-26%,"-$1,053,975",,,,,PFPT
13,D,2020-10-05 16:39:39,2020-10-01,PFPT,Knight David,"EVP, GM, Security Products",S - Sale+OE,$105.56,-2500,14221,-15%,"-$263,900",,,,,PFPT
14,,2020-09-18 16:12:01,2020-09-16,PFPT,Steele Gary,"COB, CEO",S - Sale,$103.22,-10000,38848,-20%,"-$1,032,238",,,,,PFPT
15,D,2020-09-04 18:17:28,2020-09-03,PFPT,Lee Robert Darren,"EVP, GM Compliance, Digital Ri",S - Sale+OE,$110.90,-1718,0,-100%,"-$190,519",,,,,PFPT
16,,2020-08-28 16:06:53,2020-08-27,PFPT,Steele Gary,"COB, CEO",S - Sale,$111.06,-10000,48848,-17%,"-$1,110,553",,,,,PFPT
17,D,2020-08-20 16:58:12,2020-08-19,PFPT,Knight David,"EVP, GM, Security Products",S - Sale+OE,$111.44,-2500,14829,-14%,"-$278,603",,,,,PFPT
18,,2020-07-30 19:44:42,2020-07-29,PFPT,Swaroop Bhagwat,"EVP Indus. Solutions, Bus. Dev",S - Sale,$125.00,-1500,1698,-47%,"-$187,500",,,,,PFPT
19,,2020-07-30 19:44:30,2020-07-29,PFPT,Auvil Paul R. III,CFO,S - Sale,$125.02,-25000,414547,-6%,"-$3,125,568",,,,,PFPT
20,D,2020-07-17 16:37:47,2020-07-15,PFPT,Lee Robert Darren,"EVP, GM Compliance, Digital Ri",S - Sale+OE,$117.09,-1722,1452,-54%,"-$201,635",,,,,PFPT
21,D,2020-07-13 16:35:56,2020-07-09,PFPT,Swaroop Bhagwat,"EVP Indus. Solutions, Bus. Dev",S - Sale+OE,$120.00,-5345,3198,-63%,"-$641,400",,,,,PFPT
22,,2020-07-13 16:32:12,2020-07-10,PFPT,Evan Dana L,Dir,S - Sale,$120.71,-4758,3333,-59%,"-$574,349",,,,,PFPT
23,,2020-07-09 16:04:26,2020-07-08,PFPT,Steele Gary,"COB, CEO",S - Sale,$114.30,-10000,58848,-15%,"-$1,143,004",,,,,PFPT
24,D,2020-07-08 16:26:33,2020-07-06,PFPT,Lee Robert Darren,"EVP, GM Compliance, Digital Ri",S - Sale+OE,$115.00,-1726,2908,-37%,"-$198,490",,,,,PFPT
25,D,2020-06-15 16:27:45,2020-06-11,PFPT,Knight David,"EVP, GM, Security Products",S - Sale+OE,$109.81,-2500,14829,-14%,"-$274,515",,,,,PFPT
26,,2020-06-10 18:32:14,2020-06-09,PFPT,Steele Gary,"COB, CEO",S - Sale,$115.53,-10000,68848,-13%,"-$1,155,281",,,,,PFPT
27,,2020-06-10 18:30:57,2020-06-09,PFPT,Evan Dana L,Dir,S - Sale,$116.00,-2536,8091,-24%,"-$294,176",,,,,PFPT
28,,2020-05-22 16:16:55,2020-05-21,PFPT,Steele Gary,"COB, CEO",S - Sale,$113.21,-10000,78848,-11%,"-$1,132,131",,,,,PFPT
29,D,2020-05-21 16:09:22,2020-05-20,PFPT,Knight David,"EVP, GM, Security Products",S - Sale+OE,$115.80,-2500,14829,-14%,"-$289,493",,,,,PFPT
30,D,2020-05-18 20:33:02,2020-05-15,PFPT,Lee Robert Darren,"EVP, GM Compliance, Digital Ri",S - Sale+OE,$115.22,-1727,4367,-28%,"-$198,985",,,,,PFPT
31,,2020-05-11 16:12:18,2020-05-07,PFPT,Auvil Paul R. III,CFO,S - Sale,$130.68,-25000,433245,-5%,"-$3,266,951",,,,,PFPT
